bd4606aa62962933ab08ed1226620a6699ed8fc1,Add Thrown Exception Type,ProjectOptionsTest,110,135,
16ad02f5601da54392fbe4ff5530ac46dcab8f9a,Extract Method,PlaySoundAndWaitBrick,49,57,
b61b6d348557b485a9809384cb3a095b81cd06c4,Add Parameter Annotation,LookListFragment,81,82,
b61b6d348557b485a9809384cb3a095b81cd06c4,Add Parameter Annotation,LookListFragment,81,82,
b61b6d348557b485a9809384cb3a095b81cd06c4,Add Parameter Annotation,LookListFragment,81,82,
b61b6d348557b485a9809384cb3a095b81cd06c4,Add Parameter Annotation,LookListFragment,81,82,
b61b6d348557b485a9809384cb3a095b81cd06c4,Add Parameter Annotation,LookListFragment,81,82,
b61b6d348557b485a9809384cb3a095b81cd06c4,Add Parameter Annotation,LookListFragment,81,82,
b61b6d348557b485a9809384cb3a095b81cd06c4,Add Parameter Annotation,LookListFragment,81,82,
8d7120cd6802b0928f75a920dea8b8968fe2e8cd,Extract Method,SnackbarUtil,53,66,
5bce17c95ad5b4dc2cd7ce8600d0bb32f1647292,Change Variable Type,MarketingActivity,72,74,
76fbb6466bb580e16c3af4e8ca6f6af0e3e6289d,Add Attribute Modifier,CurrentProjectTest,85,85,
76fbb6466bb580e16c3af4e8ca6f6af0e3e6289d,Add Attribute Modifier,CurrentProjectTest,85,85,
76fbb6466bb580e16c3af4e8ca6f6af0e3e6289d,Add Attribute Modifier,CurrentProjectTest,85,85,
215d0a19f429d52e49e181512679c449758dad4d,Change Attribute Type,EmptyEventBrickTest,54,64,
215d0a19f429d52e49e181512679c449758dad4d,Change Attribute Type,EmptyEventBrickTest,54,64,
215d0a19f429d52e49e181512679c449758dad4d,Change Attribute Type,EmptyEventBrickTest,54,64,
aa7ca2201392cfff18aa03c79fbcaa5e9714d6b9,Extract Method,ProjectActivity,276,281,
aa7ca2201392cfff18aa03c79fbcaa5e9714d6b9,Extract Method,ProjectActivity,276,281,
aa7ca2201392cfff18aa03c79fbcaa5e9714d6b9,Extract Method,ProjectActivity,276,281,
aa7ca2201392cfff18aa03c79fbcaa5e9714d6b9,Extract Method,ProjectActivity,276,281,
b5848a25b710877c0cd2d51a40f6e50564a110a8,Replace Variable With Attribute,ProjectSaveTask,133,46,
b5848a25b710877c0cd2d51a40f6e50564a110a8,Replace Variable With Attribute,ProjectSaveTask,133,46,
3c89b4872572af2452fd23b852796fca74507378,Change Return Type,Sprite,509,507,
3c89b4872572af2452fd23b852796fca74507378,Change Return Type,Sprite,509,507,
3c89b4872572af2452fd23b852796fca74507378,Change Return Type,Sprite,509,507,
3c89b4872572af2452fd23b852796fca74507378,Change Return Type,Sprite,509,507,
3c89b4872572af2452fd23b852796fca74507378,Change Return Type,Sprite,509,507,
3c89b4872572af2452fd23b852796fca74507378,Change Return Type,Sprite,509,507,
3c89b4872572af2452fd23b852796fca74507378,Change Return Type,Sprite,509,507,
f3ec041513673b0da2394d94d441d526599d4538,Extract Method,ProjectListFragment,118,446,
