1228f5cb5eca6f38e757bf26962719afe7004520,Rename Parameter,Display,4416,4419,
bd0c33717afe0fee76d91ba926400502d4c992e3,Change Attribute Type,IOSImplementation,6856,6857,
bc24d794b4d91cac27430152a97a2395e612afe9,Extract Method,Style,1746,1759,
bc24d794b4d91cac27430152a97a2395e612afe9,Extract Method,Style,1746,1759,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
9a5c2506087be3c151de9efb3ac2717f74dbd4d9,Remove Method Annotation,Spinner3D,214,172,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
42b12f3c40a19923faea0730f60de261164924a7,Add Method Annotation,Spinner3D,172,214,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
cfac9a6a1bb15027b48a9b822e2f21eb2835d38e,Remove Method Annotation,Spinner3D,214,172,
596beedce4fc1f8bb7844b257adcae807f619479,Encapsulate Attribute,Lifecycle,47,47,
f8a7c5c4968bacc90e8d61a851cfd0ca4287cff8,Extract Variable,L10NManager,216,216,
ca4bfe802506c6e88de2a51887c48ef2e2e35ab2,Rename Method,L10NManager,209,209,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
6debe68e5340c5b869f3676ee2094abb1b82e35c,Move Class,JUnitXMLReporting,29,34,
b0574847f444413ec8c567def398a04ed988a504,Extract Method,CompileCSSMojo,46,78,
b0574847f444413ec8c567def398a04ed988a504,Extract Method,CompileCSSMojo,46,78,
b0574847f444413ec8c567def398a04ed988a504,Extract Method,CompileCSSMojo,46,78,
70f154a0dd17a82af57233409c0a491aeb438a3e,Extract Variable,AndroidGradleBuilder,1946,1946,
a0788da18f793b8c4c34e8b45c9d26a0127c0ba5,Change Variable Type,FloatingActionButton,404,404,
a0788da18f793b8c4c34e8b45c9d26a0127c0ba5,Change Variable Type,FloatingActionButton,404,404,
1beb5de293c56c63b32b68ba1f15fac09f3780c2,Add Method Modifier,JavaSEPort,13596,13596,
1beb5de293c56c63b32b68ba1f15fac09f3780c2,Add Method Modifier,JavaSEPort,13596,13596,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
f1032e5d31ac0f46571b8b00f0cb4b91254cc936,Add Parameter Annotation,NetworkManager,804,812,
246c392d3e4280dedaaad636cfeb9beafe64c5f9,Encapsulate Attribute,ComponentTreeInspector,118,118,
1d8454744cb2c2bcbca08d636e00663f6c985ea8,Extract Method,SQLMap,294,304,
1d8454744cb2c2bcbca08d636e00663f6c985ea8,Extract Method,SQLMap,294,304,
905464d2934e2a04863e678add7fbef8896fb7af,Extract Method,JavaSEPort,3205,3220,
905464d2934e2a04863e678add7fbef8896fb7af,Extract Method,JavaSEPort,3205,3220,
905464d2934e2a04863e678add7fbef8896fb7af,Extract Method,JavaSEPort,3205,3220,
905464d2934e2a04863e678add7fbef8896fb7af,Extract Method,JavaSEPort,3205,3220,
905464d2934e2a04863e678add7fbef8896fb7af,Extract Method,JavaSEPort,3205,3220,
905464d2934e2a04863e678add7fbef8896fb7af,Extract Method,JavaSEPort,3205,3220,
b376f11f5366cc8f9e15bf9f46c363aa52072e86,Add Variable Modifier,JavaSEPort,2945,2945,
a67b4a635a494ce5d6d8e75f1b4f1ecbfb5f87f8,Extract Method,JavaSEPort,2738,2748,
a67b4a635a494ce5d6d8e75f1b4f1ecbfb5f87f8,Extract Method,JavaSEPort,2738,2748,
a67b4a635a494ce5d6d8e75f1b4f1ecbfb5f87f8,Extract Method,JavaSEPort,2738,2748,
2e30459a24eaaa81a7dbcb1afcab17380197044f,Extract Variable,JavaSEPort,4695,4782,
2e30459a24eaaa81a7dbcb1afcab17380197044f,Extract Variable,JavaSEPort,4695,4782,
3f2994a8fa78ae278ba0d0629af2b435a9386c70,Add Parameter Modifier,BuildHintEditor,275,275,
45ac39e2226b306f9e25bc60f3e46120ed675713,Extract Method,AndroidImplementation,6965,6978,
0cbe3c3a88d51f3840c9986c351d4b95f2f8d08f,Add Variable Modifier,AndroidLocationManager,157,243,
0cbe3c3a88d51f3840c9986c351d4b95f2f8d08f,Add Variable Modifier,AndroidLocationManager,157,243,
0cbe3c3a88d51f3840c9986c351d4b95f2f8d08f,Add Variable Modifier,AndroidLocationManager,157,243,
0cbe3c3a88d51f3840c9986c351d4b95f2f8d08f,Add Variable Modifier,AndroidLocationManager,157,243,
cbc5dd6b5aec6baf5fda2cf86f593ac525c6761e,Extract Method,CN1BuildMojo,311,313,
3bb7d05ff6b0e3c0c9a19822a4950646c6a18bf0,Extract Method,SQLMap,528,556,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
a001c5ef870e5337d7e32d15892e5ca47594506b,Add Method Modifier,Charset,44,44,
3640bb39b80eed044693e3249d584d6cfdba142f,Add Variable Modifier,Executor,465,465,
36271c7e73083bdfae1081cf640cb62ea0a594ac,Add Parameter Modifier,BillingSupport,135,189,
36271c7e73083bdfae1081cf640cb62ea0a594ac,Add Parameter Modifier,BillingSupport,135,189,
36271c7e73083bdfae1081cf640cb62ea0a594ac,Add Parameter Modifier,BillingSupport,135,189,
36271c7e73083bdfae1081cf640cb62ea0a594ac,Add Parameter Modifier,BillingSupport,135,189,
36271c7e73083bdfae1081cf640cb62ea0a594ac,Add Parameter Modifier,BillingSupport,135,189,
36271c7e73083bdfae1081cf640cb62ea0a594ac,Add Parameter Modifier,BillingSupport,135,189,
fe93cde2559184ba1d3ffd47b96dce0ddf9a3e2d,Extract Method,ByteCodeClass,1104,1108,
fe93cde2559184ba1d3ffd47b96dce0ddf9a3e2d,Extract Method,ByteCodeClass,1104,1108,
fe93cde2559184ba1d3ffd47b96dce0ddf9a3e2d,Extract Method,ByteCodeClass,1104,1108,
0d241e6c97035b128a0ae61744612a9df1c93517,Add Attribute Annotation,AbstractCN1Mojo,57,56,
0d241e6c97035b128a0ae61744612a9df1c93517,Add Attribute Annotation,AbstractCN1Mojo,57,56,
95ae2ae3db6425f941dcc794de24546194a694d2,Add Attribute Annotation,AbstractCN1Mojo,57,56,
95ae2ae3db6425f941dcc794de24546194a694d2,Add Attribute Annotation,AbstractCN1Mojo,57,56,
95ae2ae3db6425f941dcc794de24546194a694d2,Add Attribute Annotation,AbstractCN1Mojo,57,56,
95ae2ae3db6425f941dcc794de24546194a694d2,Add Attribute Annotation,AbstractCN1Mojo,57,56,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
485e752b5c0552a8d2b400188bc1208593172cc6,Add Method Annotation,BillingSupport,101,101,
f2491083866c4a82594135936732747bd739ea5d,Rename Parameter,CodenameOneActivity,695,480,
f2491083866c4a82594135936732747bd739ea5d,Rename Parameter,CodenameOneActivity,695,480,
f2491083866c4a82594135936732747bd739ea5d,Rename Parameter,CodenameOneActivity,695,480,
f2491083866c4a82594135936732747bd739ea5d,Rename Parameter,CodenameOneActivity,695,480,
f2491083866c4a82594135936732747bd739ea5d,Rename Parameter,CodenameOneActivity,695,480,
f2491083866c4a82594135936732747bd739ea5d,Rename Parameter,CodenameOneActivity,695,480,
f2491083866c4a82594135936732747bd739ea5d,Rename Parameter,CodenameOneActivity,695,480,
f2491083866c4a82594135936732747bd739ea5d,Rename Parameter,CodenameOneActivity,695,480,
