940acf7594e1315294ba3eb7f9546dd87c423d04,Extract Method,Configuration,1847,1966,
3dcefab08745c9cf918c2ddf4d4b2f491a4ee81b,Rename Attribute,DriverConductor,82,82,
3b81918c303afa2786b6c947523c288ec75a87c4,Add Variable Modifier,ClusterTest,890,890,
632e15c7d0db724bf43654a659ed6224b6e37f5c,Inline Variable,ConsensusModuleAgent,3586,3591,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
ae3afcd63e961d82ba68f16c1cde141386320c4d,Add Parameter,RecordingPos,72,92,
10ce4c4160cb3172f85f2201648b8a5dd3d1f50b,Extract Attribute,SingleNodeCluster,261,61,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
6c8a123e43202be75b1324d79c5193c8c7d3f4b7,Change Return Type,ArchiveConductor,191,192,
d5fc2ff2dbba146c0bbe83bcb8ca0f92e8adf7bc,Add Method Annotation,UdpChannel,1005,1011,
d5fc2ff2dbba146c0bbe83bcb8ca0f92e8adf7bc,Add Method Annotation,UdpChannel,1005,1011,
d5fc2ff2dbba146c0bbe83bcb8ca0f92e8adf7bc,Add Method Annotation,UdpChannel,1005,1011,
d5fc2ff2dbba146c0bbe83bcb8ca0f92e8adf7bc,Add Method Annotation,UdpChannel,1005,1011,
d5fc2ff2dbba146c0bbe83bcb8ca0f92e8adf7bc,Add Method Annotation,UdpChannel,1005,1011,
1ceffdef6a13375dbff91163222e62328f0c125c,Modify Method Annotation,DynamicMembershipTest,275,275,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
1707a621f0d241df7ec5a3b2edf799b84db755dc,Extract Superclass,ClusteredServiceAgent,73,65,
