e01d354b5ede7113f8f424f6feedde7b6a564661,Extract Attribute,Resolver,121,42,
95384910baf1226f242f5a738da61a8334ee1748,Extract And Move Method,ErrorEventHandler,40,3053,
e1ed5d3abe8de30e12aaf1e59fc33f968556a49e,Change Return Type,DefaultErrorEventHandler,27,27,
e1ed5d3abe8de30e12aaf1e59fc33f968556a49e,Change Return Type,DefaultErrorEventHandler,27,27,
e1ed5d3abe8de30e12aaf1e59fc33f968556a49e,Change Return Type,DefaultErrorEventHandler,27,27,
e1ed5d3abe8de30e12aaf1e59fc33f968556a49e,Change Return Type,DefaultErrorEventHandler,27,27,
e1ed5d3abe8de30e12aaf1e59fc33f968556a49e,Change Return Type,DefaultErrorEventHandler,27,27,
e1ed5d3abe8de30e12aaf1e59fc33f968556a49e,Change Return Type,DefaultErrorEventHandler,27,27,
e1ed5d3abe8de30e12aaf1e59fc33f968556a49e,Change Return Type,DefaultErrorEventHandler,27,27,
f4b3b27dbfa1b2f2a1942512001e1b9a838f4bbd,Rename Attribute,ErrorEvent,29,29,
f4b3b27dbfa1b2f2a1942512001e1b9a838f4bbd,Rename Attribute,ErrorEvent,29,29,
123c44db3de67028e5ca7f04481f03f5a8010210,Rename Parameter,ComponentTreeDumpingHelper,37,37,
123c44db3de67028e5ca7f04481f03f5a8010210,Rename Parameter,ComponentTreeDumpingHelper,37,37,
123c44db3de67028e5ca7f04481f03f5a8010210,Rename Parameter,ComponentTreeDumpingHelper,37,37,
9742432b01fc4a628c51676fa4b7fe0d57067926,Change Class Access Modifier,MountItemsPool,392,392,
9742432b01fc4a628c51676fa4b7fe0d57067926,Change Class Access Modifier,MountItemsPool,392,392,
35e117264d05f5ed98e36687f0e3eb97d4e3f850,Change Return Type,HostMountContentPool,48,48,
35e117264d05f5ed98e36687f0e3eb97d4e3f850,Change Return Type,HostMountContentPool,48,48,
35e117264d05f5ed98e36687f0e3eb97d4e3f850,Change Return Type,HostMountContentPool,48,48,
35e117264d05f5ed98e36687f0e3eb97d4e3f850,Change Return Type,HostMountContentPool,48,48,
35e117264d05f5ed98e36687f0e3eb97d4e3f850,Change Return Type,HostMountContentPool,48,48,
35e117264d05f5ed98e36687f0e3eb97d4e3f850,Change Return Type,HostMountContentPool,48,48,
3ca72bb20e0fd62ab0a839c9936a3d511f21e1d6,Change Variable Type,ComponentContext,565,570,
3ca72bb20e0fd62ab0a839c9936a3d511f21e1d6,Change Variable Type,ComponentContext,565,570,
0fe1d0a470211323928e2beca37c2aecf60bdaba,Add Parameter,ComponentContext,131,138,
0fe1d0a470211323928e2beca37c2aecf60bdaba,Add Parameter,ComponentContext,131,138,
