f0137f290780b8f9998f30097eb5a14341cd4480,Add Method Annotation,ApexRootNode,44,50,
8e72aaf9ab312f97a5f9dcd98774f5f965f77c6a,Remove Class Annotation,ExcessiveLengthRule,23,11,
bef608058bba84dba777119fd0c1d248191638e2,Rename Attribute,UnusedPrivateFieldRule,57,56,
637663212e9a77c5c38dfb8732105b96a78d2f65,Rename Variable,ApexCRUDViolationRule,660,660,
637663212e9a77c5c38dfb8732105b96a78d2f65,Rename Variable,ApexCRUDViolationRule,660,660,
e8510fa7daf8a91529a1a0a51432a7779ead1e8d,Add Class Annotation,ExcessiveLengthRule,11,23,
330594d51d38a50ec6c42881f3c46e0c4301f2e1,Add Class Annotation,ExcessiveClassLengthRule,9,15,
330594d51d38a50ec6c42881f3c46e0c4301f2e1,Add Class Annotation,ExcessiveClassLengthRule,9,15,
330594d51d38a50ec6c42881f3c46e0c4301f2e1,Add Class Annotation,ExcessiveClassLengthRule,9,15,
a9fb6f604ef4f301a0a96a0015a376cae84bcb13,Extract Method,CoreCliTest,237,257,
dc4f8d4cac83fa9926633d6fa7561a0fffec3c95,Remove Parameter,PathDataSource,40,59,
dc4f8d4cac83fa9926633d6fa7561a0fffec3c95,Remove Parameter,PathDataSource,40,59,
dc4f8d4cac83fa9926633d6fa7561a0fffec3c95,Remove Parameter,PathDataSource,40,59,
dc4f8d4cac83fa9926633d6fa7561a0fffec3c95,Remove Parameter,PathDataSource,40,59,
9d0bf66ee1f551735f272e13df94e7a67f9bede7,Change Variable Type,FileCollector,322,322,
9d0bf66ee1f551735f272e13df94e7a67f9bede7,Change Variable Type,FileCollector,322,322,
9d0bf66ee1f551735f272e13df94e7a67f9bede7,Change Variable Type,FileCollector,322,322,
9d0bf66ee1f551735f272e13df94e7a67f9bede7,Change Variable Type,FileCollector,322,322,
9d0bf66ee1f551735f272e13df94e7a67f9bede7,Change Variable Type,FileCollector,322,322,
9d0bf66ee1f551735f272e13df94e7a67f9bede7,Change Variable Type,FileCollector,322,322,
9d0bf66ee1f551735f272e13df94e7a67f9bede7,Change Variable Type,FileCollector,322,322,
c9e21cd4eb3ee069d76c0fc7f28de34bb37737ec,Rename Attribute,DataType,74,74,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
5ad37f67579e2ed2ed02e6ca68a8f28cd9d5aafa,Change Variable Type,ApexClassPropertyTypes,54,52,
7d0f60891c562fe986dcf76f269c6244654dfb7f,Add Parameter,NonSerializableClassRule,124,206,
7d0f60891c562fe986dcf76f269c6244654dfb7f,Add Parameter,NonSerializableClassRule,124,206,
f6e51b1457bec5f4664da727577d5c20575ace36,Extract Variable,NonSerializableClassRule,86,98,
69ccb693c0ec8d1c1ac63a6350f130a835adf74c,Rename Parameter,InvalidLogMessageFormatRule,265,268,
0d44e59f8285129f4dc9ba0652ee7cb83e3c8fc5,Extract Variable,InvalidJavaBeanRule,145,150,
0d44e59f8285129f4dc9ba0652ee7cb83e3c8fc5,Extract Variable,InvalidJavaBeanRule,145,150,
