Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,video_loader,video_loader,datasets/utils.py,35.0,35.0,['The parameters [ file_name_formatter ] are added to the method video_loader from the module datasets/utils.py'],0713325bf9be5cccf967ae4d2d8d6c1a95aebbaa,,,
Add Parameter,__init__,__init__,spatial_transforms.py/CornerCrop,60.0,60.0,['The parameters [ crop_positions ] are added to the method __init__ from the module spatial_transforms.py in class CornerCrop'],0fdffabc748809ada350d68c3a9d221863518ea9,,,
Add Parameter,__init__,__init__,spatial_transforms.py/MultiScaleCornerCrop,130.0,133.0,['The parameters [ crop_positions ] are added to the method __init__ from the module spatial_transforms.py in class MultiScaleCornerCrop'],0fdffabc748809ada350d68c3a9d221863518ea9,,,
Rename Class,Lambda,PickFirstChannels,spatial_transforms.py,,, class Lambda was renamed to class PickFirstChannels ,121a6342164d8f3640af23ee3816926c9fc6836e,,,
Add Parameter,__init__,__init__,models/densenet.py/DenseNet,84.0,84.0,['The parameters [ conv1_t_size ] are added to the method __init__ from the module models/densenet.py in class DenseNet'],15fa5b73141a3f1da9a457e0075ec4920335e1a9,,,
Add Parameter,__init__,__init__,datasets/activitynet.py/ActivityNet,189.0,247.0,['The parameters [ is_untrimmed_setting ] are added to the method __init__ from the module datasets/activitynet.py in class ActivityNet'],22d1c2919db418176d57c8ec1670e57c94453c9c,,,
Add Parameter,__init__,__init__,models/resnet.py/ResNet,105.0,99.0,['The parameters [ n_classes ] are added to the method __init__ from the module models/resnet.py in class ResNet'],26632d5326ff13389855262188c47eaa8690a4e8,,,
Add Parameter,__init__,__init__,models/resnext.py/ResNeXt,82.0,36.0,['The parameters [ conv1_t_size n_classes ] are added to the method __init__ from the module models/resnext.py in class ResNeXt'],26632d5326ff13389855262188c47eaa8690a4e8,,,
Remove Parameter,__init__,__init__,spatial_transforms.py/MultiScaleCornerCrop,282.0,126.0,['The parameters [ crop_positions ] of the method __init__ from the module spatial_transforms.py in class MultiScaleCornerCrop is/are removed'],2c6caaa39f272e0280533159e3dbc5209dddf62f,,,
Rename Method,get_opts,get_opt,main.py,33.0,33.0,['The method get_opts from the module main.py is renamed to get_opt'],2fbee465cb74bdf69881a13ef4ec0c6cc6a7899a,,,
Extract Method,__getitem__,loading,datasets/videodataset.py/VideoDataset,,, The method loading from the module datasets/videodataset.py in class VideoDataset is extracted from method __getitem__ from the module datasets/videodataset.py in class VideoDataset ,371a1b952acb0d2cccaf3ece7f594763d3f02e03,"(94,113)",104.0,"[100.0, 101.0, 102.0, 103.0, 104.0]"
Add Parameter,train_epoch,train_epoch,training.py,9.0,12.0,['The parameters [ distributed ] are added to the method train_epoch from the module training.py'],3c02dd3110c2c5cacb7a9313830f59eb7b439f0c,,,
Add Parameter,val_epoch,val_epoch,validation.py,8.0,11.0,['The parameters [ distributed ] are added to the method val_epoch from the module validation.py'],3c02dd3110c2c5cacb7a9313830f59eb7b439f0c,,,
Change/Rename Parameter,convert_kinetics_csv_to_json,convert_kinetics_csv_to_json,util_scripts/kinetics_json.py,41.0,41.0,['The parameters [ video_path ] of the method convert_kinetics_csv_to_json from the module util_scripts/kinetics_json.py are changed/renamed to [video_dir_path]'],434504ea8f7b4bc41e71df5a5b0c631b19951fbd,,,
Rename Method,get_training_set,get_training_data,dataset.py,8.0,8.0,['The method get_training_set from the module dataset.py is renamed to get_training_data'],4bc411a9cb733dad4de4e9959e9ce278dfc23d72,,,
Rename Method,get_validation_set,get_validation_data,dataset.py,51.0,51.0,['The method get_validation_set from the module dataset.py is renamed to get_validation_data'],4bc411a9cb733dad4de4e9959e9ce278dfc23d72,,,
Rename Method,get_test_utils,get_inference_utils,main.py,205.0,205.0,['The method get_test_utils from the module main.py is renamed to get_inference_utils'],4bc411a9cb733dad4de4e9959e9ce278dfc23d72,,,
Add Parameter,__init__,__init__,datasets/videodataset.py/VideoDataset,35.0,35.0,['The parameters [ target_type ] are added to the method __init__ from the module datasets/videodataset.py in class VideoDataset'],4cd482a7f8c9e53d727fd66b0a79ed9ff23d9db1,,,
Add Parameter,__init__,__init__,activitynet.py/ActivityNet,182.0,184.0,['The parameters [ sample_duration ] are added to the method __init__ from the module activitynet.py in class ActivityNet'],4f4a7af17070c424b626bd18989a05b8bbd09126,,,
Add Parameter,make_dataset,make_dataset,activitynet.py,104.0,104.0,['The parameters [ sample_duration ] are added to the method make_dataset from the module activitynet.py'],4f4a7af17070c424b626bd18989a05b8bbd09126,,,
Add Parameter,__init__,__init__,kinetics.py/Kinetics,149.0,154.0,['The parameters [ sample_duration ] are added to the method __init__ from the module kinetics.py in class Kinetics'],4f4a7af17070c424b626bd18989a05b8bbd09126,,,
Add Parameter,make_dataset,make_dataset,kinetics.py,84.0,85.0,['The parameters [ sample_duration ] are added to the method make_dataset from the module kinetics.py'],4f4a7af17070c424b626bd18989a05b8bbd09126,,,
Remove Parameter,calculate_video_results,calculate_video_results,test.py,36.0,69.0,['The parameters [ test_results ] of the method calculate_video_results from the module test.py is/are removed'],504475f1210c425afae080223366e0f604127a36,,,
Extract Method,test,test_in_buffer,test.py,,, The method test_in_buffer from the module test.py is extracted from method test from the module test.py ,504475f1210c425afae080223366e0f604127a36,"(50,83)",11.0,"[67.0, 77.0, 78.0, 80.0, 81.0, 85.0, 86.0, 87.0, 88.0, 92.0, 94.0, 95.0]"
Add Parameter,__init__,__init__,models/resnet.py/ResNet,104.0,104.0,['The parameters [ widen_factor ] are added to the method __init__ from the module models/resnet.py in class ResNet'],53ef41c02f8f8e60b7f23490d4a4fd16567b7ec2,,,
Add Parameter,__init__,__init__,models/resnet2p1d.py/ResNet,141.0,141.0,['The parameters [ widen_factor ] are added to the method __init__ from the module models/resnet2p1d.py in class ResNet'],53ef41c02f8f8e60b7f23490d4a4fd16567b7ec2,,,
Add Parameter,__init__,__init__,spatial_transforms.py/MultiScaleCornerCrop,277.0,277.0,['The parameters [ crop_positions ] are added to the method __init__ from the module spatial_transforms.py in class MultiScaleCornerCrop'],54e5d2f14b6a25d773f2c83dac14ff87cdc489fc,,,
Add Parameter,get_train_utils,get_train_utils,main.py,90.0,92.0,['The parameters [ model_parameters ] are added to the method get_train_utils from the module main.py'],59adc95583bda871b28b5269848d3582b1a69024,,,
Add Parameter,__init__,__init__,datasets/videodataset.py/VideoDataset,142.0,14.0,['The parameters [ image_name_formatter ] are added to the method __init__ from the module datasets/videodataset.py in class VideoDataset'],5ee6b2a03f43b55cd5834f103c5b221d8acf4b3e,,,
Rename Method,loading,__loading,datasets/videodataset.py/VideoDataset,160.0,80.0,['The method loading from the module datasets/videodataset.py in class VideoDataset is renamed to __loading'],5ee6b2a03f43b55cd5834f103c5b221d8acf4b3e,,,
Add Parameter,resume,resume,main.py,54.0,54.0,['The parameters [ optimizer scheduler ] are added to the method resume from the module main.py'],617772074c594424d8a907ed00651777ff99cec0,,,
