Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,decode_batch,decode_batch,SpeechModel.py/ModelSpeech,213.0,213.0,['The parameters [ self ] are added to the method decode_batch from the module SpeechModel.py in class ModelSpeech'],00061ab74eea4a8d0bad1a9c5d4e91ecc660e2cc,,,,,,,
Add Parameter,TestModel,TestModel,SpeechModel251.py/ModelSpeech,207.0,206.0,['The parameters [ io_step_print io_step_file ] are added to the method TestModel from the module SpeechModel251.py in class ModelSpeech'],18922dcd00832a0a5364bd33bb27c28d28bbc19a,,,,,,,
Add Parameter,TestModel,TestModel,SpeechModel22.py/ModelSpeech,227.0,229.0,['The parameters [ show_ratio ] are added to the method TestModel from the module SpeechModel22.py in class ModelSpeech'],2685bbe32b046cce03e459d6be0b88b990a84adc,,,,,,,
Change/Rename Parameter,__init__,__init__,speech_model_zoo.py/SpeechModel251,79.0,79.0,['The parameters [ output_size ] of the method __init__ from the module speech_model_zoo.py in class SpeechModel251 are changed/renamed to [output_shape]'],26bb12607a06afcc29817a0883dbcc742ca1a043,,,,,,,
Change/Rename Parameter,__init__,__init__,main.py/ModelSpeech,18.0,18.0,['The parameters [ MS_EMBED_SIZE ] of the method __init__ from the module main.py in class ModelSpeech are changed/renamed to [MS_OUTPUT_SIZE]'],4ca877a046d0ffe5c007f5a42ccfe354d243fa85,,,,,,,
Add Parameter,__init__,__init__,speech_features/speech_features.py/Logfbank,93.0,93.0,['The parameters [ nfilt ] are added to the method __init__ from the module speech_features/speech_features.py in class Logfbank'],555440644b79555543f0f73dec051d40b5666f2e,,,,,,,
Add Parameter,TestModel,TestModel,SpeechModel.py/ModelSpeech,174.0,179.0,['The parameters [ data_count ] are added to the method TestModel from the module SpeechModel.py in class ModelSpeech'],5a31fc69cceb7c799962ea1f5fe5fa57a9dae867,,,,,,,
Add Parameter,TrainModel,TrainModel,SpeechModel.py/ModelSpeech,132.0,135.0,['The parameters [ batch_size ] are added to the method TrainModel from the module SpeechModel.py in class ModelSpeech'],5a31fc69cceb7c799962ea1f5fe5fa57a9dae867,,,,,,,
Extract Method,GetData,GetMfccFeature,readdata.py/DataSpeech,,, The method GetMfccFeature from the module readdata.py in class DataSpeech is extracted from method GetData from the module readdata.py in class DataSpeech ,5a31fc69cceb7c799962ea1f5fe5fa57a9dae867,"(92,101)",92.0,"[109.0, 110.0, 111.0, 125.0]",,,,
Extract Method,RecognizeSpeech,Predict,SpeechModel2.py/ModelSpeech,,, The method Predict from the module SpeechModel2.py in class ModelSpeech is extracted from method RecognizeSpeech from the module SpeechModel2.py in class ModelSpeech ,69e20f98675fdfd075ecce556fe18ca45f031e02,"(180,254)",204.0,"[197.0, 199.0, 202.0, 203.0, 205.0, 206.0, 210.0, 214.0, 215.0, 219.0, 223.0, 227.0]",,,,
Add Parameter,TrainModel,TrainModel,SpeechModel2.py/ModelSpeech,128.0,119.0,['The parameters [ batch_size ] are added to the method TrainModel from the module SpeechModel2.py in class ModelSpeech'],700186a8217264c9ed70003e064986e5ef1a0898,,,,,,,
Extract Method,GetData,GetFrequencyFeature,readdata.py/DataSpeech,,, The method GetFrequencyFeature from the module readdata.py in class DataSpeech is extracted from method GetData from the module readdata.py in class DataSpeech ,700186a8217264c9ed70003e064986e5ef1a0898,"(101,124)",104.0,"[132.0, 133.0, 136.0, 137.0, 138.0, 139.0, 141.0, 142.0]",,,,
