Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit
Change/Rename Parameter,destringify_jpg,destringify_jpg,berrynet/comm/payload.py,14,14,['The parameters [ serialized_jpg ] of the method destringify_jpg from the module berrynet/comm/payload.py are changed/renamed to [stringified_jpg]'],189ba9607ab1c0488d8f6d137fe786d2a11457f5
Add Parameter,__init__,__init__,berrynet/client/fbdashboard.py/FBDashboardService,42,43,['The parameters [ no_decoration debug ] are added to the method __init__ from the module berrynet/client/fbdashboard.py in class FBDashboardService'],41b2d58413f41d01a22a19e5b49672c91cb0cfe2
Add Parameter,__init__,__init__,berrynet/service/darknet_service.py/DarknetService,32,96,['The parameters [ draw ] are added to the method __init__ from the module berrynet/service/darknet_service.py in class DarknetService'],48b862dd665aff60638daa1cde862508e97d7ef1
Add Parameter,__init__,__init__,berrynet/client/telegram_bot.py/TelegramBotService,33,33,['The parameters [ target_label ] are added to the method __init__ from the module berrynet/client/telegram_bot.py in class TelegramBotService'],544e5de4a0eee06cf15ac6558b5d349a994364b9
Rename Method,handler_hello,handler_hi,berrynet/client/telegram_bot.py/TelegramBotService,149,149,['The method handler_hello from the module berrynet/client/telegram_bot.py in class TelegramBotService is renamed to handler_hi'],5857901512d4cac1680de941bdd571687ce59f24
Add Parameter,serialize_jpg,serialize_jpg,berrynet/comm/payload.py,90,90,['The parameters [ meta ] are added to the method serialize_jpg from the module berrynet/comm/payload.py'],59f6ab7ef69825ac6544133267dafdb7be73a8e3
Remove Parameter,__init__,__init__,berrynet/engine/darknet_engine.py/DarknetEngine,173,173,['The parameters [ top_k ] of the method __init__ from the module berrynet/engine/darknet_engine.py in class DarknetEngine is/are removed'],81199e4944328a72ddab60f57b23417caecc6211
Add Parameter,__init__,__init__,berrynet/engine/tflite_engine.py/TFLiteDetectorEngine,16,16,['The parameters [ num_threads threshold ] are added to the method __init__ from the module berrynet/engine/tflite_engine.py in class TFLiteDetectorEngine'],8a7efc977c21515358e09abec7869e3093f127c7
Add Parameter,serialize_jpg,serialize_jpg,berrynet/comm/payload.py,84,90,['The parameters [ md5sum ] are added to the method serialize_jpg from the module berrynet/comm/payload.py'],9ad0fa45a53694ce3c9e6707bb5cdc328060c564
Change/Rename Parameter,sendConfig,sendConfig,berrynet/client/dyda_config_update.py/DydaConfigUpdateClient,42,42,['The parameters [ jsonPayload ] of the method sendConfig from the module berrynet/client/dyda_config_update.py in class DydaConfigUpdateClient are changed/renamed to [payloadID]'],c0e8d55d1364a7bbaddf94b189ec97d26702950c
Change/Rename Parameter,convert,convert,utils/xmlTotxt.py,15,19,['The parameters [ X Y ] of the method convert from the module utils/xmlTotxt.py are changed/renamed to [in_x in_y]'],d60c1396e2c3f93849acc0fad6b01d2d0801c0be
Add Parameter,__init__,__init__,berrynet/client/fbdashboard.py/FBDashboardService,43,43,['The parameters [ save_frame ] are added to the method __init__ from the module berrynet/client/fbdashboard.py in class FBDashboardService'],e97e0d665eee54eb41bc999bd234d67ff69577c0
Add Parameter,connect_telegram,connect_telegram,berrynet/client/telegram_bot.py/TelegramBotService,128,131,['The parameters [ args ] are added to the method connect_telegram from the module berrynet/client/telegram_bot.py in class TelegramBotService'],f3809b8174571b79794fcb7e27650aedf424eef4
Add Parameter,__init__,__init__,berrynet/service/movidius_service.py/MovidiusMobileNetSSDService,47,49,['The parameters [ draw ] are added to the method __init__ from the module berrynet/service/movidius_service.py in class MovidiusMobileNetSSDService'],ffa8307fb37511beed364067f908ff830f75e4b1
