Refactoring Type,Original,Updated,Location,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Description,Commit,Original Line,Updated Line,Old Location,New Location,Old Method Line,New Method Line
Extract Method,get_script_data,get_var_from_main,gekko/gk_gui.py/FlaskThread,"(70,94)",72.0,"[95.0, 108.0, 109.0, 110.0, 111.0, 112.0, 113.0]", The method get_var_from_main from the module gekko/gk_gui.py in class FlaskThread is extracted from method get_script_data from the module gekko/gk_gui.py in class FlaskThread ,034c5913809c64392047dadf127345822f5aadd0,,,,,,
Add Parameter,__init__,__init__,gekko/gk_gui.py/GK_GUI,,,,['The parameters [ path ] are added to the method __init__ from the module gekko/gk_gui.py in class GK_GUI'],12946bd51da19a7dd3877c2aaa473a62cb1155cf,24.0,24.0,,,,
Add Parameter,GUI,GUI,gekko/gekko.py/GEKKO,,,,['The parameters [ namespace ] are added to the method GUI from the module gekko/gekko.py in class GEKKO'],1c19b9bc28b8c9476a3ae5d97d0aeac9bf983b59,866.0,866.0,,,,
Add Parameter,__init__,__init__,gekko/gk_gui.py/GK_GUI,,,,['The parameters [ namespace ] are added to the method __init__ from the module gekko/gk_gui.py in class GK_GUI'],1c19b9bc28b8c9476a3ae5d97d0aeac9bf983b59,16.0,16.0,,,,
Move Method,like,like,,,,, method like from the module gekko/gekko.py in class GEKKO was moved to module gekko/gk_debug.py ,2409d65ba8eae7ab89b407a193dbf304771c37b4,,,gekko/gekko.py/GEKKO,gekko/gk_debug.py,1007.0,85.0
Move Method,verify_input_options,verify_input_options,,,,, method verify_input_options from the module gekko/gekko.py in class GEKKO was moved to module gekko/gk_debug.py ,2409d65ba8eae7ab89b407a193dbf304771c37b4,,,gekko/gekko.py/GEKKO,gekko/gk_debug.py,1013.0,91.0
Change/Rename Parameter,solve,solve,gekko/gekko.py/GEKKO,,,,['The parameters [ verify_input ] of the method solve from the module gekko/gekko.py in class GEKKO are changed/renamed to [debug]'],2a67621ab0c1a012a876e85370ec1f496d295ce0,338.0,338.0,,,,
Add Parameter,__init__,__init__,gekko/gk_gui.py/GK_GUI,,,,['The parameters [ theme ] are added to the method __init__ from the module gekko/gk_gui.py in class GK_GUI'],3355dcf0893f196e307d746397244a6e6b5aba4f,23.0,24.0,,,,
Add Parameter,Param,Param,gekko/gekko.py/GEKKO,,,,['The parameters [ lb ub integer ] are added to the method Param from the module gekko/gekko.py in class GEKKO'],3d01603a288bbab47c4ff87d0710e028f95bd9d3,118.0,118.0,,,,
Add Parameter,__init__,__init__,gekko/gk_parameter.py/GKParameter,,,,['The parameters [ lb ub ] are added to the method __init__ from the module gekko/gk_parameter.py in class GKParameter'],3d01603a288bbab47c4ff87d0710e028f95bd9d3,32.0,32.0,,,,
Add Parameter,arx,arx,gekko/gekko.py/GEKKO,,,,['The parameters [ y u ] are added to the method arx from the module gekko/gekko.py in class GEKKO'],4c93f269baeda5f6ff5ef997e256dc1e9cf32ef5,349.0,350.0,,,,
Add Parameter,__init__,__init__,gekko/gk_gui.py/GK_GUI,,,,['The parameters [ theme ] are added to the method __init__ from the module gekko/gk_gui.py in class GK_GUI'],5d0af147ae4baa3f83913ccaccfefc818badb279,23.0,33.0,,,,
Rename Method,MV,FV,gekko/gekko.py/GEKKO,,,,['The method MV from the module gekko/gekko.py in class GEKKO is renamed to FV'],6429bb7ac75b4e2e8b4be0eb4b0e5331dd6a87c4,134.0,120.0,,,,
Rename Method,FV,MV,gekko/gekko.py/GEKKO,,,,['The method FV from the module gekko/gekko.py in class GEKKO is renamed to MV'],6429bb7ac75b4e2e8b4be0eb4b0e5331dd6a87c4,120.0,134.0,,,,
Rename Method,Var,SV,gekko/gekko.py/GEKKO,,,,['The method Var from the module gekko/gekko.py in class GEKKO is renamed to SV'],6429bb7ac75b4e2e8b4be0eb4b0e5331dd6a87c4,147.0,161.0,,,,
