Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Change/Rename Parameter,init_dht_sensor,init_dht_sensor,Software/Python/easygopigo3.py/EasyGoPiGo3,841.0,830.0,['The parameters [ port ] of the method init_dht_sensor from the module Software/Python/easygopigo3.py in class EasyGoPiGo3 are changed/renamed to [use_mutex]'],0e931c807c1f1613aa8fc6f1232378b89e8dd5ef,,,,,,,
Add Parameter,init_distance_sensor,init_distance_sensor,Software/Python/easygopigo3.py/EasyGoPiGo3,820.0,808.0,['The parameters [ use_mutex ] are added to the method init_distance_sensor from the module Software/Python/easygopigo3.py in class EasyGoPiGo3'],0e931c807c1f1613aa8fc6f1232378b89e8dd5ef,,,,,,,
Add Parameter,__init__,__init__,Software/Python/easygopigo3.py/DistanceSensor,2599.0,2595.0,['The parameters [ use_mutex ] are added to the method __init__ from the module Software/Python/easygopigo3.py in class DistanceSensor'],0e931c807c1f1613aa8fc6f1232378b89e8dd5ef,,,,,,,
Change/Rename Parameter,__init__,__init__,Software/Python/easygopigo3.py/DHTSensor,2717.0,2733.0,['The parameters [ port ] of the method __init__ from the module Software/Python/easygopigo3.py in class DHTSensor are changed/renamed to [use_mutex]'],0e931c807c1f1613aa8fc6f1232378b89e8dd5ef,,,,,,,
Add Parameter,turn_degrees,turn_degrees,Software/Python/easygopigo3.py/EasyGoPiGo3,259.0,266.0,['The parameters [ blocking ] are added to the method turn_degrees from the module Software/Python/easygopigo3.py in class EasyGoPiGo3'],1048bd3eefe8c9f09c90a424de0e055048ac49e4,,,,,,,
Add Parameter,__init__,__init__,Software/Python/easygopigo3.py/Sensor,132.0,143.0,['The parameters [ gpg ] are added to the method __init__ from the module Software/Python/easygopigo3.py in class Sensor'],10f107b7362d6f504c5f6229b34aa74779174254,,,,,,,
Add Parameter,__init__,__init__,Software/Python/easygopigo3.py/AnalogSensor,218.0,249.0,['The parameters [ gpg ] are added to the method __init__ from the module Software/Python/easygopigo3.py in class AnalogSensor'],10f107b7362d6f504c5f6229b34aa74779174254,,,,,,,
Add Parameter,__init__,__init__,Software/Python/easygopigo3.py/LightSensor,246.0,277.0,['The parameters [ gpg ] are added to the method __init__ from the module Software/Python/easygopigo3.py in class LightSensor'],10f107b7362d6f504c5f6229b34aa74779174254,,,,,,,
Remove Parameter,__init__,__init__,Software/Python/easygopigo3.py/EasyGoPiGo3,90.0,90.0,['The parameters [ run_init ] of the method __init__ from the module Software/Python/easygopigo3.py in class EasyGoPiGo3 is/are removed'],1df1f7f65804279447e92e87ae5b78926005df2f,,,,,,,
Add Parameter,init_dht_sensor,init_dht_sensor,Software/Python/easygopigo3.py/EasyGoPiGo3,785.0,785.0,['The parameters [ use_mutex ] are added to the method init_dht_sensor from the module Software/Python/easygopigo3.py in class EasyGoPiGo3'],2571030793b0686f22e333bb4375dcd04651066e,,,,,,,
Add Parameter,init_distance_sensor,init_distance_sensor,Software/Python/easygopigo3.py/EasyGoPiGo3,764.0,764.0,['The parameters [ use_mutex ] are added to the method init_distance_sensor from the module Software/Python/easygopigo3.py in class EasyGoPiGo3'],2571030793b0686f22e333bb4375dcd04651066e,,,,,,,
Add Parameter,__init__,__init__,Software/Python/easygopigo3.py/DistanceSensor,2379.0,2379.0,['The parameters [ use_mutex ] are added to the method __init__ from the module Software/Python/easygopigo3.py in class DistanceSensor'],2571030793b0686f22e333bb4375dcd04651066e,,,,,,,
Add Parameter,__init__,__init__,Software/Python/easygopigo3.py/DHTSensor,2526.0,2530.0,['The parameters [ use_mutex ] are added to the method __init__ from the module Software/Python/easygopigo3.py in class DHTSensor'],2571030793b0686f22e333bb4375dcd04651066e,,,,,,,
Extract Method,handle_one_servo,get_sensor_instance,Software/Scratch/GoPiGo3Scratch.py,,, The method get_sensor_instance from the module Software/Scratch/GoPiGo3Scratch.py is extracted from method handle_one_servo from the module Software/Scratch/GoPiGo3Scratch.py ,3a7d4a72b0e0aec439c2c27368e4be500c241d1c,"(430,495)",185.0,"[432.0, 434.0, 436.0]",,,,
Add Parameter,__init__,__init__,Software/Python/easygopigo3.py/EasyGoPiGo3,95.0,97.0,['The parameters [ config_file_path ] are added to the method __init__ from the module Software/Python/easygopigo3.py in class EasyGoPiGo3'],47052db30f82811f4cb09f3577d753a14438d721,,,,,,,
Add Parameter,__init__,__init__,Software/Python/easygopigo3.py/EasyGoPiGo3,90.0,90.0,['The parameters [ run_init ] are added to the method __init__ from the module Software/Python/easygopigo3.py in class EasyGoPiGo3'],4e17d4d740237904290862cc1bbbf9a2c38f9936,,,,,,,
Add Parameter,drive_cm,drive_cm,Software/Python/easygopigo3.py/EasyGoPiGo3,300.0,225.0,['The parameters [ dist_to_obstacle ] are added to the method drive_cm from the module Software/Python/easygopigo3.py in class EasyGoPiGo3'],4e17d4d740237904290862cc1bbbf9a2c38f9936,,,,,,,
Add Parameter,drive_inches,drive_inches,Software/Python/easygopigo3.py/EasyGoPiGo3,339.0,269.0,['The parameters [ dist_to_obstacle ] are added to the method drive_inches from the module Software/Python/easygopigo3.py in class EasyGoPiGo3'],4e17d4d740237904290862cc1bbbf9a2c38f9936,,,,,,,
Extract Method,handle_button,get_sensor_instance,Software/Scratch/GoPiGo3Scratch.py,,, The method get_sensor_instance from the module Software/Scratch/GoPiGo3Scratch.py is extracted from method handle_button from the module Software/Scratch/GoPiGo3Scratch.py ,676cc5c95a9d4643aafdb5f0854815154037ea4f,"(424,466)",185.0,"[428.0, 430.0, 432.0]",,,,
Rename Method,_gopigo3_command_rightservo2_incrementally,_gopigo3_command_rightservo1_incrementally,Projects/ServoControl/keyboarded_robot.py/GoPiGo3WithKeyboard,135.0,138.0,['The method _gopigo3_command_rightservo2_incrementally from the module Projects/ServoControl/keyboarded_robot.py in class GoPiGo3WithKeyboard is renamed to _gopigo3_command_rightservo1_incrementally'],6ac63ad8fb689a113549f006cff9962744376a11,,,,,,,
