Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,pass_move,pass_move,go.py/Position,290.0,287.0,['The parameters [ mutate ] are added to the method pass_move from the module go.py in class Position'],014a8b3b3443604e9b12dba0e8e7f70a65b39a32,,,
Add Parameter,play_move,play_move,go.py/Position,307.0,304.0,['The parameters [ mutate ] are added to the method play_move from the module go.py in class Position'],014a8b3b3443604e9b12dba0e8e7f70a65b39a32,,,
Change/Rename Parameter,update_groups,update_groups,go.py,93.0,95.0,['The parameters [ existing_x_groups ] of the method update_groups from the module go.py are changed/renamed to [existing_O_groups]'],055368a50779d855b49dea224fac3169db4e9d82,,,
Rename Method,flood_fill,find_reached,go.py,54.0,53.0,['The method flood_fill from the module go.py is renamed to find_reached'],06b6715f5c12e9a667c176901a730a896495efc8,,,
Remove Parameter,load_board,load_board,tests/test_utils.py,11.0,11.0,['The parameters [ player1turn ] of the method load_board from the module tests/test_utils.py is/are removed'],06b6715f5c12e9a667c176901a730a896495efc8,,,
Change/Rename Parameter,__init__,__init__,strategies.py/PolicyNetworkBestMovePlayer,51.0,52.0,['The parameters [ network ] of the method __init__ from the module strategies.py in class PolicyNetworkBestMovePlayer are changed/renamed to [policy_network]'],164e98b831740cefd985b58aa83d6accd73c18bc,,,
Remove Parameter,play_move,play_move,go.py/Position,245.0,245.0,['The parameters [ color ] of the method play_move from the module go.py in class Position is/are removed'],21125884ebb93e387d9822e10f18a326c61a53dd,,,
Extract Method,deduce_groups,find_liberties,go.py,,, The method find_liberties from the module go.py is extracted from method deduce_groups from the module go.py ,4a24c97db8fcb8bb6c2158ea5b5abc33b08b507d,"(71,76)",71.0,"[78.0, 79.0]"
Rename Method,is_eyeish,is_koish,go.py,70.0,78.0,['The method is_eyeish from the module go.py is renamed to is_koish'],599a1d47fb7b9e6dcd8a236c09aa51448973cee8,,,
Add Parameter,train,train,main.py,36.0,36.0,['The parameters [ logdir ] are added to the method train from the module main.py'],5de18ebad3af219cb11df3d241c2ee9434905f36,,,
Change/Rename Parameter,__init__,__init__,policy.py/PolicyNetwork,34.0,34.0,['The parameters [ num_input_planes ] of the method __init__ from the module policy.py in class PolicyNetwork are changed/renamed to [features]'],6236b20fc07d9e6ba26628d2e6117794d0720a10,,,
Rename Method,load_data_sets,process_raw_data,load_data_sets.py,94.0,111.0,['The method load_data_sets from the module load_data_sets.py is renamed to process_raw_data'],6f3e4e08e196abc17dcc3de58fb1870f54fdfc00,,,
Add Parameter,train,train,main.py,36.0,54.0,['The parameters [ processed_dir ] are added to the method train from the module main.py'],6f3e4e08e196abc17dcc3de58fb1870f54fdfc00,,,
Rename Method,test_available_moves,test_possible_moves,tests/test_tictactoe.py/TestTicTacToe,5.0,5.0,['The method test_available_moves from the module tests/test_tictactoe.py in class TestTicTacToe is renamed to test_possible_moves'],73ed06630363d258dc6248728d2cc15fec4a0a56,,,
Add Parameter,initialize_variables,initialize_variables,policy.py/PolicyNetwork,76.0,79.0,['The parameters [ save_file ] are added to the method initialize_variables from the module policy.py in class PolicyNetwork'],797df65d4bd5a5a5584c47b007065b087d737f3f,,,
Rename Method,conv2d,_conv2d,policy.py/PolicyNetwork,61.0,61.0,['The method conv2d from the module policy.py in class PolicyNetwork is renamed to _conv2d'],7b4ab9efb4f75409af89638831c13b93a884ac0a,,,
Rename Method,weight_variable,_weight_variable,policy.py/PolicyNetwork,54.0,54.0,['The method weight_variable from the module policy.py in class PolicyNetwork is renamed to _weight_variable'],7b4ab9efb4f75409af89638831c13b93a884ac0a,,,
Rename Method,valid,is_usable,sgf_wrapper.py/PositionWithContext,105.0,105.0,['The method valid from the module sgf_wrapper.py in class PositionWithContext is renamed to is_usable'],7ea54b569346a880fcd5969a5f1b2cc5f41879e6,,,
