Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,get_game_number_on_screen,get_game_number_on_screen,table_analysers/table_screen_based.py/TableScreenBased,683.0,684.0,['The parameters [ h ] are added to the method get_game_number_on_screen from the module table_analysers/table_screen_based.py in class TableScreenBased'],04c59396791adc1fcfcbffd5c7ed624329256c53,,,,,,,
Change/Rename Parameter,calculate_implied_odds,calculate_implied_odds,decisionmaker/implied_odds.py/Implied_Odds,5.0,7.0,['The parameters [ outs ] of the method calculate_implied_odds from the module decisionmaker/implied_odds.py in class Implied_Odds are changed/renamed to [t]'],068e68e69510d1c01039ca0787a11d60f2164f0a,,,,,,,
Remove Parameter,create_test_images,create_test_images,poker/scraper/table_scraper_nn.py/CardNeuralNetwork,67.0,58.0,['The parameters [ self ] of the method create_test_images from the module poker/scraper/table_scraper_nn.py in class CardNeuralNetwork is/are removed'],0aefccbc1767695eefcc8a5221ce1fc41422bde9,,,,,,,
Rename Method,test_bluff,no_test_bluff,poker/tests/test_decision.py/TestDecision,16.0,16.0,['The method test_bluff from the module poker/tests/test_decision.py in class TestDecision is renamed to no_test_bluff'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_position_adjustment,no_test_position_adjustment,poker/tests/test_decision.py/TestDecision,40.0,40.0,['The method test_position_adjustment from the module poker/tests/test_decision.py in class TestDecision is renamed to no_test_position_adjustment'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_incorrect_second_round,no_test_incorrect_second_round,poker/tests/test_reverseTables.py/TestReverseTables,220.0,229.0,['The method test_incorrect_second_round from the module poker/tests/test_reverseTables.py in class TestReverseTables is renamed to no_test_incorrect_second_round'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_preflop_state1,no_test_preflop_state1,poker/tests/test_reverseTables.py/TestReverseTables,26.0,26.0,['The method test_preflop_state1 from the module poker/tests/test_reverseTables.py in class TestReverseTables is renamed to no_test_preflop_state1'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_preflop_state2,no_test_preflop_state2,poker/tests/test_reverseTables.py/TestReverseTables,57.0,58.0,['The method test_preflop_state2 from the module poker/tests/test_reverseTables.py in class TestReverseTables is renamed to no_test_preflop_state2'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_ranges,no_test_ranges,poker/tests/test_reverseTables.py/TestReverseTables,135.0,139.0,['The method test_ranges from the module poker/tests/test_reverseTables.py in class TestReverseTables is renamed to no_test_ranges'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_ranges_2nd_call,no_test_ranges_2nd_call,poker/tests/test_reverseTables.py/TestReverseTables,180.0,187.0,['The method test_ranges_2nd_call from the module poker/tests/test_reverseTables.py in class TestReverseTables is renamed to no_test_ranges_2nd_call'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_ranges_2nd_round,no_test_ranges_2nd_round,poker/tests/test_reverseTables.py/TestReverseTables,158.0,164.0,['The method test_ranges_2nd_round from the module poker/tests/test_reverseTables.py in class TestReverseTables is renamed to no_test_ranges_2nd_round'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_ranges_call_column,no_test_ranges_call_column,poker/tests/test_reverseTables.py/TestReverseTables,203.0,211.0,['The method test_ranges_call_column from the module poker/tests/test_reverseTables.py in class TestReverseTables is renamed to no_test_ranges_call_column'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_reversetable_76,no_test_reversetable_76,poker/tests/test_reverseTables.py/TestReverseTables,113.0,116.0,['The method test_reversetable_76 from the module poker/tests/test_reverseTables.py in class TestReverseTables is renamed to no_test_reversetable_76'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test_reversetable_88,no_test_reversetable_88,poker/tests/test_reverseTables.py/TestReverseTables,95.0,97.0,['The method test_reversetable_88 from the module poker/tests/test_reverseTables.py in class TestReverseTables is renamed to no_test_reversetable_88'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Remove Parameter,reverse_init,reverse_init,poker/tests/test_reverseTables.py,12.0,12.0,['The parameters [ logger ] of the method reverse_init from the module poker/tests/test_reverseTables.py is/are removed'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test1,no_test1,poker/tests/test_tableScreenBased.py/TestTableScreenBased,10.0,10.0,['The method test1 from the module poker/tests/test_tableScreenBased.py in class TestTableScreenBased is renamed to no_test1'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test2,no_test2,poker/tests/test_tableScreenBased.py/TestTableScreenBased,20.0,20.0,['The method test2 from the module poker/tests/test_tableScreenBased.py in class TestTableScreenBased is renamed to no_test2'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test3,no_test3,poker/tests/test_tableScreenBased.py/TestTableScreenBased,36.0,36.0,['The method test3 from the module poker/tests/test_tableScreenBased.py in class TestTableScreenBased is renamed to no_test3'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Rename Method,test4,no_test4,poker/tests/test_tableScreenBased.py/TestTableScreenBased,45.0,45.0,['The method test4 from the module poker/tests/test_tableScreenBased.py in class TestTableScreenBased is renamed to no_test4'],10090cc1ed17eeab5f0ba1468c47f9e8537689b8,,,,,,,
Remove Parameter,__init__,__init__,decisionmaker/decisionmaker.py/Decision,27.0,25.0,['The parameters [ logger ] of the method __init__ from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Remove Parameter,admin,admin,decisionmaker/decisionmaker.py/Decision,395.0,399.0,['The parameters [ logger ] of the method admin from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Remove Parameter,betting,betting,decisionmaker/decisionmaker.py/Decision,266.0,270.0,['The parameters [ logger ] of the method betting from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Remove Parameter,bluff,bluff,decisionmaker/decisionmaker.py/Decision,309.0,313.0,['The parameters [ logger ] of the method bluff from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Remove Parameter,bully,bully,decisionmaker/decisionmaker.py/Decision,376.0,380.0,['The parameters [ logger ] of the method bully from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Remove Parameter,calling,calling,decisionmaker/decisionmaker.py/Decision,258.0,262.0,['The parameters [ logger ] of the method calling from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Remove Parameter,check_deception,check_deception,decisionmaker/decisionmaker.py/Decision,345.0,349.0,['The parameters [ logger ] of the method check_deception from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Add Parameter,start_logger,start_logger,debug_logger.py/debug_logger,4.0,4.0,['The parameters [ name ] are added to the method start_logger from the module debug_logger.py in class debug_logger'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,run_montecarlo,run_montecarlo,decisionmaker/montecarlo_v3.py/MonteCarlo,352.0,354.0,['The parameters [ logger ] are added to the method run_montecarlo from the module decisionmaker/montecarlo_v3.py in class MonteCarlo'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Remove Parameter,run_montecarlo_wrapper,run_montecarlo_wrapper,decisionmaker/montecarlo_v3.py,409.0,411.0,['The parameters [ terminalmode ] of the method run_montecarlo_wrapper from the module decisionmaker/montecarlo_v3.py is/are removed'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,__init__,__init__,main.py/Table,46.0,45.0,['The parameters [ gui_signals logger ] are added to the method __init__ from the module main.py in class Table'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_ocr_float,get_ocr_float,main.py/Table,182.0,185.0,['The parameters [ force_method ] are added to the method get_ocr_float from the module main.py in class Table'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,take_screenshot,take_screenshot,main.py/Table,124.0,127.0,['The parameters [ p ] are added to the method take_screenshot from the module main.py in class Table'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_current_bet_value,get_current_bet_value,main.py/TableScreenBased,797.0,800.0,['The parameters [ p ] are added to the method get_current_bet_value from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
