Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,_hash,_hash,pyemma/_base/serialization/h5file.py/H5Wrapper,170.0,171.0,['The parameters [ model ] are added to the method _hash from the module pyemma/_base/serialization/h5file.py in class H5Wrapper'],0023d66ccd6161e5214cd15f0deefee71712f973,,,,,,,
Change/Rename Parameter,tmatrix_sampler,tmatrix_sampler,emma2/msm/estimation/api.py,493.0,545.0,['The parameters [ P0 ] of the method tmatrix_sampler from the module emma2/msm/estimation/api.py are changed/renamed to [T0]'],010048c51ea67b9bc7f70f6ae9db35b3032326f2,,,,,,,
Add Parameter,__init__,__init__,pyemma/msm/ui/msm.py/MSM,34.0,34.0,['The parameters [ neig ] are added to the method __init__ from the module pyemma/msm/ui/msm.py in class MSM'],0100d30994683767b82dd5b8f0d95a0a051c94ac,,,,,,,
Extract Method,__init__,_estimate_chunksize_from_mem_requirement,pyemma/coordinates/discretizer.py/Discretizer,,, The method _estimate_chunksize_from_mem_requirement from the module pyemma/coordinates/discretizer.py in class Discretizer is extracted from method __init__ from the module pyemma/coordinates/discretizer.py in class Discretizer ,015e8a22908f1f29b2d60c4d5fa1f687f945a253,"(37,37)",100.0,"[73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 82.0, 83.0, 84.0, 85.0, 91.0, 92.0, 95.0, 98.0, 99.0, 102.0, 103.0, 105.0, 106.0, 109.0]",,,,
Add Parameter,discretizer,discretizer,pyemma/coordinates/api.py,289.0,289.0,['The parameters [ run param_stride ] are added to the method discretizer from the module pyemma/coordinates/api.py'],01eb3dc440d0f67530fc406aabf6ab898975a0ae,,,,,,,
Add Parameter,_map_to_memory,_map_to_memory,pyemma/coordinates/io/feature_reader.py/FeatureReader,201.0,199.0,['The parameters [ stride ] are added to the method _map_to_memory from the module pyemma/coordinates/io/feature_reader.py in class FeatureReader'],01eb3dc440d0f67530fc406aabf6ab898975a0ae,,,,,,,
Add Parameter,parametrize,parametrize,pyemma/coordinates/io/feature_reader.py/FeatureReader,105.0,105.0,['The parameters [ stride ] are added to the method parametrize from the module pyemma/coordinates/io/feature_reader.py in class FeatureReader'],01eb3dc440d0f67530fc406aabf6ab898975a0ae,,,,,,,
Add Parameter,__init__,__init__,pyemma/coordinates/pipelines.py/Pipeline,19.0,19.0,['The parameters [ param_stride ] are added to the method __init__ from the module pyemma/coordinates/pipelines.py in class Pipeline'],01eb3dc440d0f67530fc406aabf6ab898975a0ae,,,,,,,
Add Parameter,__init__,__init__,pyemma/coordinates/pipelines.py/Discretizer,196.0,197.0,['The parameters [ param_stride ] are added to the method __init__ from the module pyemma/coordinates/pipelines.py in class Discretizer'],01eb3dc440d0f67530fc406aabf6ab898975a0ae,,,,,,,
Add Parameter,__init__,__init__,pyemma/coordinates/data/_base/datasource.py/DataSource,38.0,38.0,['The parameters [ skip ] are added to the method __init__ from the module pyemma/coordinates/data/_base/datasource.py in class DataSource'],020fed92d42fd7f540d14d221d0a8af5707276b8,,,,,,,
