Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,_get_melius_correction,_get_melius_correction,arkane/encorr/bac.py/BAC,182.0,194.0,['The parameters [ datapoint ] are added to the method _get_melius_correction from the module arkane/encorr/bac.py in class BAC'],005ecf30d8ac289620b7f8697c3f92fdeec21815,nan,nan,nan,nan,nan,nan,nan
Add Parameter,_get_petersson_correction,_get_petersson_correction,arkane/encorr/bac.py/BAC,150.0,156.0,['The parameters [ datapoint ] are added to the method _get_petersson_correction from the module arkane/encorr/bac.py in class BAC'],005ecf30d8ac289620b7f8697c3f92fdeec21815,nan,nan,nan,nan,nan,nan,nan
Add Parameter,get_correction,get_correction,arkane/encorr/bac.py/BAC,113.0,112.0,['The parameters [ datapoint spc ] are added to the method get_correction from the module arkane/encorr/bac.py in class BAC'],005ecf30d8ac289620b7f8697c3f92fdeec21815,nan,nan,nan,nan,nan,nan,nan
Rename Class,parserTest,ParserTest,rmgpy/molecule/parserTest.py,nan,nan, class parserTest was renamed to class ParserTest ,00a195a07526833e3d1df5d0d75577dfcc12935d,nan,nan,nan,nan,nan,nan,nan
Add Parameter,__init__,__init__,rmgpy/data/reference.py/Reference,62.0,63.0,['The parameters [ doi ] are added to the method __init__ from the module rmgpy/data/reference.py in class Reference'],02525993669b5ff49b359a346ff83177e1ca47d1,nan,nan,nan,nan,nan,nan,nan
Add Parameter,__init__,__init__,rmgpy/data/reference.py/Article,140.0,144.0,['The parameters [ doi ] are added to the method __init__ from the module rmgpy/data/reference.py in class Article'],02525993669b5ff49b359a346ff83177e1ca47d1,nan,nan,nan,nan,nan,nan,nan
Add Parameter,__init__,__init__,rmgpy/data/reference.py/Book,207.0,213.0,['The parameters [ doi ] are added to the method __init__ from the module rmgpy/data/reference.py in class Book'],02525993669b5ff49b359a346ff83177e1ca47d1,nan,nan,nan,nan,nan,nan,nan
Add Parameter,__init__,__init__,rmgpy/data/reference.py/Thesis,272.0,280.0,['The parameters [ doi ] are added to the method __init__ from the module rmgpy/data/reference.py in class Thesis'],02525993669b5ff49b359a346ff83177e1ca47d1,nan,nan,nan,nan,nan,nan,nan
Add Parameter,fitToData,fitToData,rmgpy/kinetics.py/Arrhenius,365.0,365.0,['The parameters [ weights ] are added to the method fitToData from the module rmgpy/kinetics.py in class Arrhenius'],034e0dfa34fde07f5b83d18c83e6671791143e76,nan,nan,nan,nan,nan,nan,nan
Extract Method,generate_aromatic_resonance_structures,aromatize,rmgpy/molecule/resonance.py,nan,nan, The method aromatize from the module rmgpy/molecule/resonance.py is extracted from method generate_aromatic_resonance_structures from the module rmgpy/molecule/resonance.py ,03a930a9a9f8c09196bd74ceae5479d2c99d94e6,"(649,649)",725.0,"[714.0, 715.0, 716.0, 717.0, 718.0, 719.0, 721.0, 722.0, 723.0, 725.0, 726.0]",nan,nan,nan,nan
Rename Method,normalize,generate_minimum_resonance_isomer,rmgpy/molecule/generator.py,413.0,413.0,['The method normalize from the module rmgpy/molecule/generator.py is renamed to generate_minimum_resonance_isomer'],03cff22e0e4324e6b482e10d03457229b5072b71,nan,nan,nan,nan,nan,nan,nan
Add Parameter,save,save,rmgpy/data/base.py/Database,353.0,353.0,['The parameters [ reindex ] are added to the method save from the module rmgpy/data/base.py in class Database'],03d06b2476c72889d11c7109a25129cc58a49538,nan,nan,nan,nan,nan,nan,nan
Add Parameter,loadEntry,loadEntry,rmgpy/data/thermo.py/ThermoDepository,192.0,192.0,['The parameters [ rank ] are added to the method loadEntry from the module rmgpy/data/thermo.py in class ThermoDepository'],04497eb838e95252f8aa6ecdc4bea0caacf820c3,nan,nan,nan,nan,nan,nan,nan
Add Parameter,loadEntry,loadEntry,rmgpy/data/thermo.py/ThermoLibrary,222.0,223.0,['The parameters [ rank ] are added to the method loadEntry from the module rmgpy/data/thermo.py in class ThermoLibrary'],04497eb838e95252f8aa6ecdc4bea0caacf820c3,nan,nan,nan,nan,nan,nan,nan
Add Parameter,loadEntry,loadEntry,rmgpy/data/thermo.py/ThermoGroups,285.0,288.0,['The parameters [ rank ] are added to the method loadEntry from the module rmgpy/data/thermo.py in class ThermoGroups'],04497eb838e95252f8aa6ecdc4bea0caacf820c3,nan,nan,nan,nan,nan,nan,nan
