Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Remove Parameter,__init__,__init__,upsetplot/plotting.py/UpSet,291.0,262.0,['The parameters [ sort_sets_by ] of the method __init__ from the module upsetplot/plotting.py in class UpSet is/are removed'],1e00e9d8f72083eee36cec6b02751b99b7bbb550,,,
Extract Method,_filter_subsets,_get_subset_mask,upsetplot/plotting.py,,, The method _get_subset_mask from the module upsetplot/plotting.py is extracted from method _filter_subsets from the module upsetplot/plotting.py ,432ffbca5054479b16e6480619914ae4b0b445d3,"(96,131)",103.0,"[99.0, 100.0, 101.0, 102.0, 103.0, 104.0, 105.0, 106.0, 107.0, 108.0, 109.0]"
Add Parameter,__init__,__init__,upsetplot/plotting.py/UpSet,85.0,87.0,['The parameters [ totals_plot_elements ] are added to the method __init__ from the module upsetplot/plotting.py in class UpSet'],44f7352b81e0bccbd9d966c5cad1fe5c8d0fec15,,,
Inline Method,make_grid,_calculate_text_ncols,upsetplot/plotting.py/UpSet,,, The method _calculate_text_ncols from the module upsetplot/plotting.py in class UpSet is inlined into method make_grid from the module upsetplot/plotting.py in class UpSet ,44f7352b81e0bccbd9d966c5cad1fe5c8d0fec15,"(103,106)",119.0,"[112.0, 113.0, 116.0, 117.0, 118.0, 119.0, 122.0, 124.0, 137.0]"
Change/Rename Parameter,__init__,__init__,upsetplot/plotting.py/UpSet,145.0,145.0,['The parameters [ forecolor ] of the method __init__ from the module upsetplot/plotting.py in class UpSet are changed/renamed to [facecolor]'],4b6c6a6237197a623006f7c076f9b732be7db5f1,,,
Add Parameter,__init__,__init__,upsetplot/plotting.py/UpSet,274.0,306.0,['The parameters [ sort_sets_by min_subset_size max_subset_size ] are added to the method __init__ from the module upsetplot/plotting.py in class UpSet'],60e6091d0e1cb1f8a419fb0bc7d98a2592b6fb56,,,
Add Parameter,_process_data,_process_data,upsetplot/plotting.py,90.0,90.0,['The parameters [ min_subset_size max_subset_size ] are added to the method _process_data from the module upsetplot/plotting.py'],60e6091d0e1cb1f8a419fb0bc7d98a2592b6fb56,,,
Add Parameter,__init__,__init__,upsetplot/plotting.py/UpSet,322.0,343.0,['The parameters [ other_dots_color shading_color ] are added to the method __init__ from the module upsetplot/plotting.py in class UpSet'],63bc833fbe18efa2d75c45181c45daa26aeb70bf,,,
Add Parameter,add_catplot,add_catplot,upsetplot/plotting.py/UpSet,198.0,201.0,['The parameters [ kind ] are added to the method add_catplot from the module upsetplot/plotting.py in class UpSet'],6ab565b770404c9ea309c0bf1906c5161a640ca4,,,
Change/Rename Parameter,__init__,__init__,upsetplot/plotting.py/UpSet,87.0,88.0,['The parameters [ order order_categories ] of the method __init__ from the module upsetplot/plotting.py in class UpSet are changed/renamed to [sort_by sort_sets_by]'],6e37bc9527febf6490ae8cf44ed2604471a71dad,,,
