Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,find_anomalies_with_shingles,find_anomalies_with_shingles,python/timeseries/timeseries_shingles.py,25.0,25.0,['The parameters [ log_transform ] are added to the method find_anomalies_with_shingles from the module python/timeseries/timeseries_shingles.py'],00dce8ec4fbbe9bbedd700fc5912167e8b2d2242,,,,,,,
Move Method,get_average_euclidean_distance,get_average_euclidean_distance,,,, method get_average_euclidean_distance from the module python/aad/query_model_euclidean.py in class QueryTopDiverseByEuclideanDistance was moved to module python/aad/query_model_euclidean.py ,05a835a5ace351ecc5eabde72e6cff4ddd2830f7,python/aad/query_model_euclidean.py/QueryTopDiverseByEuclideanDistance,python/aad/query_model_euclidean.py,21.0,37.0,,,
Move Method,filter_by_euclidean_distance,filter_by_euclidean_distance,,,, method filter_by_euclidean_distance from the module python/aad/query_model_euclidean.py in class QueryTopDiverseByEuclideanDistance was moved to module python/aad/query_model_euclidean.py ,05a835a5ace351ecc5eabde72e6cff4ddd2830f7,python/aad/query_model_euclidean.py/QueryTopDiverseByEuclideanDistance,python/aad/query_model_euclidean.py,42.0,65.0,,,
Add Parameter,__init__,__init__,python/aad/aad_stream.py/StreamingAnomalyDetector,27.0,27.0,['The parameters [ labeled_ids unlabeled_ids min_samples_for_update ] are added to the method __init__ from the module python/aad/aad_stream.py in class StreamingAnomalyDetector'],0e204caca9eb0a8a68f99667f57cfe2257dca161,,,,,,,
Add Parameter,get_query_data,get_query_data,python/aad/aad_stream.py/StreamingAnomalyDetector,180.0,250.0,['The parameters [ ids ] are added to the method get_query_data from the module python/aad/aad_stream.py in class StreamingAnomalyDetector'],0e204caca9eb0a8a68f99667f57cfe2257dca161,,,,,,,
Change/Rename Parameter,update_weights_with_feedback,update_weights_with_feedback,python/aad/aad_stream.py/StreamingAnomalyDetector,256.0,330.0,['The parameters [ xi yi ] of the method update_weights_with_feedback from the module python/aad/aad_stream.py in class StreamingAnomalyDetector are changed/renamed to [xis yis]'],0e204caca9eb0a8a68f99667f57cfe2257dca161,,,,,,,
Remove Parameter,get_compact_regions,get_compact_regions,python/aad/forest_description.py,56.0,146.0,['The parameters [ metrics ] of the method get_compact_regions from the module python/aad/forest_description.py is/are removed'],0e204caca9eb0a8a68f99667f57cfe2257dca161,,,,,,,
Add Parameter,debug_log_sgd_losses,debug_log_sgd_losses,python/common/sgd_optimization.py,29.0,29.0,['The parameters [ timer ] are added to the method debug_log_sgd_losses from the module python/common/sgd_optimization.py'],0e204caca9eb0a8a68f99667f57cfe2257dca161,,,,,,,
Add Parameter,__init__,__init__,python/loda/loda.py/Loda,337.0,415.0,['The parameters [ verbose ] are added to the method __init__ from the module python/loda/loda.py in class Loda'],0e204caca9eb0a8a68f99667f57cfe2257dca161,,,,,,,
Add Parameter,build_proj_hist,build_proj_hist,python/loda/loda.py,181.0,252.0,['The parameters [ verbose ] are added to the method build_proj_hist from the module python/loda/loda.py'],0e204caca9eb0a8a68f99667f57cfe2257dca161,,,,,,,
Add Parameter,get_best_proj,get_best_proj,python/loda/loda.py,225.0,296.0,['The parameters [ verbose ] are added to the method get_best_proj from the module python/loda/loda.py'],0e204caca9eb0a8a68f99667f57cfe2257dca161,,,,,,,
