Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,predict,predict,app/nlu/intent_classifer.py/IntentClassifier,79.0,84.0,['The parameters [ return_all INTENT_RANKING_LENGTH ] are added to the method predict from the module app/nlu/intent_classifer.py in class IntentClassifier'],0c960343402cfbeee496426e4c83e1b388d1e462,,,,,,,
Change/Rename Parameter,process,process,app/nlu/intent_classifer.py/IntentClassifier,101.0,106.0,['The parameters [ return_type ] of the method process from the module app/nlu/intent_classifer.py in class IntentClassifier are changed/renamed to [return_all]'],0c960343402cfbeee496426e4c83e1b388d1e462,,,,,,,
Change/Rename Parameter,dateFromString,dateFromString,ikyCore/functions.py,38.0,24.0,['The parameters [ time_string ] of the method dateFromString from the module ikyCore/functions.py are changed/renamed to [timeString]'],127d00a828087a247759498b53b811548269dfec,,,,,,,
Rename Method,pos_tagger,posTagger,ikyCore/nlp.py,15.0,8.0,['The method pos_tagger from the module ikyCore/nlp.py is renamed to posTagger'],283c21ffe41229dcc9790ae400b6833c50960a57,,,,,,,
Rename Method,extract_labels,extractLabels,ikyCore/sequenceLabeler.py,67.0,65.0,['The method extract_labels from the module ikyCore/sequenceLabeler.py is renamed to extractLabels'],283c21ffe41229dcc9790ae400b6833c50960a57,,,,,,,
Rename Method,delete_sent,deleteLabeledSentences,ikyWebServer/ui.py,72.0,79.0,['The method delete_sent from the module ikyWebServer/ui.py is renamed to deleteLabeledSentences'],283c21ffe41229dcc9790ae400b6833c50960a57,,,,,,,
Rename Method,delete_story,deleteStory,ikyWebServer/ui.py,61.0,68.0,['The method delete_story from the module ikyWebServer/ui.py is renamed to deleteStory'],283c21ffe41229dcc9790ae400b6833c50960a57,,,,,,,
Change/Rename Parameter,extractEntities,extractEntities,ikyCore/sequenceLabeler.py,51.0,48.0,['The parameters [ taggedSentences ] of the method extractEntities from the module ikyCore/sequenceLabeler.py are changed/renamed to [taggedSentence]'],3c75af0232f645941d7a5c85d0ad1a0b43e6d014,,,,,,,
Change/Rename Parameter,extractLabels,extractLabels,ikyCore/sequenceLabeler.py,65.0,62.0,['The parameters [ tagged ] of the method extractLabels from the module ikyCore/sequenceLabeler.py are changed/renamed to [predictedLabels]'],3c75af0232f645941d7a5c85d0ad1a0b43e6d014,,,,,,,
Rename Method,book_ticker,book_ticket,iky_server/actions.py,6.0,4.0,['The method book_ticker from the module iky_server/actions.py is renamed to book_ticket'],4dbd9aabe98d7a2d799920d86a91769b72c3ec30,,,,,,,
Change/Rename Parameter,addEventToGoogleCalender,addEventToGoogleCalender,ikyActions/actions.py,27.0,25.0,['The parameters [ tagged_json ] of the method addEventToGoogleCalender from the module ikyActions/actions.py are changed/renamed to [entities]'],584b2f18461262e43c3f34db4c2e563db131ea01,,,,,,,
Add Parameter,buildModel,buildModel,app/core/controllers.py,12.0,12.0,['The parameters [ storyId ] are added to the method buildModel from the module app/core/controllers.py'],5dcbe89a47ed494d1ac77e0ce32d840e304b14c9,,,,,,,
Add Parameter,deleteStory,deleteStory,app/stories/controllers.py,69.0,70.0,['The parameters [ storyId ] are added to the method deleteStory from the module app/stories/controllers.py'],5dcbe89a47ed494d1ac77e0ce32d840e304b14c9,,,,,,,
Rename Method,stories,home,app/stories/controllers.py,14.0,17.0,['The method stories from the module app/stories/controllers.py is renamed to home'],5dcbe89a47ed494d1ac77e0ce32d840e304b14c9,,,,,,,
Rename Method,getStories,readStories,app/stories/controllers.py,63.0,47.0,['The method getStories from the module app/stories/controllers.py is renamed to readStories'],5dcbe89a47ed494d1ac77e0ce32d840e304b14c9,,,,,,,
Rename Method,getStory,readStory,app/stories/controllers.py,45.0,52.0,['The method getStory from the module app/stories/controllers.py is renamed to readStory'],5dcbe89a47ed494d1ac77e0ce32d840e304b14c9,,,,,,,
Rename Method,datefromstring,dateFromString,ikyCore/functions.py,38.0,38.0,['The method datefromstring from the module ikyCore/functions.py is renamed to dateFromString'],64b490ef173980f760d03bdf15ade430e629dad0,,,,,,,
Rename Class,LabeledQueries,LabeledSentences,ikyCore/models.py,,, class LabeledQueries was renamed to class LabeledSentences ,64b490ef173980f760d03bdf15ade430e629dad0,,,,,,,
Change/Rename Parameter,predict,predict,ikyCore/intentClassifier.py/IntentClassifier,55.0,54.0,['The parameters [ user_say ] of the method predict from the module ikyCore/intentClassifier.py in class IntentClassifier are changed/renamed to [sentence]'],78a2ea22f5c1a3dabf162f1d662f4ab5ac236978,,,,,,,
Change/Rename Parameter,predict,predict,ikyCore/sequenceLabeler.py,73.0,73.0,['The parameters [ stroyId ] of the method predict from the module ikyCore/sequenceLabeler.py are changed/renamed to [storyId]'],78a2ea22f5c1a3dabf162f1d662f4ab5ac236978,,,,,,,
Change/Rename Parameter,train_intent_classifier,train_intent_classifier,app/nlu/tasks.py,28.0,28.0,['The parameters [ stories ] of the method train_intent_classifier from the module app/nlu/tasks.py are changed/renamed to [intents]'],86b821693908f19afa9e0a04db267a632fc4df01,,,,,,,
Change/Rename Parameter,predict,predict,app/core/sequenceLabeler.py,74.0,66.0,['The parameters [ storyId ] of the method predict from the module app/core/sequenceLabeler.py are changed/renamed to [model_name]'],8c0c4e4f92b88e1597cf335a5a3a46863fe44c1f,,,,,,,
Rename Method,init,migrate,manage.py,7.0,7.0,['The method init from the module manage.py is renamed to migrate'],9798dfdbf351b9fb5d8e939c46054518f227d0f5,,,,,,,
Add Parameter,callApi,callApi,app/endpoint/controllers.py,34.0,34.0,['The parameters [ isJson ] are added to the method callApi from the module app/endpoint/controllers.py'],a1f87f47bd6985863df87a852a2c3891e93dd500,,,,,,,
Extract Method,import_stories,import_json,app/stories/controllers.py,,, The method import_json from the module app/stories/controllers.py is extracted from method import_stories from the module app/stories/controllers.py ,a5713fcd1e6a7e1ab58023c5eb2a20b3e2ea027b,"(145,145)",160.0,"[156.0, 158.0, 159.0, 160.0, 161.0, 162.0]",,,,
Add Parameter,call_api,call_api,app/endpoint/utils.py,25.0,25.0,['The parameters [ headers ] are added to the method call_api from the module app/endpoint/utils.py'],b6b0c533dd914adf7c30fbe0080fdd3e80eb5e8c,,,,,,,
Rename Method,dateFromString,date_from_string,app/commons/functions.py,5.0,5.0,['The method dateFromString from the module app/commons/functions.py is renamed to date_from_string'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Rename Method,isListEmpty,is_list_empty,app/commons/validations.py,1.0,1.0,['The method isListEmpty from the module app/commons/validations.py is renamed to is_list_empty'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Rename Method,buildModels,build_models,app/core/controllers.py,9.0,10.0,['The method buildModels from the module app/core/controllers.py is renamed to build_models'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Rename Method,posTagAndLabel,pos_tag_and_label,app/core/nlp.py,19.0,19.0,['The method posTagAndLabel from the module app/core/nlp.py is renamed to pos_tag_and_label'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Rename Method,posTagger,pos_tagger,app/core/nlp.py,8.0,8.0,['The method posTagger from the module app/core/nlp.py is renamed to pos_tagger'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Rename Method,sentenceTokenize,sentence_tokenize,app/core/nlp.py,32.0,32.0,['The method sentenceTokenize from the module app/core/nlp.py is renamed to sentence_tokenize'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Change/Rename Parameter,train_all_ner,train_all_ner,app/core/tasks.py,52.0,53.0,['The parameters [ storyId trainingData ] of the method train_all_ner from the module app/core/tasks.py are changed/renamed to [story_id training_data]'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Rename Method,createStory,create_story,app/stories/controllers.py,14.0,14.0,['The method createStory from the module app/stories/controllers.py is renamed to create_story'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Rename Method,readStories,read_stories,app/stories/controllers.py,58.0,58.0,['The method readStories from the module app/stories/controllers.py is renamed to read_stories'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Change/Rename Parameter,save_training_data,save_training_data,app/train/controllers.py,35.0,15.0,['The parameters [ storyId ] of the method save_training_data from the module app/train/controllers.py are changed/renamed to [story_id]'],ccbc6ff99a615800b567d386872781543f15ece8,,,,,,,
Rename Method,extract_entities,crf2json,app/nlu/entity_extractor.py/EntityExtractor,112.0,112.0,['The method extract_entities from the module app/nlu/entity_extractor.py in class EntityExtractor is renamed to crf2json'],d354582e3a46a243c50b3507bc0275232a8cc762,,,,,,,
Rename Method,extract_labels,extract_ner_labels,app/nlu/entity_extractor.py/EntityExtractor,131.0,131.0,['The method extract_labels from the module app/nlu/entity_extractor.py in class EntityExtractor is renamed to extract_ner_labels'],d354582e3a46a243c50b3507bc0275232a8cc762,,,,,,,
Remove Parameter,process,process,app/nlu/classifiers/sklearn_intent_classifer.py/SklearnIntentClassifier,143.0,96.0,['The parameters [ return_all ] of the method process from the module app/nlu/classifiers/sklearn_intent_classifer.py in class SklearnIntentClassifier is/are removed'],d3da249469dfb00d671a5e4d2829d3de5ce64093,,,,,,,
Remove Parameter,update_model,update_model,app/endpoint/controllers.py,204.0,203.0,['The parameters [ app message ] of the method update_model from the module app/endpoint/controllers.py is/are removed'],f042a81a417fdcd0431ff648299eaa79610ff64b,,,,,,,
Move Method,update_document,update_document,,,, method update_document from the module app/intents/models.py was moved to module app/commons/functions.py ,f186f0b3fc6e508bb4433c8be7b59bf34b443a66,,,,app/intents/models.py,app/commons/functions.py,10.0,17.0
Move Method,field_value,field_value,,,, method field_value from the module app/intents/models.py was moved to module app/commons/functions.py ,f186f0b3fc6e508bb4433c8be7b59bf34b443a66,,,,app/intents/models.py,app/commons/functions.py,18.0,25.0
