Refactoring Type,Original,Updated,Location,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Description,Commit,Original Line,Updated Line,Old Location,New Location,Old Method Line,New Method Line
Extract Method,ml_for_analytics,_print_ml_analytics_results_regression,auto_ml/predictor.py/Predictor,"(89,91)",131.0,"[120.0, 124.0, 126.0, 128.0, 129.0, 131.0, 132.0, 133.0, 135.0, 137.0, 138.0, 139.0, 140.0, 141.0]", The method _print_ml_analytics_results_regression from the module auto_ml/predictor.py in class Predictor is extracted from method ml_for_analytics from the module auto_ml/predictor.py in class Predictor ,00e57cbcdbf8a95ff2038d2a1568fdf5c7c6780b,,,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ _include_original_X ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],01e493ee23b9d65e37bcd20c3d8e3420977d9e35,506.0,508.0,,,,
Add Parameter,train_ensemble,train_ensemble,auto_ml/predictor.py/Predictor,,,,['The parameters [ include_original_X ] are added to the method train_ensemble from the module auto_ml/predictor.py in class Predictor'],01e493ee23b9d65e37bcd20c3d8e3420977d9e35,340.0,340.0,,,,
Add Parameter,get_model_from_name,get_model_from_name,auto_ml/utils_models.py,,,,['The parameters [ is_hp_search ] are added to the method get_model_from_name from the module auto_ml/utils_models.py'],05586351d4792c24d620b0bc8901fd7c3dfedd10,49.0,49.0,,,,
Remove Parameter,ml_for_analytics,ml_for_analytics,auto_ml/predictor.py/Predictor,,,,['The parameters [ print_analytics_output ] of the method ml_for_analytics from the module auto_ml/predictor.py in class Predictor is/are removed'],08ac7a978be9899f6b51ffe56144a9bfeb2aacfe,108.0,108.0,,,,
Remove Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ print_analytics_output ] of the method train from the module auto_ml/predictor.py in class Predictor is/are removed'],08ac7a978be9899f6b51ffe56144a9bfeb2aacfe,58.0,58.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils.py/ExtendedPipeline,,,,['The parameters [ name ] are added to the method __init__ from the module auto_ml/utils.py in class ExtendedPipeline'],0c218ce124623c0c04c48bc893f4bb61373d0aef,247.0,259.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils_model_training.py/FinalModelATC,,,,['The parameters [ scoring_method ] are added to the method __init__ from the module auto_ml/utils_model_training.py in class FinalModelATC'],125876e384814fa7bd90c1d2b420786d5d418b1d,23.0,23.0,,,,
Add Parameter,train_ensemble,train_ensemble,auto_ml/predictor.py/Predictor,,,,['The parameters [ find_best_method ] are added to the method train_ensemble from the module auto_ml/predictor.py in class Predictor'],13dffb0a988a1250dd1bfbb7b727bf2c7435ac07,327.0,327.0,,,,
Add Parameter,advanced_scoring_regressors,advanced_scoring_regressors,auto_ml/utils.py,,,,['The parameters [ name ] are added to the method advanced_scoring_regressors from the module auto_ml/utils.py'],13dffb0a988a1250dd1bfbb7b727bf2c7435ac07,703.0,706.0,,,,
Add Parameter,calculate_and_print_differences,calculate_and_print_differences,auto_ml/utils.py,,,,['The parameters [ name ] are added to the method calculate_and_print_differences from the module auto_ml/utils.py'],13dffb0a988a1250dd1bfbb7b727bf2c7435ac07,681.0,681.0,,,,
Add Parameter,rmse_scoring,rmse_scoring,auto_ml/utils.py,,,,['The parameters [ name ] are added to the method rmse_scoring from the module auto_ml/utils.py'],13dffb0a988a1250dd1bfbb7b727bf2c7435ac07,901.0,906.0,,,,
Add Parameter,set_params_and_defaults,set_params_and_defaults,auto_ml/predictor.py/Predictor,,,,['The parameters [ optimize_feature_learning ] are added to the method set_params_and_defaults from the module auto_ml/predictor.py in class Predictor'],14ac69709aa35ff798d9061ca445cc7341a46b10,313.0,313.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ optimize_feature_learning ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],14ac69709aa35ff798d9061ca445cc7341a46b10,531.0,532.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils.py/FinalModelATC,,,,['The parameters [ model_map ] are added to the method __init__ from the module auto_ml/utils.py in class FinalModelATC'],152c14419698efd306eac7707493a15ff4ec4a69,42.0,31.0,,,,
Extract Method,__init__,set_model_map,auto_ml/utils.py/FinalModelATC,"(42,31)",44.0,[49.0], The method set_model_map from the module auto_ml/utils.py in class FinalModelATC is extracted from method __init__ from the module auto_ml/utils.py in class FinalModelATC ,152c14419698efd306eac7707493a15ff4ec4a69,,,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ grid_search_params ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],1870e5c47df399e4dc9fb53f89f2e0a8c6e94c3e,524.0,524.0,,,,
Add Parameter,_construct_pipeline,_construct_pipeline,auto_ml/predictor.py/Predictor,,,,['The parameters [ perform_feature_selection ] are added to the method _construct_pipeline from the module auto_ml/predictor.py in class Predictor'],1c4b67ae8a0a62294a3e5f670ca6a99db76407d0,27.0,27.0,,,,
Add Parameter,_construct_pipeline_search_params,_construct_pipeline_search_params,auto_ml/predictor.py/Predictor,,,,['The parameters [ perform_feature_selection ] are added to the method _construct_pipeline_search_params from the module auto_ml/predictor.py in class Predictor'],1c4b67ae8a0a62294a3e5f670ca6a99db76407d0,48.0,51.0,,,,
Add Parameter,ml_for_analytics,ml_for_analytics,auto_ml/predictor.py/Predictor,,,,['The parameters [ perform_feature_selection ] are added to the method ml_for_analytics from the module auto_ml/predictor.py in class Predictor'],1c4b67ae8a0a62294a3e5f670ca6a99db76407d0,140.0,146.0,,,,
Remove Parameter,__init__,__init__,auto_ml/DataFrameVectorizer.py/DataFrameVectorizer,,,,['The parameters [ sort ] of the method __init__ from the module auto_ml/DataFrameVectorizer.py in class DataFrameVectorizer is/are removed'],1db3cf9309b67d98f3575a43f35563b6839045a1,24.0,24.0,,,,
Add Parameter,make_deep_learning_classifier,make_deep_learning_classifier,auto_ml/utils.py,,,,['The parameters [ activation ] are added to the method make_deep_learning_classifier from the module auto_ml/utils.py'],21f3415eebaa899f7da312934f4c26e69b096485,70.0,72.0,,,,
