Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Rename Method,test_model_init,test_model_init_and_intercept,tests/test_model.py,55.0,55.0,['The method test_model_init from the module tests/test_model.py is renamed to test_model_init_and_intercept'],00e6e381ed2aab0ceca730f1f2351cac3605b9e8,,,,,,,
Remove Parameter,_add,_add,bambi/models.py/Model,432.0,442.0,['The parameters [ append ] of the method _add from the module bambi/models.py in class Model is/are removed'],04262fae50aa13c7fe87b61847ecb195e83b1023,,,,,,,
Add Parameter,run,run,bambi/backends.py/PyMC3BackEnd,107.0,108.0,['The parameters [ model_spec ] are added to the method run from the module bambi/backends.py in class PyMC3BackEnd'],044bab1ba9ec6b5560d8228e2d73f1f12a5ecb5a,,,,,,,
Remove Parameter,__init__,__init__,bambi/models.py/Model,88.0,84.0,['The parameters [ default_priors ] of the method __init__ from the module bambi/models.py in class Model is/are removed'],0df51a351f0fd4f3cdc0dd35601782e54d0e3989,,,,,,,
Remove Parameter,__init__,__init__,bambi/terms.py/ResponseTerm,18.0,16.0,['The parameters [ prior ] of the method __init__ from the module bambi/terms.py in class ResponseTerm is/are removed'],0df51a351f0fd4f3cdc0dd35601782e54d0e3989,,,,,,,
Rename Method,test_family_unsupported,test_family_link_unsupported,bambi/tests/test_priors.py,158.0,137.0,['The method test_family_unsupported from the module bambi/tests/test_priors.py is renamed to test_family_link_unsupported'],0df51a351f0fd4f3cdc0dd35601782e54d0e3989,,,,,,,
Remove Parameter,add_term,add_term,bambi/models.py/Model,71.0,70.0,['The parameters [ transformations ] of the method add_term from the module bambi/models.py in class Model is/are removed'],0f8c9f7feb5492fcaf2626b4d06507e4d65ed001,,,,,,,
Remove Parameter,__init__,__init__,bambi/models.py/Term,128.0,96.0,['The parameters [ transformations ] of the method __init__ from the module bambi/models.py in class Term is/are removed'],0f8c9f7feb5492fcaf2626b4d06507e4d65ed001,,,,,,,
Remove Parameter,check_installation,check_installation,setup.py,14.0,13.0,['The parameters [ rv ] of the method check_installation from the module setup.py is/are removed'],0febf5da08a9caf9fd140d9df0164f25c556b466,,,,,,,
Remove Parameter,__init__,__init__,bambi/results.py/ModelResults,7.0,10.0,['The parameters [ trace ] of the method __init__ from the module bambi/results.py in class ModelResults is/are removed'],100e3ad611fb9cfb638a4f9285542204d2f5248a,,,,,,,
Add Parameter,plot,plot,bambi/results.py/PyMC3Results,63.0,63.0,['The parameters [ kind ] are added to the method plot from the module bambi/results.py in class PyMC3Results'],115136eee2c1d81cde979cd71ce73934e789d75b,,,,,,,
Remove Parameter,build,build,bambi/backends/pymc.py/PyMC3BackEnd,80.0,73.0,['The parameters [ reset ] of the method build from the module bambi/backends/pymc.py in class PyMC3BackEnd is/are removed'],1155ca857173a9b77dc37ed0191854f86136cd46,,,,,,,
Extract Method,_add,_add_fixed,bambi/models.py/Model,,, The method _add_fixed from the module bambi/models.py in class Model is extracted from method _add from the module bambi/models.py in class Model ,1155ca857173a9b77dc37ed0191854f86136cd46,"(439,436)",530.0,"[465.0, 470.0, 471.0, 472.0, 473.0, 479.0, 484.0]",,,,
Extract Method,_add,_add_random,bambi/models.py/Model,,, The method _add_random from the module bambi/models.py in class Model is extracted from method _add from the module bambi/models.py in class Model ,1155ca857173a9b77dc37ed0191854f86136cd46,"(439,436)",548.0,"[496.0, 504.0, 506.0, 509.0, 511.0, 512.0, 513.0, 518.0, 519.0, 520.0, 521.0, 522.0, 525.0, 527.0, 530.0, 531.0, 532.0, 533.0, 536.0, 538.0, 542.0, 544.0, 546.0, 547.0, 548.0, 553.0, 554.0, 555.0, 556.0, 558.0, 561.0, 562.0, 563.0, 567.0, 569.0, 570.0, 571.0, 580.0]",,,,
Add Parameter,plot,plot,bambi/models.py/Model,717.0,715.0,['The parameters [ samples ] are added to the method plot from the module bambi/models.py in class Model'],11f70c4cd3287b53f5e9e6d1ce4eb6698114e4f5,,,,,,,
Add Parameter,fit,fit,bambi/models.py/Model,197.0,196.0,['The parameters [ draws tune discard_tuned_samples method init n_init chains cores random_seed ] are added to the method fit from the module bambi/models.py in class Model'],12da0d037935ae465c435a77e8d822393b63ee16,,,,,,,
Add Parameter,_add_data,_add_data,bambi/backends/stan.py/StanBackEnd,120.0,120.0,['The parameters [ term ] are added to the method _add_data from the module bambi/backends/stan.py in class StanBackEnd'],12e4c3324781ccd094dcf6ee8715ace3428f2916,,,,,,,
Change/Rename Parameter,_scale_intercept,_scale_intercept,bambi/priors.py/PriorScaler,276.0,340.0,['The parameters [ value ] of the method _scale_intercept from the module bambi/priors.py in class PriorScaler are changed/renamed to [sd_corr]'],1361bc394b34cd715620b0c46f6bb76dd9282d9c,,,,,,,
Add Parameter,__init__,__init__,bambi/models.py/Model,13.0,12.0,['The parameters [ intercept ] are added to the method __init__ from the module bambi/models.py in class Model'],13a6fd85543161ce998da5bf28b2b40f670fc2a9,,,,,,,
Add Parameter,add_term,add_term,bambi/models.py/Model,58.0,62.0,['The parameters [ prior ] are added to the method add_term from the module bambi/models.py in class Model'],13a6fd85543161ce998da5bf28b2b40f670fc2a9,,,,,,,
Add Parameter,generate_likelihood,generate_likelihood,bambi/defaults/defaults.py,117.0,126.0,['The parameters [ pps ] are added to the method generate_likelihood from the module bambi/defaults/defaults.py'],159fefcd2fed58d565c4b69068991c69f8455dd1,,,,,,,
Add Parameter,__init__,__init__,bambi/priors/likelihood.py/Likelihood,33.0,33.0,['The parameters [ pps ] are added to the method __init__ from the module bambi/priors/likelihood.py in class Likelihood'],159fefcd2fed58d565c4b69068991c69f8455dd1,,,,,,,
Add Parameter,add_term,add_term,bambi/models.py/Model,448.0,448.0,['The parameters [ _constant ] are added to the method add_term from the module bambi/models.py in class Model'],170ed76bc56b468a953cb67a6679869707a87cce,,,,,,,
Add Parameter,__init__,__init__,bambi/models.py/Term,693.0,705.0,['The parameters [ constant ] are added to the method __init__ from the module bambi/models.py in class Term'],170ed76bc56b468a953cb67a6679869707a87cce,,,,,,,
Add Parameter,__init__,__init__,bambi/models.py/Model,32.0,36.0,['The parameters [ auto_scale ] are added to the method __init__ from the module bambi/models.py in class Model'],1ae72e4c36066c6150e6b1ea604af183209842f1,,,,,,,
Add Parameter,fit,fit,bambi/models.py/Model,66.0,82.0,['The parameters [ categorical ] are added to the method fit from the module bambi/models.py in class Model'],1b8b7bcb5cb942c621b410ab899f6fb4973098e3,,,,,,,
