Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Change/Rename Parameter,verifyELBOTracking,verifyELBOTracking,bnpy/learnalg/MemoVBMovesAlg.py/MemoVBMovesAlg,1594.0,1594.0,['The parameters [ evBound ] of the method verifyELBOTracking from the module bnpy/learnalg/MemoVBMovesAlg.py in class MemoVBMovesAlg are changed/renamed to [loss_which_equals_negative_elbo]'],0d8e2740e729437a2e3bddf9a1fafd3e759c900c,,,
Add Parameter,configLoggingToConsoleAndFile,configLoggingToConsoleAndFile,bnpy/Run.py,558.0,558.0,['The parameters [ doHandleGrid ] are added to the method configLoggingToConsoleAndFile from the module bnpy/Run.py'],2f9dd9faf84c419bf72d71f634172496acc129a6,,,
Add Parameter,makeAllKwArgs,makeAllKwArgs,tests/endtoend/AbstractEndToEndTest.py/AbstractEndToEndTest,72.0,73.0,['The parameters [ nBatch ] are added to the method makeAllKwArgs from the module tests/endtoend/AbstractEndToEndTest.py in class AbstractEndToEndTest'],32ace91588aa121e96ca96691dd16fa112c63a85,,,
Add Parameter,pprintSingleRun,pprintSingleRun,tests/endtoend/AbstractEndToEndTest.py/AbstractEndToEndTest,223.0,222.0,['The parameters [ nBatch ] are added to the method pprintSingleRun from the module tests/endtoend/AbstractEndToEndTest.py in class AbstractEndToEndTest'],32ace91588aa121e96ca96691dd16fa112c63a85,,,
Add Parameter,single_run_repeatable_and_monotonic,single_run_repeatable_and_monotonic,tests/endtoend/AbstractEndToEndTest.py/AbstractEndToEndTest,100.0,102.0,['The parameters [ nBatch ] are added to the method single_run_repeatable_and_monotonic from the module tests/endtoend/AbstractEndToEndTest.py in class AbstractEndToEndTest'],32ace91588aa121e96ca96691dd16fa112c63a85,,,
Rename Method,test_moVB__repeatable_and_monotonic,test_memoVB__repeatable_and_monotonic,tests/endtoend/AbstractEndToEndTest.py/AbstractEndToEndTest,168.0,165.0,['The method test_moVB__repeatable_and_monotonic from the module tests/endtoend/AbstractEndToEndTest.py in class AbstractEndToEndTest is renamed to test_memoVB__repeatable_and_monotonic'],32ace91588aa121e96ca96691dd16fa112c63a85,,,
Rename Method,select_subset_by_mask,make_subset,bnpy/data/GroupXData.py/GroupXData,216.0,231.0,['The method select_subset_by_mask from the module bnpy/data/GroupXData.py in class GroupXData is renamed to make_subset'],6c9497939f6bec39796556d3cedc170d6107967d,,,
Rename Method,read_from_mat,read_mat,bnpy/data/GroupXData.py/GroupXData,80.0,95.0,['The method read_from_mat from the module bnpy/data/GroupXData.py in class GroupXData is renamed to read_mat'],6c9497939f6bec39796556d3cedc170d6107967d,,,
Rename Method,isMonotonic,isMonotonicallyIncreasing,tests/endtoend/AbstractEndToEndTest.py/AbstractEndToEndTest,161.0,183.0,['The method isMonotonic from the module tests/endtoend/AbstractEndToEndTest.py in class AbstractEndToEndTest is renamed to isMonotonicallyIncreasing'],6ce0182636a423644bf7828ea42be187d34e7e61,,,
Change/Rename Parameter,makeAllKwArgs,makeAllKwArgs,tests/endtoend/AbstractEndToEndTest.py/AbstractEndToEndTest,65.0,72.0,['The parameters [ aName ] of the method makeAllKwArgs from the module tests/endtoend/AbstractEndToEndTest.py in class AbstractEndToEndTest are changed/renamed to [aArg]'],6ce0182636a423644bf7828ea42be187d34e7e61,,,
Extract Method,saveDiagnostics,writeOut,bnpy/learnalg/LearnAlg.py/LearnAlg,,, The method writeOut from the module bnpy/learnalg/LearnAlg.py in class LearnAlg is extracted from method saveDiagnostics from the module bnpy/learnalg/LearnAlg.py in class LearnAlg ,732cb7a8353fa31c3082b451a635ed6efef7a256,"(186,194)",74.0,[201.0]
Add Parameter,alignEstimatedStateSeqToTruth,alignEstimatedStateSeqToTruth,bnpy/util/StateSeqUtil.py,92.0,92.0,['The parameters [ standardize_order_of_extras ] are added to the method alignEstimatedStateSeqToTruth from the module bnpy/util/StateSeqUtil.py'],dbc78aa4a47a8dfb9ae5a33e2965c970f87f0ffa,,,
Change/Rename Parameter,set_prior,set_prior,bnpy/allocmodel/hmm/HDPHMM.py/HDPHMM,65.0,65.0,['The parameters [ alpha ] of the method set_prior from the module bnpy/allocmodel/hmm/HDPHMM.py in class HDPHMM are changed/renamed to [transAlpha]'],f4584baa1bfcb09e4e72e9976b5c77a3cbb35819,,,
