Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Rename Method,test_initialize_unlock,test_initialize_not_locked,tests/test_options.py,389.0,391.0,['The method test_initialize_unlock from the module tests/test_options.py is renamed to test_initialize_not_locked'],059fe5dffb3b0164e45ef9f15295acb1ecad6e75,,,
Extract Method,__init__,make_lengths_and_ids,bootstrap/datasets/dataset.py/ListDatasets,,, The method make_lengths_and_ids from the module bootstrap/datasets/dataset.py in class ListDatasets is extracted from method __init__ from the module bootstrap/datasets/dataset.py in class ListDatasets ,09e8a67fccabb4a29bb7e00f234bded99b9b622f,"(39,39)",58.0,"[57.0, 58.0, 60.0, 62.0, 63.0, 65.0]"
Add Parameter,main,main,bootstrap/run.py,102.0,102.0,['The parameters [ run ] are added to the method main from the module bootstrap/run.py'],0f8602b86a198b137c725c43e9f3f4c01e705a07,,,
Remove Parameter,init_experiment_directory,init_experiment_directory,bootstrap/run.py,19.0,19.0,['The parameters [ bypass ] of the method init_experiment_directory from the module bootstrap/run.py is/are removed'],12901a355b0448cc545ed2d1c85a0b87f825be72,,,
Remove Parameter,init_logs_options_files,init_logs_options_files,bootstrap/run.py,34.0,33.0,['The parameters [ bypass ] of the method init_logs_options_files from the module bootstrap/run.py is/are removed'],12901a355b0448cc545ed2d1c85a0b87f825be72,,,
Remove Parameter,run,run,bootstrap/run.py,57.0,55.0,['The parameters [ bypass ] of the method run from the module bootstrap/run.py is/are removed'],12901a355b0448cc545ed2d1c85a0b87f825be72,,,
Remove Parameter,test_empty_path,test_empty_path,tests/test_options.py,20.0,20.0,['The parameters [ monkeypatch ] of the method test_empty_path from the module tests/test_options.py is/are removed'],19b17dd81c441d5f00cb14917ac2632af4a3aabe,,,
Add Parameter,test_empty_path,test_empty_path,tests/test_options.py,20.0,19.0,['The parameters [ monkeypatch ] are added to the method test_empty_path from the module tests/test_options.py'],1b781568e951c35262b979ee6d2dfd5b44730436,,,
Add Parameter,__new__,__new__,bootstrap/lib/options.py/Options,152.0,152.0,['The parameters [ run_parser ] are added to the method __new__ from the module bootstrap/lib/options.py in class Options'],2624012754d4c79b09a10bf84a641b2b63431d40,,,
Add Parameter,make_batch_loader,make_batch_loader,bootstrap/datasets/dataset.py/Dataset,26.0,26.0,['The parameters [ batch_size shuffle ] are added to the method make_batch_loader from the module bootstrap/datasets/dataset.py in class Dataset'],26ec7a73339d65b92ee66424b8775092cc949e06,,,
Add Parameter,main,main,main.py,47.0,47.0,['The parameters [ path_opts ] are added to the method main from the module main.py'],28380edb9043f47dce41e26d3d819f7bd763db94,,,
Add Parameter,init_experiment_directory,init_experiment_directory,bootstrap/run.py,22.0,19.0,['The parameters [ bypass ] are added to the method init_experiment_directory from the module bootstrap/run.py'],28b553653db335640df4944ae44331303677ef8c,,,
