Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Remove Parameter,digest,digest,datasketch/hyperloglog.py/HyperLogLog,163.0,163.0,['The parameters [ hashobj ] of the method digest from the module datasketch/hyperloglog.py in class HyperLogLog is/are removed'],071d9983d381ab1799b01fa939ff17f2dd7132cc,,,,,,,
Remove Parameter,deserialize,deserialize,datasketch/minhash.py/MinHash,105.0,104.0,['The parameters [ offset ] of the method deserialize from the module datasketch/minhash.py in class MinHash is/are removed'],0de223aece3c271df214d897bb476d2a991fc152,,,,,,,
Remove Parameter,serialize,serialize,datasketch/minhash.py/MinHash,93.0,93.0,['The parameters [ offset ] of the method serialize from the module datasketch/minhash.py in class MinHash is/are removed'],0de223aece3c271df214d897bb476d2a991fc152,,,,,,,
Rename Method,delete,remove,datasketch/lsh.py/MinHashLSH,136.0,142.0,['The method delete from the module datasketch/lsh.py in class MinHashLSH is renamed to remove'],1be2a0529da0dd6da816f8c615ba638d82150633,,,,,,,
Rename Method,test_delete,test_remove,test/lsh_test.py/TestMinHashLSH,60.0,60.0,['The method test_delete from the module test/lsh_test.py in class TestMinHashLSH is renamed to test_remove'],1be2a0529da0dd6da816f8c615ba638d82150633,,,,,,,
Rename Method,test_delete,test_remove,test/lsh_test.py/TestWeightedMinHashLSH,143.0,143.0,['The method test_delete from the module test/lsh_test.py in class TestWeightedMinHashLSH is renamed to test_remove'],1be2a0529da0dd6da816f8c615ba638d82150633,,,,,,,
Change/Rename Parameter,__setstate__,__setstate__,datasketch/hyperloglog.py/HyperLogLog,222.0,222.0,['The parameters [ buffer ] of the method __setstate__ from the module datasketch/hyperloglog.py in class HyperLogLog are changed/renamed to [buf]'],25d0854a2a8efa9296936bcee89d02193faa6089,,,,,,,
Change/Rename Parameter,deserialize,deserialize,datasketch/hyperloglog.py/HyperLogLog,195.0,195.0,['The parameters [ buffer ] of the method deserialize from the module datasketch/hyperloglog.py in class HyperLogLog are changed/renamed to [buf]'],25d0854a2a8efa9296936bcee89d02193faa6089,,,,,,,
Change/Rename Parameter,serialize,serialize,datasketch/hyperloglog.py/HyperLogLog,184.0,184.0,['The parameters [ buffer ] of the method serialize from the module datasketch/hyperloglog.py in class HyperLogLog are changed/renamed to [buf]'],25d0854a2a8efa9296936bcee89d02193faa6089,,,,,,,
Change/Rename Parameter,__setstate__,__setstate__,datasketch/minhash.py/MinHash,158.0,158.0,['The parameters [ buffer ] of the method __setstate__ from the module datasketch/minhash.py in class MinHash are changed/renamed to [buf]'],25d0854a2a8efa9296936bcee89d02193faa6089,,,,,,,
Change/Rename Parameter,deserialize,deserialize,datasketch/minhash.py/MinHash,132.0,132.0,['The parameters [ buffer ] of the method deserialize from the module datasketch/minhash.py in class MinHash are changed/renamed to [buf]'],25d0854a2a8efa9296936bcee89d02193faa6089,,,,,,,
Change/Rename Parameter,serialize,serialize,datasketch/minhash.py/MinHash,120.0,120.0,['The parameters [ buffer ] of the method serialize from the module datasketch/minhash.py in class MinHash are changed/renamed to [buf]'],25d0854a2a8efa9296936bcee89d02193faa6089,,,,,,,
Rename Method,benchmark_groud_truth,benchmark_ground_truth,benchmark/lsh_benchmark.py,69.0,69.0,['The method benchmark_groud_truth from the module benchmark/lsh_benchmark.py is renamed to benchmark_ground_truth'],2c2350064a31402b8a3eeb3f827424d6b49416d6,,,,,,,
Add Parameter,__init__,__init__,datasketch/hyperloglog.py/HyperLogLog,52.0,53.0,['The parameters [ hashobj ] are added to the method __init__ from the module datasketch/hyperloglog.py in class HyperLogLog'],357b199aae1e202030c3d5fe32ebc1318d7a3179,,,,,,,
Rename Method,test_digest,test_update,test/hyperloglog_test.py/TestHyperLogLog,49.0,49.0,['The method test_digest from the module test/hyperloglog_test.py in class TestHyperLogLog is renamed to test_update'],357b199aae1e202030c3d5fe32ebc1318d7a3179,,,,,,,
Rename Method,test_digest,test_update,test/hyperloglog_test.py/TestHyperLogLogPlusPlus,156.0,156.0,['The method test_digest from the module test/hyperloglog_test.py in class TestHyperLogLogPlusPlus is renamed to test_update'],357b199aae1e202030c3d5fe32ebc1318d7a3179,,,,,,,
Rename Method,test_digest,test_update,test/minhash_test.py/TestMinHash,39.0,39.0,['The method test_digest from the module test/minhash_test.py in class TestMinHash is renamed to test_update'],357b199aae1e202030c3d5fe32ebc1318d7a3179,,,,,,,
Add Parameter,__init__,__init__,datasketch/lsh.py/MinHashLSH,79.0,85.0,['The parameters [ params ] are added to the method __init__ from the module datasketch/lsh.py in class MinHashLSH'],3ab270561e36d261fe92da80c5d4f51fe7436f0b,,,,,,,
Change/Rename Parameter,benchmark_lshensemble,benchmark_lshensemble,benchmark/lshensemble_benchmark.py,11.0,61.0,['The parameters [ l ] of the method benchmark_lshensemble from the module benchmark/lshensemble_benchmark.py are changed/renamed to [m]'],54d053c3c29207276b186fe5031721bae8231b3b,,,,,,,
Add Parameter,__init__,__init__,datasketch/b_bit_minhash.py/bBitMinHash,22.0,27.0,['The parameters [ r ] are added to the method __init__ from the module datasketch/b_bit_minhash.py in class bBitMinHash'],589ecd03f12682bc4a24cddd54d6e481ca0283df,,,,,,,
Push Down Method,bytesize,bytesize,,,, method bytesize from the module datasketch/minhash.py in class MinHash was moved to class LeanMinHash of module datasketch/lean_minhash.py ,5d1641a98fc6630d91638424881099852809af16,datasketch/minhash.py/MinHash,datasketch/lean_minhash.py/LeanMinHash,192.0,76.0,,,
Push Down Method,serialize,serialize,,,, method serialize from the module datasketch/minhash.py in class MinHash was moved to class LeanMinHash of module datasketch/lean_minhash.py ,5d1641a98fc6630d91638424881099852809af16,datasketch/minhash.py/MinHash,datasketch/lean_minhash.py/LeanMinHash,201.0,85.0,,,
Push Down Method,__getstate__,__getstate__,,,, method __getstate__ from the module datasketch/minhash.py in class MinHash was moved to class LeanMinHash of module datasketch/lean_minhash.py ,5d1641a98fc6630d91638424881099852809af16,datasketch/minhash.py/MinHash,datasketch/lean_minhash.py/LeanMinHash,222.0,108.0,,,
Add Parameter,benchmark_lshensemble,benchmark_lshensemble,benchmark/lshensemble_benchmark.py,89.0,89.0,['The parameters [ storage_config ] are added to the method benchmark_lshensemble from the module benchmark/lshensemble_benchmark.py'],6325d63268da6863950a1b5e83bf6caaee3a98f2,,,,,,,
Add Parameter,__init__,__init__,datasketch/lshensemble.py/MinHashLSHEnsemble,95.0,106.0,['The parameters [ storage_config prepickle ] are added to the method __init__ from the module datasketch/lshensemble.py in class MinHashLSHEnsemble'],6325d63268da6863950a1b5e83bf6caaee3a98f2,,,,,,,
Add Parameter,__init__,__init__,datasketch/lsh.py/MinHashLSH,96.0,98.0,['The parameters [ hashfunc ] are added to the method __init__ from the module datasketch/lsh.py in class MinHashLSH'],64598b532998fc8491af2d47b0a8ba2aafb11772,,,,,,,
Add Parameter,__init__,__init__,datasketch/experimental/aio/lsh.py/AsyncMinHashLSH,43.0,46.0,['The parameters [ prepickle ] are added to the method __init__ from the module datasketch/experimental/aio/lsh.py in class AsyncMinHashLSH'],6e7d2283cb99a118dea919c5f77e567ba3df4c55,,,,,,,
Remove Parameter,__init__,__init__,datasketch/experimental/aio/lsh.py/AsyncMinHashLSH,44.0,43.0,['The parameters [ prepickle ] of the method __init__ from the module datasketch/experimental/aio/lsh.py in class AsyncMinHashLSH is/are removed'],82d9639bc0011932a952bbae1d4b5bd5ac03c7c8,,,,,,,
Remove Parameter,_integration,_integration,datasketch/lsh.py,20.0,18.0,['The parameters [ p ] of the method _integration from the module datasketch/lsh.py is/are removed'],847b63990fae19196411b9f9195b026fe4a1e461,,,,,,,
Change/Rename Parameter,jaccard,jaccard,datasketch/minhash.py,65.0,118.0,['The parameters [ minhashs ] of the method jaccard from the module datasketch/minhash.py are changed/renamed to [mhs]'],8aa435f08aa142f5a3d908a143e61a7efbf562fb,,,,,,,
Remove Parameter,jaccard,jaccard,datasketch/minhash.py,152.0,169.0,['The parameters [ mhs ] of the method jaccard from the module datasketch/minhash.py is/are removed'],8ad9fad0abfa87077c9216ad99294b4997147001,,,,,,,
