Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Rename Method,test_maxent_binning,test_maxent_binning1,dit/inference/tests/test_binning.py,10.0,10.0,['The method test_maxent_binning from the module dit/inference/tests/test_binning.py is renamed to test_maxent_binning1'],023db53690592fa28cfcd9ecd67759d7317dc9f6,,,,,,,
Rename Method,JSD,jensen_shannon_divergence,dit/algorithms/jsd.py,15.0,15.0,['The method JSD from the module dit/algorithms/jsd.py is renamed to jensen_shannon_divergence'],03506ef2d7839511ca4e0f6bee856a248a15f244,,,,,,,
Add Parameter,__init__,__init__,dit/profiles/information_partitions.py/DependencyDecomposition,276.0,276.0,['The parameters [ rvs ] are added to the method __init__ from the module dit/profiles/information_partitions.py in class DependencyDecomposition'],041473983e93820efe5e10b635ff0bc8634f712f,,,,,,,
Add Parameter,prepare_string,prepare_string,dit/distribution.py,39.0,39.0,['The parameters [ str_events ] are added to the method prepare_string from the module dit/distribution.py'],04bbb4e0a4481da4136bbce632bfaaab6be0fded,,,,,,,
Add Parameter,to_string,to_string,dit/npjdist.py/JointDistribution,842.0,1025.0,['The parameters [ str_events ] are added to the method to_string from the module dit/npjdist.py in class JointDistribution'],04bbb4e0a4481da4136bbce632bfaaab6be0fded,,,,,,,
Remove Parameter,_init,_init,dit/npdist.py/Distribution,450.0,482.0,['The parameters [ sample_space ] of the method _init from the module dit/npdist.py in class Distribution is/are removed'],052455d367492b3b2a3607f363958fcd33dbca01,,,,,,,
Remove Parameter,_init,_init,dit/npscalardist.py/ScalarDistribution,352.0,369.0,['The parameters [ sample_space ] of the method _init from the module dit/npscalardist.py in class ScalarDistribution is/are removed'],052455d367492b3b2a3607f363958fcd33dbca01,,,,,,,
Rename Method,__repr__,__str__,dit/distribution.py/BaseDistribution,165.0,259.0,['The method __repr__ from the module dit/distribution.py in class BaseDistribution is renamed to __str__'],05279fd755a9d476609718b5b9d48c12223557d3,,,,,,,
Change/Rename Parameter,__init__,__init__,dit/npdist.py/Distribution,249.0,312.0,['The parameters [ eventspace ] of the method __init__ from the module dit/npdist.py in class Distribution are changed/renamed to [alphabet]'],05279fd755a9d476609718b5b9d48c12223557d3,,,,,,,
Change/Rename Parameter,_init,_init,dit/npdist.py/Distribution,337.0,400.0,['The parameters [ eventspace ] of the method _init from the module dit/npdist.py in class Distribution are changed/renamed to [alphabet]'],05279fd755a9d476609718b5b9d48c12223557d3,,,,,,,
Change/Rename Parameter,_make_distribution,_make_distribution,dit/npdist.py,64.0,98.0,['The parameters [ eventspace ] of the method _make_distribution from the module dit/npdist.py are changed/renamed to [alphabet]'],05279fd755a9d476609718b5b9d48c12223557d3,,,,,,,
Change/Rename Parameter,reorder,reorder,dit/npdist.py,121.0,165.0,['The parameters [ eventspace ] of the method reorder from the module dit/npdist.py are changed/renamed to [alphabet]'],05279fd755a9d476609718b5b9d48c12223557d3,,,,,,,
Add Parameter,hypercontractivity_coefficient,hypercontractivity_coefficient,dit/divergences/hypercontractivity_coefficient.py,311.0,324.0,['The parameters [ nhops ] are added to the method hypercontractivity_coefficient from the module dit/divergences/hypercontractivity_coefficient.py'],07e3f728608b9d7ee48487d9f6e72d3067340239,,,,,,,
Change/Rename Parameter,insert_join,insert_join,dit/algorithms/lattice.py,367.0,375.0,['The parameters [ rv_names ] of the method insert_join from the module dit/algorithms/lattice.py are changed/renamed to [rv_mode]'],09e695dd068a60e63d64fc538f40df24d0ce0a8b,,,,,,,
Change/Rename Parameter,insert_meet,insert_meet,dit/algorithms/lattice.py,402.0,411.0,['The parameters [ rv_names ] of the method insert_meet from the module dit/algorithms/lattice.py are changed/renamed to [rv_mode]'],09e695dd068a60e63d64fc538f40df24d0ce0a8b,,,,,,,
Change/Rename Parameter,join,join,dit/algorithms/lattice.py,239.0,245.0,['The parameters [ rv_names ] of the method join from the module dit/algorithms/lattice.py are changed/renamed to [rv_mode]'],09e695dd068a60e63d64fc538f40df24d0ce0a8b,,,,,,,
