Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,__init__,__init__,donkeycar/parts/controller.py/JoyStickPub,280.0,283.0,['The parameters [ port dev_fn ] are added to the method __init__ from the module donkeycar/parts/controller.py in class JoyStickPub'],02a7c2ba433fae559b312de1ab9e8664b3488124,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/controller.py/JoyStickSub,307.0,310.0,['The parameters [ port ] are added to the method __init__ from the module donkeycar/parts/controller.py in class JoyStickSub'],02a7c2ba433fae559b312de1ab9e8664b3488124,,,,,,,
Add Parameter,__init__,__init__,donkeycar/pipeline/augmentations.py/ImageAugmentation,73.0,74.0,['The parameters [ key ] are added to the method __init__ from the module donkeycar/pipeline/augmentations.py in class ImageAugmentation'],02b41a0d079f3dea0d5d8f6000f9e074cae45519,,,,,,,
Rename Method,augment,run,donkeycar/pipeline/augmentations.py/ImageAugmentation,104.0,119.0,['The method augment from the module donkeycar/pipeline/augmentations.py in class ImageAugmentation is renamed to run'],02b41a0d079f3dea0d5d8f6000f9e074cae45519,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/launch.py/AiLaunch,10.0,10.0,['The parameters [ keep_enabled ] are added to the method __init__ from the module donkeycar/parts/launch.py in class AiLaunch'],035fdfaf205979b6210b8671c3873b29e28b96bb,,,,,,,
Add Parameter,__init__,__init__,donkey/remotes.py/RemoteServer,67.0,67.0,['The parameters [ port ] are added to the method __init__ from the module donkey/remotes.py in class RemoteServer'],040a201687d44d9bc0bf6d44fa1802f7c43a28dc,,,,,,,
Move Method,variant_generator,variant_generator,,,, method variant_generator from the module donkey/sessions.py in class Session was moved to module donkey/sessions.py ,053d0c2ba48ac6d2ba9cd89676784b893fd9234b,donkey/sessions.py/Session,donkey/sessions.py,120.0,271.0,,,
Move Method,orient,orient,,,, method orient from the module donkey/sessions.py in class Session was moved to module donkey/sessions.py ,053d0c2ba48ac6d2ba9cd89676784b893fd9234b,donkey/sessions.py/Session,donkey/sessions.py,122.0,273.0,,,
Rename Class,JoystickPilot,JoystickController,donkeycar/parts/controllers/joystick.py,,, class JoystickPilot was renamed to class JoystickController ,0542e9a0beb883199213272b76f631ed91e14f36,,,,,,,
Add Parameter,drive,drive,donkeycar/templates/donkey2.py,18.0,24.0,['The parameters [ use_joystick ] are added to the method drive from the module donkeycar/templates/donkey2.py'],0542e9a0beb883199213272b76f631ed91e14f36,,,,,,,
Add Parameter,get_default_transform,get_default_transform,donkeycar/parts/pytorch/torch_data.py,13.0,13.0,['The parameters [ resize ] are added to the method get_default_transform from the module donkeycar/parts/pytorch/torch_data.py'],064b327e0895937b64bf998cd229b74c95f9da2f,,,,,,,
Change Return Type,get_model_by_type,get_model_by_type,donkeycar/utils.py,431.0,431.0,['The return type of method get_model_by_type from the module donkeycar/utils.py is updated'],064b327e0895937b64bf998cd229b74c95f9da2f,,,,,,,
Add Parameter,run,run,donkey/parts/actuators/actuators.py/PWMSteering,217.0,219.0,['The parameters [ mode ] are added to the method run from the module donkey/parts/actuators/actuators.py in class PWMSteering'],096fed54fc890c9530b15c3347d6c639a0f2cc4f,,,,,,,
Add Parameter,run,run,donkey/parts/actuators/actuators.py/PWMThrottle,256.0,259.0,['The parameters [ mode ] are added to the method run from the module donkey/parts/actuators/actuators.py in class PWMThrottle'],096fed54fc890c9530b15c3347d6c639a0f2cc4f,,,,,,,
Add Parameter,run_threaded,run_threaded,donkey/parts/controllers/web.py/LocalWebController,129.0,129.0,['The parameters [ rcin_angle rcin_throttle ] are added to the method run_threaded from the module donkey/parts/controllers/web.py in class LocalWebController'],096fed54fc890c9530b15c3347d6c639a0f2cc4f,,,,,,,
Move Method,map_frange,map_frange,,,, method map_frange from the module donkeycar/parts/actuator.py was moved to module donkeycar/utils.py ,10b260c231b0c5c4c0967ed2a94db48254909137,donkeycar/parts/actuator.py,donkeycar/utils.py,620.0,297.0,,,
Add Parameter,__init__,__init__,donkeycar/parts/led_status.py/RGB_LED,47.0,47.0,['The parameters [ invert_flag ] are added to the method __init__ from the module donkeycar/parts/led_status.py in class RGB_LED'],14bdcd1995800384d1a02304be3fd0048cb4f927,,,,,,,
Add Parameter,save_results,save_results,scripts/explore.py,59.0,60.0,['The parameters [ name ] are added to the method save_results from the module scripts/explore.py'],157e595bb758fac43a527d583d434ed5e6fa4004,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/camera.py/PiCamera,14.0,14.0,['The parameters [ vflip hflip ] are added to the method __init__ from the module donkeycar/parts/camera.py in class PiCamera'],170d7179977dccbb36c640e75aaffb6251fb14e2,,,,,,,
Rename Class,PS3JoystickNew,PS3JoystickOld,donkeycar/parts/controller.py,,, class PS3JoystickNew was renamed to class PS3JoystickOld ,1747096db61bb7c88bbbe521283c807bec3c961e,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/datastore_v2.py/Manifest,213.0,213.0,['The parameters [ read_only ] are added to the method __init__ from the module donkeycar/parts/datastore_v2.py in class Manifest'],178565d16f1f4cfb5b924b77e51d11f3bc24c7cd,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/tub_v2.py/Tub,16.0,16.0,['The parameters [ read_only ] are added to the method __init__ from the module donkeycar/parts/tub_v2.py in class Tub'],178565d16f1f4cfb5b924b77e51d11f3bc24c7cd,,,,,,,
Rename Method,update_speed,update_throttle,donkey/vehicles.py/BaseVehicle,28.0,28.0,['The method update_speed from the module donkey/vehicles.py in class BaseVehicle is renamed to update_throttle'],1a018890fda4e0c22e4bfe4d0a492818a57bdce7,,,,,,,
Rename Method,create_donkey_data,setup_mydonkey_paths,donkey/utils.py,154.0,154.0,['The method create_donkey_data from the module donkey/utils.py is renamed to setup_mydonkey_paths'],1a91813f6ea2e4dd344db72c66c96db5690e387a,,,,,,,
Remove Parameter,drive,drive,donkeycar/templates/basic_web.py,33.0,28.0,['The parameters [ use_joystick ] of the method drive from the module donkeycar/templates/basic_web.py is/are removed'],1bdf63ad99b4d9f88bf9bcbbc6568bb119d7c67d,,,,,,,
Extract Method,test_train_cat,cfg_defaults,donkeycar/tests/test_train.py,,, The method cfg_defaults from the module donkeycar/tests/test_train.py is extracted from method test_train_cat from the module donkeycar/tests/test_train.py ,1c31d1b3037631f0308477e2b226994b73c33c61,,,,,"(15,26)",15.0,"[23.0, 24.0, 25.0, 26.0, 27.0]"
Add Parameter,add,add,donkeycar/vehicle.py/Vehicle,25.0,25.0,['The parameters [ run_condition ] are added to the method add from the module donkeycar/vehicle.py in class Vehicle'],1c61567d8f4335c5252401d70fe843f990531a96,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/file_watcher.py/FileWatcher,8.0,8.0,['The parameters [ verbose ] are added to the method __init__ from the module donkeycar/parts/file_watcher.py in class FileWatcher'],1d741f3b0d4b13eec4aaa2de9025b26eaa0ca366,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/dgym.py/DonkeyGymEnv,12.0,12.0,['The parameters [ host conf ] are added to the method __init__ from the module donkeycar/parts/dgym.py in class DonkeyGymEnv'],1def4b80cbf5af1c23aed1fcda9f85c8abf3af91,,,,,,,
Remove Parameter,__init__,__init__,donkeycar/parts/keras.py/KerasLocalizer,249.0,249.0,['The parameters [ num_outputs num_behavior_inputs ] of the method __init__ from the module donkeycar/parts/keras.py in class KerasLocalizer is/are removed'],1e65182ebb4d0ee98dc192f8fb440bcc118f1b9e,,,,,,,
Remove Parameter,default_loc,default_loc,donkeycar/parts/keras.py,444.0,431.0,['The parameters [ num_outputs ] of the method default_loc from the module donkeycar/parts/keras.py is/are removed'],1e65182ebb4d0ee98dc192f8fb440bcc118f1b9e,,,,,,,
Add Parameter,__init__,__init__,donkey/parts/stores/tub.py/TubReader,191.0,191.0,['The parameters [ path ] are added to the method __init__ from the module donkey/parts/stores/tub.py in class TubReader'],1f3b2058137ce3e131a88fabb966f26dc6d2d194,,,,,,,
Extract Method,create_joystick,clear_scr,donkeycar/management/joystick_creator.py/CreateJoystick,,, The method clear_scr from the module donkeycar/management/joystick_creator.py in class CreateJoystick is extracted from method create_joystick from the module donkeycar/management/joystick_creator.py in class CreateJoystick ,1f9f726bd6e6ed924f7ea2b4bcfc9ae187e5a4d6,,,,,"(67,83)",80.0,[75.0]
Rename Class,PS3JoystickOld,PS3JoystickNew,donkeycar/parts/controller.py,,, class PS3JoystickOld was renamed to class PS3JoystickNew ,1f9f726bd6e6ed924f7ea2b4bcfc9ae187e5a4d6,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/oled.py/OLEDDisplay,15.0,15.0,['The parameters [ resolution ] are added to the method __init__ from the module donkeycar/parts/oled.py in class OLEDDisplay'],20bf83c4f8bfe24bda151659e271a488bfa91f1b,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/oled.py/OLEDPart,89.0,92.0,['The parameters [ resolution ] are added to the method __init__ from the module donkeycar/parts/oled.py in class OLEDPart'],20bf83c4f8bfe24bda151659e271a488bfa91f1b,,,,,,,
Rename Method,show_record_count_status,show_record_acount_status,donkeycar/templates/complete.py,330.0,333.0,['The method show_record_count_status from the module donkeycar/templates/complete.py is renamed to show_record_acount_status'],20bf83c4f8bfe24bda151659e271a488bfa91f1b,,,,,,,
Add Parameter,led_cond,led_cond,donkeycar/templates/donkey2.py,156.0,165.0,['The parameters [ track_loc ] are added to the method led_cond from the module donkeycar/templates/donkey2.py'],221c9c035cd6f971b701122c1ac4828f9ad3cc95,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/keras.py/KerasCategorical,89.0,89.0,['The parameters [ roi_crop ] are added to the method __init__ from the module donkeycar/parts/keras.py in class KerasCategorical'],2384548a907cee728df147c0b93dd94745df94c9,,,,,,,
Add Parameter,__init__,__init__,donkeycar/parts/keras.py/KerasLinear,123.0,123.0,['The parameters [ roi_crop ] are added to the method __init__ from the module donkeycar/parts/keras.py in class KerasLinear'],2384548a907cee728df147c0b93dd94745df94c9,,,,,,,
Add Parameter,default_categorical,default_categorical,donkeycar/parts/keras.py,249.0,249.0,['The parameters [ roi_crop ] are added to the method default_categorical from the module donkeycar/parts/keras.py'],2384548a907cee728df147c0b93dd94745df94c9,,,,,,,
Add Parameter,default_n_linear,default_n_linear,donkeycar/parts/keras.py,292.0,293.0,['The parameters [ roi_crop ] are added to the method default_n_linear from the module donkeycar/parts/keras.py'],2384548a907cee728df147c0b93dd94745df94c9,,,,,,,
Remove Parameter,__init__,__init__,donkeycar/parts/controller.py/JoystickController,291.0,313.0,['The parameters [ controller_type ] of the method __init__ from the module donkeycar/parts/controller.py in class JoystickController is/are removed'],24901884d6b473114e4aa18398fae8fe1396fbc6,,,,,,,
Extract Method,__init__,init_trigger_maps,donkeycar/parts/controller.py/JoystickController,,, The method init_trigger_maps from the module donkeycar/parts/controller.py in class JoystickController is extracted from method __init__ from the module donkeycar/parts/controller.py in class JoystickController ,24901884d6b473114e4aa18398fae8fe1396fbc6,,,,,"(291,313)",349.0,[326.0]
Extract Method,erase_last_n_records,erase_record,donkeycar/parts/datastore.py/Tub,,, The method erase_record from the module donkeycar/parts/datastore.py in class Tub is extracted from method erase_last_n_records from the module donkeycar/parts/datastore.py in class Tub ,25e4656cf7fdc299331b51e6953fc222dc3eec3f,,,,,"(337,337)",352.0,"[350.0, 351.0, 352.0, 353.0, 354.0, 355.0, 356.0]"
Add Parameter,load_data,load_data,donkey/sessions.py/Session,79.0,74.0,['The parameters [ img_paths ] are added to the method load_data from the module donkey/sessions.py in class Session'],25f900e174f16c7ebf34bb921f140260b9efaad6,,,,,,,
Add Parameter,load_generator,load_generator,donkey/sessions.py/Session,105.0,100.0,['The parameters [ img_paths add_dim ] are added to the method load_generator from the module donkey/sessions.py in class Session'],25f900e174f16c7ebf34bb921f140260b9efaad6,,,,,,,
Remove Parameter,run,run,donkeycar/parts/keras.py/KerasIMU,137.0,137.0,['The parameters [ temp ] of the method run from the module donkeycar/parts/keras.py in class KerasIMU is/are removed'],28a0cbd1ffee5ea0e825b194bd7582becacaf1aa,,,,,,,
