Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,shock_term,shock_term,elfi/examples/stochastic_volatility_model.py,12.0,22.0,['The parameters [ n_obs ] are added to the method shock_term from the module elfi/examples/stochastic_volatility_model.py'],01d62935a253a1fe2023ad9c8c4a36a4ae61e4d1,,,,,,,
Rename Method,_init_from_array,init_from_array,elfi/store.py/NpyArray,677.0,685.0,['The method _init_from_array from the module elfi/store.py in class NpyArray is renamed to init_from_array'],045d8e2f2a7d3d6418bc2f5477174359e84a9b01,,,,,,,
Rename Method,test_pool,test_pool_usage,tests/functional/test_simulation_reuse.py,7.0,10.0,['The method test_pool from the module tests/functional/test_simulation_reuse.py is renamed to test_pool_usage'],045d8e2f2a7d3d6418bc2f5477174359e84a9b01,,,,,,,
Rename Method,test_npy_persisted_array,test_npy_array,tests/unit/test_store.py,11.0,11.0,['The method test_npy_persisted_array from the module tests/unit/test_store.py is renamed to test_npy_array'],045d8e2f2a7d3d6418bc2f5477174359e84a9b01,,,,,,,
Change/Rename Parameter,set_objective,set_objective,elfi/methods/inference/samplers.py/SMC,349.0,349.0,['The parameters [ adaptive_threshold ] of the method set_objective from the module elfi/methods/inference/samplers.py in class SMC are changed/renamed to [adaptive_quantile]'],0701a09de0e6d6ea85b7e05ed87ac55cea5c3818,,,,,,,
Change/Rename Parameter,inference_task,inference_task,elfi/env.py,71.0,71.0,['The parameters [ key default_class ] of the method inference_task from the module elfi/env.py are changed/renamed to [name default_factory]'],0b8cc08f71fa933b39da1049c5771c9855f6681f,,,,,,,
Move Method,make_key,make_key,,,, method make_key from the module elfi/core.py was moved to module elfi/utils.py ,0b8cc08f71fa933b39da1049c5771c9855f6681f,elfi/core.py,elfi/utils.py,263.0,10.0,,,
Move Method,is_elfi_key,is_elfi_key,,,, method is_elfi_key from the module elfi/core.py was moved to module elfi/utils.py ,0b8cc08f71fa933b39da1049c5771c9855f6681f,elfi/core.py,elfi/utils.py,283.0,30.0,,,
Move Method,get_key_slice,get_key_slice,,,, method get_key_slice from the module elfi/core.py was moved to module elfi/utils.py ,0b8cc08f71fa933b39da1049c5771c9855f6681f,elfi/core.py,elfi/utils.py,287.0,34.0,,,
Move Method,get_key_name,get_key_name,,,, method get_key_name from the module elfi/core.py was moved to module elfi/utils.py ,0b8cc08f71fa933b39da1049c5771c9855f6681f,elfi/core.py,elfi/utils.py,293.0,40.0,,,
Move Method,reset_key_slice,reset_key_slice,,,, method reset_key_slice from the module elfi/core.py was moved to module elfi/utils.py ,0b8cc08f71fa933b39da1049c5771c9855f6681f,elfi/core.py,elfi/utils.py,297.0,44.0,,,
Move Method,reset_key_name,reset_key_name,,,, method reset_key_name from the module elfi/core.py was moved to module elfi/utils.py ,0b8cc08f71fa933b39da1049c5771c9855f6681f,elfi/core.py,elfi/utils.py,307.0,54.0,,,
Move Method,get_named_item,get_named_item,,,, method get_named_item from the module elfi/core.py was moved to module elfi/utils.py ,0b8cc08f71fa933b39da1049c5771c9855f6681f,elfi/core.py,elfi/utils.py,317.0,64.0,,,
Rename Class,OutputSlice,OutputStore,abcpy/core.py,,, class OutputSlice was renamed to class OutputStore ,0d03b31347329854a504da7bade9d49460a7b5c9,,,,,,,
Change/Rename Parameter,npr_op,npr_op,abcpy/distributions.py,9.0,9.0,['The parameters [ input ] of the method npr_op from the module abcpy/distributions.py are changed/renamed to [input_dict]'],0d03b31347329854a504da7bade9d49460a7b5c9,,,,,,,
Rename Method,test_echo_1d_array_args,test_echo_2d_array_args,tests/unit/test_wrapper.py/Test_wrapper,46.0,46.0,['The method test_echo_1d_array_args from the module tests/unit/test_wrapper.py in class Test_wrapper is renamed to test_echo_2d_array_args'],0d2ef7a4d398fa66ed06a04c7f5c02e988e13619,,,,,,,
Change/Rename Parameter,_run,_run,elfi/executor.py/Executor,36.0,39.0,['The parameters [ nodename ] of the method _run from the module elfi/executor.py in class Executor are changed/renamed to [node]'],0df5ed4aa1fd4a41c959909e9823566b9f3ce970,,,,,,,
Add Parameter,model,model,tests/unit/test_randomness.py,9.0,9.0,['The parameters [ computation_context ] are added to the method model from the module tests/unit/test_randomness.py'],0df5ed4aa1fd4a41c959909e9823566b9f3ce970,,,,,,,
