Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,load_aligned,load_aligned,lib/faces_detect.py/DetectedFace,219.0,219.0,['The parameters [ force ] are added to the method load_aligned from the module lib/faces_detect.py in class DetectedFace'],00068f84515dd52e3f6b57b05bc0f33987946b58,,,,,,,
Extract Method,add,replace_mask,lib/faces_detect.py/Mask,,, The method replace_mask from the module lib/faces_detect.py in class Mask is extracted from method add from the module lib/faces_detect.py in class Mask ,00068f84515dd52e3f6b57b05bc0f33987946b58,"(570,596)",618.0,"[590.0, 593.0]",,,,
Change/Rename Parameter,__init__,__init__,lib/gui/control_helper.py/ControlPanel,36.0,51.0,['The parameters [ radio_columns ] of the method __init__ from the module lib/gui/control_helper.py in class ControlPanel are changed/renamed to [option_columns]'],00990c4a353c26ed565af903ff9005813efe8864,,,,,,,
Remove Parameter,build_panel,build_panel,lib/gui/control_helper.py/ControlPanel,96.0,112.0,['The parameters [ radio_columns ] of the method build_panel from the module lib/gui/control_helper.py in class ControlPanel is/are removed'],00990c4a353c26ed565af903ff9005813efe8864,,,,,,,
Change/Rename Parameter,__init__,__init__,lib/gui/control_helper.py/ControlBuilder,277.0,419.0,['The parameters [ radio_columns ] of the method __init__ from the module lib/gui/control_helper.py in class ControlBuilder are changed/renamed to [option_columns]'],00990c4a353c26ed565af903ff9005813efe8864,,,,,,,
Change/Rename Parameter,build_control,build_control,lib/gui/control_helper.py/ControlBuilder,371.0,513.0,['The parameters [ radio_columns ] of the method build_control from the module lib/gui/control_helper.py in class ControlBuilder are changed/renamed to [option_columns]'],00990c4a353c26ed565af903ff9005813efe8864,,,,,,,
Change/Rename Parameter,build_one_control,build_one_control,lib/gui/control_helper.py/ControlBuilder,397.0,538.0,['The parameters [ radio_columns ] of the method build_one_control from the module lib/gui/control_helper.py in class ControlBuilder are changed/renamed to [option_columns]'],00990c4a353c26ed565af903ff9005813efe8864,,,,,,,
Remove Parameter,set_detect_image,set_detect_image,plugins/extract/detect/_base.py/Detector,155.0,155.0,['The parameters [ self ] of the method set_detect_image from the module plugins/extract/detect/_base.py in class Detector is/are removed'],018657703ee9cf9718c7196c0d042fbfad2526bc,,,,,,,
Add Parameter,process_rotations,process_rotations,plugins/extract/detect/dlib_cnn.py/Detect,166.0,167.0,['The parameters [ scales ] are added to the method process_rotations from the module plugins/extract/detect/dlib_cnn.py in class Detect'],018657703ee9cf9718c7196c0d042fbfad2526bc,,,,,,,
Add Parameter,to_detected_face,to_detected_face,plugins/extract/detect/_base.py/Detector,95.0,100.0,['The parameters [ self ] are added to the method to_detected_face from the module plugins/extract/detect/_base.py in class Detector'],02935a9b426811fc5e24013b0a72152e49d33b98,,,,,,,
Add Parameter,__init__,__init__,plugins/train/model/_base.py/ModelBase,35.0,35.0,['The parameters [ optimizer_savings ] are added to the method __init__ from the module plugins/train/model/_base.py in class ModelBase'],03d419c505ef88086af58c16441ffb8487cb8fe5,,,,,,,
Change Return Type,_stream_handler,_stream_handler,lib/logger.py,281.0,395.0,['The return type of method _stream_handler from the module lib/logger.py is updated'],03f6cb4e7e106bc227ad781a515338097fba26f9,,,,,,,
Remove Parameter,__init__,__init__,setup.py/Environment,38.0,48.0,['The parameters [ logger ] of the method __init__ from the module setup.py in class Environment is/are removed'],03f6cb4e7e106bc227ad781a515338097fba26f9,,,,,,,
Rename Method,check_pip,_check_pip,setup.py/Environment,201.0,215.0,['The method check_pip from the module setup.py in class Environment is renamed to _check_pip'],03f6cb4e7e106bc227ad781a515338097fba26f9,,,,,,,
Rename Method,check_python,_check_python,setup.py/Environment,177.0,191.0,['The method check_python from the module setup.py in class Environment is renamed to _check_python'],03f6cb4e7e106bc227ad781a515338097fba26f9,,,,,,,
Rename Method,process_arguments,_process_arguments,setup.py/Environment,110.0,116.0,['The method process_arguments from the module setup.py in class Environment is renamed to _process_arguments'],03f6cb4e7e106bc227ad781a515338097fba26f9,,,,,,,
Rename Method,set_ld_library_path,_set_ld_library_path,setup.py/Environment,321.0,341.0,['The method set_ld_library_path from the module setup.py in class Environment is renamed to _set_ld_library_path'],03f6cb4e7e106bc227ad781a515338097fba26f9,,,,,,,
