Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,__init__,__init__,lib/model/rpn/proposal_layer.py/_ProposalLayer,31.0,31.0,['The parameters [ ratios ] are added to the method __init__ from the module lib/model/rpn/proposal_layer.py in class _ProposalLayer'],1795efb7f9923a1d53354d9fdceccdd063223847,,,,,,,
Rename Class,roiLoader,roibatchLoader,lib/roi_data_layer/roibatchLoader.py,,, class roiLoader was renamed to class roibatchLoader ,1cd3d6a31bf03bb97d059670f1b11eb1ccb8693e,,,,,,,
Add Parameter,__init__,__init__,lib/roi_data_layer/roibatchLoader.py/roibatchLoader,23.0,23.0,['The parameters [ ratio_index batch_size ] are added to the method __init__ from the module lib/roi_data_layer/roibatchLoader.py in class roibatchLoader'],20121d4772f3c7c9bf4851101229b573c467684b,,,,,,,
Add Parameter,__init__,__init__,lib/roi_data_layer/roibatchLoader.py/roibatchLoader,23.0,23.0,['The parameters [ normalize ] are added to the method __init__ from the module lib/roi_data_layer/roibatchLoader.py in class roibatchLoader'],22f97ff025cce219d2a120de07cc70ab44102f68,,,,,,,
Move Method,vis_detections,vis_detections,,,, method vis_detections from the module tools/test_net.py was moved to module lib/model/utils/network.py ,22f97ff025cce219d2a120de07cc70ab44102f68,tools/test_net.py,lib/model/utils/network.py,120.0,46.0,,,
Inline Method,_init_modules,load_pretrained_cnn,lib/model/faster_rcnn/resnet.py/resnet,,, The method load_pretrained_cnn from the module lib/model/faster_rcnn/resnet.py in class resnet is inlined into method _init_modules from the module lib/model/faster_rcnn/resnet.py in class resnet ,2351c3beebd253025c9817e8902d82b997760a1a,,,,,"(224,224)",289.0,"[226.0, 227.0]"
Add Parameter,__init__,__init__,lib/roi_data_layer/roibatchLoader.py/roibatchLoader,23.0,23.0,['The parameters [ training ] are added to the method __init__ from the module lib/roi_data_layer/roibatchLoader.py in class roibatchLoader'],49eccfeb1270f92ba9dd54f187825b0f8f56e49f,,,,,,,
Add Parameter,combined_roidb,combined_roidb,lib/roi_data_layer/roidb.py,74.0,87.0,['The parameters [ training ] are added to the method combined_roidb from the module lib/roi_data_layer/roidb.py'],a1fd623a94a04203295bacc0a62282f38b11a538,,,,,,,
Change/Rename Parameter,__init__,__init__,trainval_net_cascade.py/sampler,121.0,121.0,['The parameters [ data_source ] of the method __init__ from the module trainval_net_cascade.py in class sampler are changed/renamed to [train_size]'],b0c7219c3d94c86f3ad4902a3d4a74e66577ba98,,,,,,,
Add Parameter,__init__,__init__,lib/model/faster_rcnn/resnet.py/resnet,219.0,219.0,['The parameters [ pretrained ] are added to the method __init__ from the module lib/model/faster_rcnn/resnet.py in class resnet'],ba15ca8eec4cb33e6cde223abfb8bef8eb0cdaf6,,,,,,,
Add Parameter,__init__,__init__,lib/model/faster_rcnn/vgg16.py/vgg16,20.0,20.0,['The parameters [ pretrained ] are added to the method __init__ from the module lib/model/faster_rcnn/vgg16.py in class vgg16'],ba15ca8eec4cb33e6cde223abfb8bef8eb0cdaf6,,,,,,,
Add Parameter,__init__,__init__,lib/model/rpn/anchor_target_layer.py/_AnchorTargetLayer,29.0,29.0,['The parameters [ ratios ] are added to the method __init__ from the module lib/model/rpn/anchor_target_layer.py in class _AnchorTargetLayer'],ba711bed4ee3fd4231b7678e43b22f966f66261a,,,,,,,
Change/Rename Parameter,forward,forward,lib/model/rpn/rpn.py/_RPN,70.0,70.0,['The parameters [ input ] of the method forward from the module lib/model/rpn/rpn.py in class _RPN are changed/renamed to [base_feat]'],bdd5c7244b427a840a55edc6819e895d70b069bc,,,,,,,
Rename Class,CropResizeFunction,RoICropFunction,lib/model/roi_crop/functions/crop_resize.py,,, class CropResizeFunction was renamed to class RoICropFunction ,c726bc8dd2144b90db57e723900cf8bb566ecd47,,,,,,,
