Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Change/Rename Parameter,process_results,process_results,gensim/summarization/pagerank_weighted.py,59.0,76.0,['The parameters [ vecs ] of the method process_results from the module gensim/summarization/pagerank_weighted.py are changed/renamed to [vec]'],00192a8f261ebb83cd7298cefebf5f57d8060984,,,,,,,
Extract Method,train,clear_sims,gensim/models/word2vec.py/Word2Vec,,, The method clear_sims from the module gensim/models/word2vec.py in class Word2Vec is extracted from method train from the module gensim/models/word2vec.py in class Word2Vec ,012823fd84af7de362d421bc07d7865d2816e9c6,"(467,467)",542.0,[539.0],,,,
Change/Rename Parameter,print_topic,print_topic,gensim/models/wrappers/dtmmodel.py/DtmModel,300.0,300.0,['The parameters [ topn ] of the method print_topic from the module gensim/models/wrappers/dtmmodel.py in class DtmModel are changed/renamed to [num_words]'],012877aaca8ae202bbe759f0fcfb4301f1ec062b,,,,,,,
Change/Rename Parameter,show_topic,show_topic,gensim/models/wrappers/dtmmodel.py/DtmModel,283.0,283.0,['The parameters [ topn ] of the method show_topic from the module gensim/models/wrappers/dtmmodel.py in class DtmModel are changed/renamed to [num_words]'],012877aaca8ae202bbe759f0fcfb4301f1ec062b,,,,,,,
Add Parameter,__init__,__init__,gensim/models/wrappers/ldamallet.py/LdaMallet,80.0,80.0,['The parameters [ random_seed ] are added to the method __init__ from the module gensim/models/wrappers/ldamallet.py in class LdaMallet'],01f4ac860638e7c24c2bab00e989bf2c546362bd,,,,,,,
Rename Method,test_infer_vector,disabled_test_infer_vector,gensim/test/test_translation_matrix.py/TestBackMappingTranslationMatrix,105.0,105.0,['The method test_infer_vector from the module gensim/test/test_translation_matrix.py in class TestBackMappingTranslationMatrix is renamed to disabled_test_infer_vector'],02354cd0b4ed1c536fb8ffe3c665a5e7aa2c1818,,,,,,,
Rename Method,test_corpus_summarization_raises_exception_on_short_input_text,test_corpus_summarization_is_not_empty_list_on_short_input_text,gensim/test/test_summarization.py/TestSummarizationTest,102.0,88.0,['The method test_corpus_summarization_raises_exception_on_short_input_text from the module gensim/test/test_summarization.py in class TestSummarizationTest is renamed to test_corpus_summarization_is_not_empty_list_on_short_input_text'],02ba343e85f299130d2a1fc38e702040ef620c87,,,,,,,
Rename Method,test_low_distinct_words_corpus_summarization_is_none,test_low_distinct_words_corpus_summarization_is_empty_list,gensim/test/test_summarization.py/TestSummarizationTest,174.0,151.0,['The method test_low_distinct_words_corpus_summarization_is_none from the module gensim/test/test_summarization.py in class TestSummarizationTest is renamed to test_low_distinct_words_corpus_summarization_is_empty_list'],02ba343e85f299130d2a1fc38e702040ef620c87,,,,,,,
Extract Method,test_text_summarization,_get_text_from_test_data,gensim/test/test_summarization.py/TestSummarizationTest,,, The method _get_text_from_test_data from the module gensim/test/test_summarization.py in class TestSummarizationTest is extracted from method test_text_summarization from the module gensim/test/test_summarization.py in class TestSummarizationTest ,02ba343e85f299130d2a1fc38e702040ef620c87,"(26,31)",26.0,"[27.0, 30.0]",,,,
Add Parameter,unitvec,unitvec,gensim/matutils.py,327.0,332.0,['The parameters [ norm ] are added to the method unitvec from the module gensim/matutils.py'],02e49f9e3211edaed109ac9c8e727dd7a92be507,,,,,,,
Extract Method,unitvec,ret_normalized_vec,gensim/matutils.py,,, The method ret_normalized_vec from the module gensim/matutils.py is extracted from method unitvec from the module gensim/matutils.py ,02e49f9e3211edaed109ac9c8e727dd7a92be507,"(327,332)",322.0,"[359.0, 360.0, 362.0]",,,,
Add Parameter,__init__,__init__,gensim/similarities/docsim.py/Similarity,152.0,152.0,['The parameters [ norm ] are added to the method __init__ from the module gensim/similarities/docsim.py in class Similarity'],02e49f9e3211edaed109ac9c8e727dd7a92be507,,,,,,,
Add Parameter,accuracy,accuracy,gensim/models/word2vec.py/Word2Vec,727.0,784.0,['The parameters [ most_similar ] are added to the method accuracy from the module gensim/models/word2vec.py in class Word2Vec'],03fce813366880215f7026788067c4022cee8b83,,,,,,,
Extract Method,decode_htmlentities,safe_unichr,gensim/utils.py,,, The method safe_unichr from the module gensim/utils.py is extracted from method decode_htmlentities from the module gensim/utils.py ,0482e6e125e07d9c85aa80c7b1ba94eddd8ebb8b,"(532,541)",532.0,[553.0],,,,
Add Parameter,lemmatize,lemmatize,gensim/utils.py,611.0,611.0,['The parameters [ light ] are added to the method lemmatize from the module gensim/utils.py'],053399808ff713f5f3619a6e7009e530b3b7c6c3,,,,,,,
Rename Method,get_ip,get_my_ip,src/gensim/utils.py,208.0,208.0,['The method get_ip from the module src/gensim/utils.py is renamed to get_my_ip'],05351c77997c6af05e144b80cb45e7b118f6d24b,,,,,,,
Rename Method,add_one,add_new_vector,gensim/models/keyedvectors.py/KeyedVectors,392.0,432.0,['The method add_one from the module gensim/models/keyedvectors.py in class KeyedVectors is renamed to add_new_vector'],06aef7510f8208b32f183c1c95597ef55865826d,,,,,,,
Change/Rename Parameter,similarity_by_id,similarity_by_id,gensim/similarities/docsim.py/Similarity,288.0,288.0,['The parameters [ pos ] of the method similarity_by_id from the module gensim/similarities/docsim.py in class Similarity are changed/renamed to [docpos]'],0780cfdbe7057d17a00acff164f36b700468186f,,,,,,,
Rename Method,updateids,update_ids,gensim/similarities/simserver.py/SimIndex,141.0,121.0,['The method updateids from the module gensim/similarities/simserver.py in class SimIndex is renamed to update_ids'],0780cfdbe7057d17a00acff164f36b700468186f,,,,,,,
Extract Method,delete,update_mappings,gensim/similarities/simserver.py/SimIndex,,, The method update_mappings from the module gensim/similarities/simserver.py in class SimIndex is extracted from method delete from the module gensim/similarities/simserver.py in class SimIndex ,0780cfdbe7057d17a00acff164f36b700468186f,"(153,144)",138.0,"[157.0, 158.0]",,,,
Add Parameter,__init__,__init__,gensim/models/word2vec.py/LineSentence,1363.0,1363.0,['The parameters [ max_sentence_length ] are added to the method __init__ from the module gensim/models/word2vec.py in class LineSentence'],07da8c54320f91fb5e993d75f03d8b21566b848c,,,,,,,
Rename Method,test_deterministic_seeding,test_deterministic_hs,gensim/test/test_doc2vec.py/TestDoc2VecModel,209.0,209.0,['The method test_deterministic_seeding from the module gensim/test/test_doc2vec.py in class TestDoc2VecModel is renamed to test_deterministic_hs'],0878db89bc0cb45cc9d356b741aee4268a59ab09,,,,,,,
Add Parameter,doc2line,doc2line,gensim/corpora/svmlightcorpus.py/SvmLightCorpus,114.0,115.0,['The parameters [ label ] are added to the method doc2line from the module gensim/corpora/svmlightcorpus.py in class SvmLightCorpus'],08a24882da2b0cba16467aee4a51269b431c8b26,,,,,,,
Add Parameter,save_corpus,save_corpus,gensim/corpora/svmlightcorpus.py/SvmLightCorpus,72.0,72.0,['The parameters [ labels ] are added to the method save_corpus from the module gensim/corpora/svmlightcorpus.py in class SvmLightCorpus'],08a24882da2b0cba16467aee4a51269b431c8b26,,,,,,,
Add Parameter,grouper,grouper,gensim/utils.py,488.0,488.0,['The parameters [ as_numpy ] are added to the method grouper from the module gensim/utils.py'],08a346d9b8608fed2c3dcd4d5de20f56764ecb08,,,,,,,
Change/Rename Parameter,note_doctag,note_doctag,gensim/models/doc2vec.py/DocvecsArray,256.0,277.0,['The parameters [ sentence_no sentence_length ] of the method note_doctag from the module gensim/models/doc2vec.py in class DocvecsArray are changed/renamed to [document_no document_length]'],09a30b3c7f0e5c702affb0faf5e2f5d28d6bbe44,,,,,,,
Add Parameter,__init__,__init__,gensim/models/doc2vec.py/Doc2Vec,438.0,459.0,['The parameters [ comment ] are added to the method __init__ from the module gensim/models/doc2vec.py in class Doc2Vec'],09a30b3c7f0e5c702affb0faf5e2f5d28d6bbe44,,,,,,,
Change/Rename Parameter,_vocab_from,_vocab_from,gensim/models/doc2vec.py/Doc2Vec,523.0,545.0,['The parameters [ sentences ] of the method _vocab_from from the module gensim/models/doc2vec.py in class Doc2Vec are changed/renamed to [documents]'],09a30b3c7f0e5c702affb0faf5e2f5d28d6bbe44,,,,,,,
Rename Class,TaggedLineSentence,TaggedLineDocument,gensim/models/doc2vec.py,,, class TaggedLineSentence was renamed to class TaggedLineDocument ,09a30b3c7f0e5c702affb0faf5e2f5d28d6bbe44,,,,,,,
Remove Parameter,__init__,__init__,gensim/similarities/termsim.py/SparseTermSimilarityMatrix,474.0,471.0,['The parameters [ positive_definite ] of the method __init__ from the module gensim/similarities/termsim.py in class SparseTermSimilarityMatrix is/are removed'],09b7e9485f94c5044e0a478e1d42d331ee0503f4,,,,,,,
Rename Method,wordNormalizer,normalizeWord,sources.py/ArticleSource,61.0,61.0,['The method wordNormalizer from the module sources.py in class ArticleSource is renamed to normalizeWord'],0a12a78d6aef20f06f73de8e284fd4a5e4824135,,,,,,,
Rename Method,wordNormalizer,normalizeWord,sources.py/DmlSource,138.0,138.0,['The method wordNormalizer from the module sources.py in class DmlSource is renamed to normalizeWord'],0a12a78d6aef20f06f73de8e284fd4a5e4824135,,,,,,,
Remove Parameter,doc2bow,doc2bow,src/gensim/corpora/dictionary.py/Dictionary,112.0,106.0,['The parameters [ normalizeWord ] of the method doc2bow from the module src/gensim/corpora/dictionary.py in class Dictionary is/are removed'],0a7e7aa5a1434381d6c20390e21b2725a735fbb8,,,,,,,
Remove Parameter,fromDocuments,fromDocuments,src/gensim/corpora/dictionary.py/Dictionary,84.0,82.0,['The parameters [ normalizeWord ] of the method fromDocuments from the module src/gensim/corpora/dictionary.py in class Dictionary is/are removed'],0a7e7aa5a1434381d6c20390e21b2725a735fbb8,,,,,,,
Remove Parameter,__init__,__init__,gensim/models/doc2vec.py/Doc2Vec,286.0,295.0,['The parameters [ train_lbls ] of the method __init__ from the module gensim/models/doc2vec.py in class Doc2Vec is/are removed'],0a8bff56698c3f5a6669684cfeb5d752b348f1aa,,,,,,,
