Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,predict,predict,keras_segmentation/predict.py,126.0,126.0,['The parameters [ colors ] are added to the method predict from the module keras_segmentation/predict.py'],03b564af99ea8c65ff1de120557cdb5c47fe43ee,,,
Add Parameter,_build_pspnet,_build_pspnet,keras_segmentation/models/_pspnet_2.py,259.0,259.0,['The parameters [ channels ] are added to the method _build_pspnet from the module keras_segmentation/models/_pspnet_2.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,vanilla_encoder,vanilla_encoder,keras_segmentation/models/basic_models.py,8.0,8.0,['The parameters [ channels ] are added to the method vanilla_encoder from the module keras_segmentation/models/basic_models.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,fcn_32,fcn_32,keras_segmentation/models/fcn.py,96.0,96.0,['The parameters [ channels ] are added to the method fcn_32 from the module keras_segmentation/models/fcn.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,fcn_32_mobilenet,fcn_32_mobilenet,keras_segmentation/models/fcn.py,157.0,157.0,['The parameters [ channels ] are added to the method fcn_32_mobilenet from the module keras_segmentation/models/fcn.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,fcn_32_resnet50,fcn_32_resnet50,keras_segmentation/models/fcn.py,143.0,143.0,['The parameters [ channels ] are added to the method fcn_32_resnet50 from the module keras_segmentation/models/fcn.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,fcn_32_vgg,fcn_32_vgg,keras_segmentation/models/fcn.py,129.0,129.0,['The parameters [ channels ] are added to the method fcn_32_vgg from the module keras_segmentation/models/fcn.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,fcn_8,fcn_8,keras_segmentation/models/fcn.py,51.0,51.0,['The parameters [ channels ] are added to the method fcn_8 from the module keras_segmentation/models/fcn.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,fcn_8_mobilenet,fcn_8_mobilenet,keras_segmentation/models/fcn.py,150.0,150.0,['The parameters [ channels ] are added to the method fcn_8_mobilenet from the module keras_segmentation/models/fcn.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,fcn_8_resnet50,fcn_8_resnet50,keras_segmentation/models/fcn.py,136.0,136.0,['The parameters [ channels ] are added to the method fcn_8_resnet50 from the module keras_segmentation/models/fcn.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,fcn_8_vgg,fcn_8_vgg,keras_segmentation/models/fcn.py,122.0,122.0,['The parameters [ channels ] are added to the method fcn_8_vgg from the module keras_segmentation/models/fcn.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,get_mobilenet_encoder,get_mobilenet_encoder,keras_segmentation/models/mobilenet.py,59.0,59.0,['The parameters [ channels ] are added to the method get_mobilenet_encoder from the module keras_segmentation/models/mobilenet.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,_pspnet,_pspnet,keras_segmentation/models/pspnet.py,45.0,45.0,['The parameters [ channels ] are added to the method _pspnet from the module keras_segmentation/models/pspnet.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,pspnet,pspnet,keras_segmentation/models/pspnet.py,77.0,77.0,['The parameters [ channels ] are added to the method pspnet from the module keras_segmentation/models/pspnet.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,pspnet_101,pspnet_101,keras_segmentation/models/pspnet.py,114.0,114.0,['The parameters [ channels ] are added to the method pspnet_101 from the module keras_segmentation/models/pspnet.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
Add Parameter,pspnet_50,pspnet_50,keras_segmentation/models/pspnet.py,101.0,101.0,['The parameters [ channels ] are added to the method pspnet_50 from the module keras_segmentation/models/pspnet.py'],0892b44d7489b492f4bc860a70d3059d11d6eba9,,,
