Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,__init__,__init__,recognition/arcface_paddle/dataloader/common_dataset.py/CommonDataset,27.0,28.0,['The parameters [ is_bin ] are added to the method __init__ from the module recognition/arcface_paddle/dataloader/common_dataset.py in class CommonDataset'],011c279197a8cb6bba49561c3214c90d992c0c26,,,
Add Parameter,get_fc1,get_fc1,recognition/symbol/symbol_utils.py,29.0,29.0,['The parameters [ input_channel ] are added to the method get_fc1 from the module recognition/symbol/symbol_utils.py'],03bd1ad28809ebe30eb329791ea7e235891d2055,,,
Add Parameter,test,test,src/eval/verification.py,188.0,204.0,['The parameters [ nfolds ] are added to the method test from the module src/eval/verification.py'],07f6547b2d2b55c513c27737bdfde12ca9dc0558,,,
Remove Parameter,resnet,resnet,src/symbols/fresnet.py,88.0,88.0,['The parameters [ image_shape ] of the method resnet from the module src/symbols/fresnet.py is/are removed'],08ba6fe3620ac055d3d9c47700c7e2ced20805cc,,,
Add Parameter,__init__,__init__,src/train_age.py/AccMetric,45.0,51.0,['The parameters [ pred_idx name ] are added to the method __init__ from the module src/train_age.py in class AccMetric'],0a4d3737309780305167c893f73df5b2f3700893,,,
Remove Parameter,get_softmax,get_softmax,src/train_age.py,120.0,150.0,['The parameters [ num_classes ] of the method get_softmax from the module src/train_age.py is/are removed'],0a4d3737309780305167c893f73df5b2f3700893,,,
Add Parameter,__init__,__init__,SSH/ssh_detector.py/SSHDetector,16.0,16.0,['The parameters [ test_mode ] are added to the method __init__ from the module SSH/ssh_detector.py in class SSHDetector'],0c651845fc6853d2213195638eccf87adc381610,,,
Add Parameter,detect,detect,SSH/ssh_detector.py/SSHDetector,67.0,57.0,['The parameters [ scales ] are added to the method detect from the module SSH/ssh_detector.py in class SSHDetector'],0c651845fc6853d2213195638eccf87adc381610,,,
Add Parameter,get_symbol,get_symbol,src/train_triplet.py,98.0,97.0,['The parameters [ sym_embedding ] are added to the method get_symbol from the module src/train_triplet.py'],0ca2144224cf232f2967d58751c908814743555f,,,
Add Parameter,__init__,__init__,src/train_age.py/AccMetric,45.0,51.0,['The parameters [ pred_idx name ] are added to the method __init__ from the module src/train_age.py in class AccMetric'],0f3846d09be16b998eb8d3f7694ff1fb4c541b8e,,,
Remove Parameter,get_softmax,get_softmax,src/train_age.py,120.0,150.0,['The parameters [ num_classes ] of the method get_softmax from the module src/train_age.py is/are removed'],0f3846d09be16b998eb8d3f7694ff1fb4c541b8e,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,58.0,58.0,['The parameters [ limit ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],1265cc8210f3bbb64545127b57c38f2086d80142,,,
Add Parameter,Act,Act,src/symbols/fresnet.py,37.0,38.0,['The parameters [ act_type ] are added to the method Act from the module src/symbols/fresnet.py'],133cde94a82e8f5abd709c9e8b3cef733c5804af,,,
Add Parameter,__init__,__init__,alignment/data.py/FaceSegIter,88.0,22.0,['The parameters [ exf ] are added to the method __init__ from the module alignment/data.py in class FaceSegIter'],1399df2342774f9130ed676fd991d63411d3b6b5,,,
Remove Parameter,get_symbol,get_symbol,src/symbols/fresnet.py,366.0,397.0,['The parameters [ conv_workspace ] of the method get_symbol from the module src/symbols/fresnet.py is/are removed'],14788f2b41b6afe70e372eff08291a1f208336d1,,,
Remove Parameter,residual_unit_v1,residual_unit_v1,src/symbols/fresnet.py,46.0,46.0,['The parameters [ use_se bn_mom workspace memonger ] of the method residual_unit_v1 from the module src/symbols/fresnet.py is/are removed'],14788f2b41b6afe70e372eff08291a1f208336d1,,,
Remove Parameter,residual_unit_v2,residual_unit_v2,src/symbols/fresnet.py,129.0,134.0,['The parameters [ use_se bn_mom workspace memonger ] of the method residual_unit_v2 from the module src/symbols/fresnet.py is/are removed'],14788f2b41b6afe70e372eff08291a1f208336d1,,,
Remove Parameter,residual_unit_v3,residual_unit_v3,src/symbols/fresnet.py,208.0,218.0,['The parameters [ use_se bn_mom workspace memonger ] of the method residual_unit_v3 from the module src/symbols/fresnet.py is/are removed'],14788f2b41b6afe70e372eff08291a1f208336d1,,,
Remove Parameter,resnet,resnet,src/symbols/fresnet.py,296.0,318.0,['The parameters [ use_se bn_mom workspace memonger ] of the method resnet from the module src/symbols/fresnet.py is/are removed'],14788f2b41b6afe70e372eff08291a1f208336d1,,,
Add Parameter,__init__,__init__,detection/scrfd/mmdet/datasets/pipelines/transforms.py/PhotoMetricDistortion,1053.0,1056.0,['The parameters [ gray_prob ] are added to the method __init__ from the module detection/scrfd/mmdet/datasets/pipelines/transforms.py in class PhotoMetricDistortion'],1df6b6bfe842ed8f66dc5b4bad8ed6f4123bfbc4,,,
Remove Parameter,get_symbol,get_symbol,src/symbols/fresnet.py,219.0,353.0,['The parameters [ dtype ] of the method get_symbol from the module src/symbols/fresnet.py is/are removed'],1e11bed20697fa148169185f65ded7ad5bc8a0c8,,,
Remove Parameter,resnet,resnet,src/symbols/fresnet.py,161.0,296.0,['The parameters [ dtype ] of the method resnet from the module src/symbols/fresnet.py is/are removed'],1e11bed20697fa148169185f65ded7ad5bc8a0c8,,,
Add Parameter,get_dataset_common,get_dataset_common,src/common/face_image.py,137.0,137.0,['The parameters [ min_images ] are added to the method get_dataset_common from the module src/common/face_image.py'],202a8ef371f32aa859745a12f013566b22179397,,,
Change/Rename Parameter,get_out,get_out,RetinaFace/rcnn/symbol/symbol_common.py,319.0,327.0,['The parameters [ shared_vars ] of the method get_out from the module RetinaFace/rcnn/symbol/symbol_common.py are changed/renamed to [gt_boxes]'],24af8c5e2730c0f2d4c6cc6357a6528f4b529431,,,
Add Parameter,get_feature,get_feature,src/gen_megaface.py,50.0,50.0,['The parameters [ use_mean ] are added to the method get_feature from the module src/gen_megaface.py'],25285d73ffb2652319b027b072c13b1aace32a1a,,,
Rename Method,Conv,_Conv,src/marginalnet.py,6.0,6.0,['The method Conv from the module src/marginalnet.py is renamed to _Conv'],25285d73ffb2652319b027b072c13b1aace32a1a,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,58.0,58.0,['The parameters [ c2c_mode ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],2a1bae5d0b094a43954601d5d75241b57ac824eb,,,
Change/Rename Parameter,set_reference_images,set_reference_images,reconstruction/ostec/core/perceptual_model.py/PerceptualModel,235.0,236.0,['The parameters [ landmarks ] of the method set_reference_images from the module reconstruction/ostec/core/perceptual_model.py in class PerceptualModel are changed/renamed to [heatmaps]'],2a8b181d4ddfc542d0784b8ea7341f09500ff299,,,
Change/Rename Parameter,run_projection,run_projection,reconstruction/ostec/core/projection_handler.py/Projection_Handler,79.0,79.0,['The parameters [ landmarks ] of the method run_projection from the module reconstruction/ostec/core/projection_handler.py in class Projection_Handler are changed/renamed to [heatmaps]'],2a8b181d4ddfc542d0784b8ea7341f09500ff299,,,
Add Parameter,get_tmesh,get_tmesh,reconstruction/ostec/core/operator.py/Operator,263.0,265.0,['The parameters [ face_mask ] are added to the method get_tmesh from the module reconstruction/ostec/core/operator.py in class Operator'],2e5d23ee0e7fc1fdd7ad2e615fd651655aeb0f5b,,,
Add Parameter,run,run,reconstruction/ostec/core/operator.py/Operator,405.0,412.0,['The parameters [ face_mask ] are added to the method run from the module reconstruction/ostec/core/operator.py in class Operator'],2e5d23ee0e7fc1fdd7ad2e615fd651655aeb0f5b,,,
Add Parameter,get_fc1,get_fc1,recognition/symbol/symbol_utils.py,29.0,29.0,['The parameters [ input_channel ] are added to the method get_fc1 from the module recognition/symbol/symbol_utils.py'],2e75cd4df13a3fc494a1de02a718d7adb4b617ec,,,
Add Parameter,__init__,__init__,recognition/arcface_torch/utils/utils_callbacks.py/CallBackLogging,60.0,60.0,['The parameters [ start_step ] are added to the method __init__ from the module recognition/arcface_torch/utils/utils_callbacks.py in class CallBackLogging'],2ee0f53bdf829f5c286ad18d895ee504e0e889f6,,,
Add Parameter,__init__,__init__,recognition/arcface_torch/utils/utils_callbacks.py/CallBackVerification,16.0,16.0,['The parameters [ wandb_logger ] are added to the method __init__ from the module recognition/arcface_torch/utils/utils_callbacks.py in class CallBackVerification'],2f64881ad1694c1e6eefec78b2e5d91acd10fd56,,,
Remove Parameter,main,main,recognition/partial_fc/pytorch/partial_fc.py,45.0,45.0,['The parameters [ world_size init_method ] of the method main from the module recognition/partial_fc/pytorch/partial_fc.py is/are removed'],30215a216c3f17477fd0b94d6264a91bfaf255ab,,,
Add Parameter,get_image,get_image,python-package/insightface/data/image.py,9.0,9.0,['The parameters [ use_cache ] are added to the method get_image from the module python-package/insightface/data/image.py'],35d034b1f52f888f22836fd0bb60d9644529844e,,,
Add Parameter,__call__,__call__,recognition/arcface_torch/utils/utils_callbacks.py/CallBackLogging,64.0,64.0,['The parameters [ learning_rate ] are added to the method __call__ from the module recognition/arcface_torch/utils/utils_callbacks.py in class CallBackLogging'],3d42efa397acb970a558c2d5fd750a12ef2917ef,,,
Remove Parameter,init_logging,init_logging,recognition/arcface_torch/utils/utils_logging.py,30.0,30.0,['The parameters [ log_root ] of the method init_logging from the module recognition/arcface_torch/utils/utils_logging.py is/are removed'],3d42efa397acb970a558c2d5fd750a12ef2917ef,,,
Add Parameter,get_fc1,get_fc1,src/symbols/symbol_utils.py,5.0,5.0,['The parameters [ num_classes ] are added to the method get_fc1 from the module src/symbols/symbol_utils.py'],3d56fac1eed3b5184b7b947a66b0c8d80cd5bf8b,,,
Add Parameter,detect_face_limited,detect_face_limited,deploy/mtcnn_detector.py/MtcnnDetector,393.0,393.0,['The parameters [ det_type ] are added to the method detect_face_limited from the module deploy/mtcnn_detector.py in class MtcnnDetector'],3ea20ad8e59e204f6fe22a75a54f665aedfa1660,,,
Remove Parameter,__init__,__init__,RetinaFaceAntiCov/retinaface_cov.py/RetinaFaceCoV,18.0,18.0,['The parameters [ decay4 vote ] of the method __init__ from the module RetinaFaceAntiCov/retinaface_cov.py in class RetinaFaceCoV is/are removed'],410d0172bac577b1fd1c1b433d286bcad16a49b0,,,
Rename Method,bbox_vote,vote,RetinaFaceAntiCov/retinaface_cov.py/RetinaFaceCoV,594.0,592.0,['The method bbox_vote from the module RetinaFaceAntiCov/retinaface_cov.py in class RetinaFaceCoV is renamed to vote'],410d0172bac577b1fd1c1b433d286bcad16a49b0,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,32.0,32.0,['The parameters [ data_extra ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],4694583d01a6963354860d3233052b5cc2a90d1e,,,
Add Parameter,test,test,src/eval/verification.py,187.0,187.0,['The parameters [ data_extra ] are added to the method test from the module src/eval/verification.py'],4694583d01a6963354860d3233052b5cc2a90d1e,,,
Add Parameter,test,test,src/eval/verification.py,188.0,204.0,['The parameters [ nfolds ] are added to the method test from the module src/eval/verification.py'],4dfae3699ff77791d6202a4861253656983b7f4f,,,
Add Parameter,__init__,__init__,src/image_iter.py/FaceImageIter,31.0,31.0,['The parameters [ images_filter ] are added to the method __init__ from the module src/image_iter.py in class FaceImageIter'],4e9e18d316aa201b374a1739e457f1e7937f31f7,,,
Add Parameter,__init__,__init__,src/train_age.py/AccMetric,53.0,53.0,['The parameters [ label_idx ] are added to the method __init__ from the module src/train_age.py in class AccMetric'],4f0f201be9897fd8fcbd0b3a63d0208a6dc86551,,,
Extract Method,resnet,Act,src/symbols/fresnet.py,,, The method Act from the module src/symbols/fresnet.py is extracted from method resnet from the module src/symbols/fresnet.py ,5269efb57cd7943509351885f75efa7affc52015,"(88,100)",37.0,[121.0]
Add Parameter,Act,Act,src/symbols/fresnet.py,37.0,38.0,['The parameters [ act_type ] are added to the method Act from the module src/symbols/fresnet.py'],5923f5e07def613f86ed597750c7f314329f1682,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,27.0,27.0,['The parameters [ triplet_params ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],5950a6ca992c4806783c5bbb30499a74f9f67015,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,28.0,56.0,['The parameters [ coco_mode ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],5a8f70c0fb41d86b8756782aa656b0718e55e50f,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,28.0,56.0,['The parameters [ coco_mode ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],5b65a9a028ec6cb79f69fc3b6ed09ffb99eb511d,,,
Remove Parameter,resnet,resnet,src/symbols/fresnet.py,88.0,88.0,['The parameters [ image_shape ] of the method resnet from the module src/symbols/fresnet.py is/are removed'],5e8700d303944f2ecd9f410c22ef51035d2b601c,,,
Extract Method,forward,forard_impl,recognition/arcface_torch/backbones/iresnet.py/IBasicBlock,,, The method forard_impl from the module recognition/arcface_torch/backbones/iresnet.py in class IBasicBlock is extracted from method forward from the module recognition/arcface_torch/backbones/iresnet.py in class IBasicBlock ,5ef98047542b18d911cef1e10c6c02273c4adff3,"(46,60)",47.0,"[47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0]"
Add Parameter,get_mbf,get_mbf,recognition/arcface_torch/backbones/mobilefacenet.py,129.0,143.0,['The parameters [ blocks scale ] are added to the method get_mbf from the module recognition/arcface_torch/backbones/mobilefacenet.py'],5ef98047542b18d911cef1e10c6c02273c4adff3,,,
Add Parameter,get_dataset_common,get_dataset_common,src/common/face_image.py,137.0,137.0,['The parameters [ min_images ] are added to the method get_dataset_common from the module src/common/face_image.py'],64f8ef15bced15bb661f4b7d53bb9e21f47a9143,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,32.0,32.0,['The parameters [ data_extra ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],680e1813000d23f5e8af8fd26c40652fbdeddd76,,,
Add Parameter,test,test,src/eval/verification.py,187.0,187.0,['The parameters [ data_extra ] are added to the method test from the module src/eval/verification.py'],680e1813000d23f5e8af8fd26c40652fbdeddd76,,,
Add Parameter,get_fc1,get_fc1,src/symbols/symbol_utils.py,5.0,5.0,['The parameters [ num_classes ] are added to the method get_fc1 from the module src/symbols/symbol_utils.py'],6d03415fe14caa14b51436396ab612d6f2582ecd,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,56.0,56.0,['The parameters [ c2c_threshold output_c2c ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],6e7eb3fca8e0afd6ffa46a783c1f60dc7e559c2a,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,32.0,32.0,['The parameters [ ctx_num images_per_identity ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],6f93b2f7b2ad44b95a8b9879bcfe8c68cea55c1c,,,
Remove Parameter,get,get,python-package/insightface/app/face_analysis.py/FaceAnalysis,43.0,61.0,['The parameters [ det_thresh det_scale ] of the method get from the module python-package/insightface/app/face_analysis.py in class FaceAnalysis is/are removed'],6fce7ddaf0e03ed0cc2c9ff562a8d07659a62683,,,
Rename Method,get_gender,get_ga,deploy/face_model.py/FaceModel,111.0,97.0,['The method get_gender from the module deploy/face_model.py in class FaceModel is renamed to get_ga'],71767069542036ac2533b914aaf76159e6254cc4,,,
Rename Method,forward,get_feat,python-package/insightface/model_zoo/arcface_onnx.py/ArcFaceONNX,85.0,77.0,['The method forward from the module python-package/insightface/model_zoo/arcface_onnx.py in class ArcFaceONNX is renamed to get_feat'],72847c059dc66773e700c3ae45b07e8c6a96ee3a,,,
Remove Parameter,get_model,get_model,recognition/arcface_oneflow/backbones/__init__.py,5.0,4.0,['The parameters [ input_blob cfg ] of the method get_model from the module recognition/arcface_oneflow/backbones/__init__.py is/are removed'],7770ca74f65b9b72fc3c6a39139fbf2a91143031,,,
Add Parameter,test,test,recognition/arcface_oneflow/eval/verification.py,224.0,228.0,['The parameters [ is_consistent ] are added to the method test from the module recognition/arcface_oneflow/eval/verification.py'],7770ca74f65b9b72fc3c6a39139fbf2a91143031,,,
Add Parameter,__init__,__init__,recognition/arcface_oneflow/utils/utils_callbacks.py/CallBackVerification,14.0,13.0,['The parameters [ rank is_consistent ] are added to the method __init__ from the module recognition/arcface_oneflow/utils/utils_callbacks.py in class CallBackVerification'],7770ca74f65b9b72fc3c6a39139fbf2a91143031,,,
Add Parameter,__init__,__init__,recognition/arcface_oneflow/utils/utils_callbacks.py/CallBackLogging,58.0,88.0,['The parameters [ rank ] are added to the method __init__ from the module recognition/arcface_oneflow/utils/utils_callbacks.py in class CallBackLogging'],7770ca74f65b9b72fc3c6a39139fbf2a91143031,,,
Add Parameter,init_logging,init_logging,recognition/arcface_oneflow/utils/utils_logging.py,30.0,30.0,['The parameters [ rank ] are added to the method init_logging from the module recognition/arcface_oneflow/utils/utils_logging.py'],7770ca74f65b9b72fc3c6a39139fbf2a91143031,,,
Change/Rename Parameter,detect,detect,detection/scrfd/tools/scrfd.py/SCRFD,225.0,195.0,['The parameters [ threshold ] of the method detect from the module detection/scrfd/tools/scrfd.py in class SCRFD are changed/renamed to [thresh]'],78e5f148a98085d3036e6a258322db9bf7a2efe2,,,
Change/Rename Parameter,forward,forward,detection/scrfd/tools/scrfd.py/SCRFD,164.0,134.0,['The parameters [ threshold ] of the method forward from the module detection/scrfd/tools/scrfd.py in class SCRFD are changed/renamed to [thresh]'],78e5f148a98085d3036e6a258322db9bf7a2efe2,,,
Remove Parameter,get_symbol,get_symbol,src/symbols/fresnet.py,366.0,397.0,['The parameters [ conv_workspace ] of the method get_symbol from the module src/symbols/fresnet.py is/are removed'],78eef4f314c45e02f96dbe102d552904a480d824,,,
Remove Parameter,residual_unit_v1,residual_unit_v1,src/symbols/fresnet.py,46.0,46.0,['The parameters [ use_se bn_mom workspace memonger ] of the method residual_unit_v1 from the module src/symbols/fresnet.py is/are removed'],78eef4f314c45e02f96dbe102d552904a480d824,,,
Remove Parameter,residual_unit_v2,residual_unit_v2,src/symbols/fresnet.py,129.0,134.0,['The parameters [ use_se bn_mom workspace memonger ] of the method residual_unit_v2 from the module src/symbols/fresnet.py is/are removed'],78eef4f314c45e02f96dbe102d552904a480d824,,,
Remove Parameter,residual_unit_v3,residual_unit_v3,src/symbols/fresnet.py,208.0,218.0,['The parameters [ use_se bn_mom workspace memonger ] of the method residual_unit_v3 from the module src/symbols/fresnet.py is/are removed'],78eef4f314c45e02f96dbe102d552904a480d824,,,
Remove Parameter,resnet,resnet,src/symbols/fresnet.py,296.0,318.0,['The parameters [ use_se bn_mom workspace memonger ] of the method resnet from the module src/symbols/fresnet.py is/are removed'],78eef4f314c45e02f96dbe102d552904a480d824,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,58.0,58.0,['The parameters [ limit ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],7dcc4b235ad94681f260fea4f521b247aa890725,,,
Add Parameter,get_dataloader,get_dataloader,recognition/arcface_torch/dataset.py,16.0,19.0,['The parameters [ seed num_workers ] are added to the method get_dataloader from the module recognition/arcface_torch/dataset.py'],81dde230843d877f36849f9c86d5ab10dcf4127f,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,27.0,27.0,['The parameters [ triplet_params ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],81fd8595368c0c8bc0581a5b6c1c0164bb1376a7,,,
Add Parameter,__init__,__init__,challenges/iccv21-mfr/onnx_helper.py/ArcFaceORT,15.0,16.0,['The parameters [ cpu ] are added to the method __init__ from the module challenges/iccv21-mfr/onnx_helper.py in class ArcFaceORT'],882125e8a2f560f2b254dfc9350cb1ad57f102bf,,,
Add Parameter,__init__,__init__,recognition/arcface_torch/onnx_helper.py/ArcFaceORT,14.0,16.0,['The parameters [ cpu ] are added to the method __init__ from the module recognition/arcface_torch/onnx_helper.py in class ArcFaceORT'],882125e8a2f560f2b254dfc9350cb1ad57f102bf,,,
Add Parameter,check,check,recognition/arcface_torch/onnx_helper.py/ArcFaceORT,17.0,21.0,['The parameters [ track ] are added to the method check from the module recognition/arcface_torch/onnx_helper.py in class ArcFaceORT'],882125e8a2f560f2b254dfc9350cb1ad57f102bf,,,
Add Parameter,detect_face,detect_face,deploy/mtcnn_detector.py/MtcnnDetector,189.0,303.0,['The parameters [ det_type ] are added to the method detect_face from the module deploy/mtcnn_detector.py in class MtcnnDetector'],895ee7e3ae81efda22f8a4c3c9a1022915b9aff7,,,
Remove Parameter,get_symbol,get_symbol,src/symbols/fresnet.py,219.0,353.0,['The parameters [ dtype ] of the method get_symbol from the module src/symbols/fresnet.py is/are removed'],8bb3213d013ce770799969c1651ab7de1a1cc89d,,,
Remove Parameter,resnet,resnet,src/symbols/fresnet.py,161.0,296.0,['The parameters [ dtype ] of the method resnet from the module src/symbols/fresnet.py is/are removed'],8bb3213d013ce770799969c1651ab7de1a1cc89d,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,58.0,58.0,['The parameters [ cutoff ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],8eb0c552796d5417e222546f6753a20a94d34cf1,,,
Change/Rename Parameter,get_out,get_out,RetinaFace/rcnn/symbol/symbol_common.py,319.0,327.0,['The parameters [ shared_vars ] of the method get_out from the module RetinaFace/rcnn/symbol/symbol_common.py are changed/renamed to [gt_boxes]'],8f61e58847f3d70094e6f8622dd335d03d0c8242,,,
Remove Parameter,__init__,__init__,recognition/arcface_torch/backbones/mobilefacenet.py/MobileFaceNet,89.0,89.0,['The parameters [ scale ] of the method __init__ from the module recognition/arcface_torch/backbones/mobilefacenet.py in class MobileFaceNet is/are removed'],90d2546fdf3602d69e42ad3aa92bb13dee3abaf2,,,
Add Parameter,__init__,__init__,src/image_iter.py/FaceImageIter,29.0,31.0,['The parameters [ color_jittering ] are added to the method __init__ from the module src/image_iter.py in class FaceImageIter'],943f7688584a937d06fb53f1b71cb6a2529e3365,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,32.0,27.0,['The parameters [ hard_mining mx_model ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],9f10cae67d48f70a41f85414d9ac151c441ad92b,,,
Add Parameter,detect_face,detect_face,deploy/mtcnn_detector.py/MtcnnDetector,189.0,303.0,['The parameters [ det_type ] are added to the method detect_face from the module deploy/mtcnn_detector.py in class MtcnnDetector'],a97ba7f947bd5b19c52efbaf79b22143c52e10a7,,,
Add Parameter,convert_onnx,convert_onnx,recognition/arcface_torch/torch2onnx.py,6.0,6.0,['The parameters [ simplify ] are added to the method convert_onnx from the module recognition/arcface_torch/torch2onnx.py'],b129ae9cb338e45debeffae96856b4df4281e8a2,,,
Rename Method,get_gender,get_ga,deploy/face_model.py/FaceModel,111.0,97.0,['The method get_gender from the module deploy/face_model.py in class FaceModel is renamed to get_ga'],b229a76581554c47b38e99250be2ca01cd043453,,,
Rename Class,ArcFaceOp,ArcfaceOp,recognition/arcface_paddle/deploy/pdserving/web_service.py,,, class ArcFaceOp was renamed to class ArcfaceOp ,b71faf8d430b480b2363319e0baba075ea70de7c,,,
Rename Class,ArcFaceService,ArcfaceService,recognition/arcface_paddle/deploy/pdserving/web_service.py,,, class ArcFaceService was renamed to class ArcfaceService ,b71faf8d430b480b2363319e0baba075ea70de7c,,,
Add Parameter,get_symbol_embedding,get_symbol_embedding,recognition/ArcFace/train_parall.py,70.0,114.0,['The parameters [ embedding ] are added to the method get_symbol_embedding from the module recognition/ArcFace/train_parall.py'],b774d6a1b7c66655f07cc59ce98007ff2c19a11d,,,
Rename Class,AgeMetric,MAEMetric,src/train_age.py,,, class AgeMetric was renamed to class MAEMetric ,b822dd34ae4b19e92af3067c7356dfabfe706b59,,,
Add Parameter,download_onnx,download_onnx,python-package/insightface/utils/storage.py,32.0,32.0,['The parameters [ download_zip ] are added to the method download_onnx from the module python-package/insightface/utils/storage.py'],bbbb45c460b1d45e1e6838cdd8872f38e6ee2bde,,,
Add Parameter,test,test,src/eval/verification.py,188.0,188.0,['The parameters [ label_shape ] are added to the method test from the module src/eval/verification.py'],bd7fcc92300a210921f33f55fbdbd07e4ac44401,,,
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,32.0,32.0,['The parameters [ ctx_num images_per_identity ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],bd821a5f0f31235db0ca46b066692a5987ebaef9,,,
Extract Method,resnet,Act,src/symbols/fresnet.py,,, The method Act from the module src/symbols/fresnet.py is extracted from method resnet from the module src/symbols/fresnet.py ,c054290b43552e4aef802613a5738802bdb4c792,"(88,100)",37.0,[121.0]
Add Parameter,__init__,__init__,src/data.py/FaceImageIter,58.0,58.0,['The parameters [ cutoff ] are added to the method __init__ from the module src/data.py in class FaceImageIter'],c55d54d0fd37d7fe03c9c1314eb7e4329ea839cb,,,
Remove Parameter,__init__,__init__,RetinaFaceAntiCov/retinaface_cov.py/RetinaFaceCoV,18.0,18.0,['The parameters [ decay4 vote ] of the method __init__ from the module RetinaFaceAntiCov/retinaface_cov.py in class RetinaFaceCoV is/are removed'],c5674d72c1965312d5b7c2c08e19168abfc06542,,,
Rename Method,bbox_vote,vote,RetinaFaceAntiCov/retinaface_cov.py/RetinaFaceCoV,594.0,592.0,['The method bbox_vote from the module RetinaFaceAntiCov/retinaface_cov.py in class RetinaFaceCoV is renamed to vote'],c5674d72c1965312d5b7c2c08e19168abfc06542,,,
Add Parameter,get_symbol,get_symbol,src/train_triplet.py,98.0,97.0,['The parameters [ sym_embedding ] are added to the method get_symbol from the module src/train_triplet.py'],c6302d542500fa688f080c1e7dc7e52172025a33,,,
Add Parameter,test,test,src/eval/verification.py,188.0,188.0,['The parameters [ label_shape ] are added to the method test from the module src/eval/verification.py'],d5cbbe227489d6a7f0cd5c2b381f969a400880c5,,,
