Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,detections,detections,keras_rcnn/layers/_object_detection.py/ObjectDetection,38.0,38.0,['The parameters [ masks ] are added to the method detections from the module keras_rcnn/layers/_object_detection.py in class ObjectDetection'],001eda788e40a6c3dd5453a1c2713d49e3850a03,,,,,,,
Rename Method,compute_loss,compute_classification_loss,keras_rcnn/layers/losses/_rcnn.py/RCNNClassificationLoss,23.0,23.0,['The method compute_loss from the module keras_rcnn/layers/losses/_rcnn.py in class RCNNClassificationLoss is renamed to compute_classification_loss'],010e7b5f4bfeed29635841552067e613ea132503,,,,,,,
Rename Method,compute_loss,compute_regression_loss,keras_rcnn/layers/losses/_rcnn.py/RCNNRegressionLoss,48.0,48.0,['The method compute_loss from the module keras_rcnn/layers/losses/_rcnn.py in class RCNNRegressionLoss is renamed to compute_regression_loss'],010e7b5f4bfeed29635841552067e613ea132503,,,,,,,
Remove Parameter,call,call,keras_rcnn/layers/losses/_rcnn.py/RCNNRegressionLoss,45.0,45.0,['The parameters [ training ] of the method call from the module keras_rcnn/layers/losses/_rcnn.py in class RCNNRegressionLoss is/are removed'],0540ede968e50d1659b9a04a8395c7c9b363b199,,,,,,,
Move Method,sample_rois,sample_rois,,,, method sample_rois from the module keras_rcnn/layers/object_detection/_proposal_target.py was moved to class ProposalTarget of module keras_rcnn/layers/object_detection/_proposal_target.py ,0a0c7d0766d8103a26db1cfd13e20df26ea94c6f,keras_rcnn/layers/object_detection/_proposal_target.py,keras_rcnn/layers/object_detection/_proposal_target.py/ProposalTarget,137.0,80.0,,,
Move Method,no_sample,no_sample,,,, method no_sample from the module keras_rcnn/layers/object_detection/_proposal_target.py was moved to class ProposalTarget of module keras_rcnn/layers/object_detection/_proposal_target.py ,0a0c7d0766d8103a26db1cfd13e20df26ea94c6f,keras_rcnn/layers/object_detection/_proposal_target.py,keras_rcnn/layers/object_detection/_proposal_target.py/ProposalTarget,154.0,99.0,,,
Move Method,sample,sample,,,, method sample from the module keras_rcnn/layers/object_detection/_proposal_target.py was moved to class ProposalTarget of module keras_rcnn/layers/object_detection/_proposal_target.py ,0a0c7d0766d8103a26db1cfd13e20df26ea94c6f,keras_rcnn/layers/object_detection/_proposal_target.py,keras_rcnn/layers/object_detection/_proposal_target.py/ProposalTarget,157.0,102.0,,,
Rename Class,RPN,RCNN,keras_rcnn/models/_rpn.py,,, class RPN was renamed to class RCNN ,0b128b133d74453cd1abab20c8589fc041b09ccd,,,,,,,
Extract Method,_get_batches_of_transformed_samples,_transform_samples,keras_rcnn/preprocessing/_object_detection.py/DictionaryIterator,,, The method _transform_samples from the module keras_rcnn/preprocessing/_object_detection.py in class DictionaryIterator is extracted from method _get_batches_of_transformed_samples from the module keras_rcnn/preprocessing/_object_detection.py in class DictionaryIterator ,11a3bfb458c9b0fc99c3f90349ac6c655c2eb422,,,,,"(141,138)",152.0,"[142.0, 146.0, 150.0, 154.0, 158.0, 163.0, 165.0, 166.0, 167.0, 169.0, 171.0, 173.0, 175.0, 177.0, 179.0, 181.0, 183.0, 184.0, 185.0, 187.0, 189.0, 191.0, 193.0, 195.0, 198.0, 201.0, 203.0, 204.0, 206.0, 208.0, 210.0, 212.0, 214.0, 216.0, 220.0, 224.0, 229.0, 230.0, 231.0, 233.0, 234.0, 236.0, 237.0, 239.0, 240.0, 242.0, 243.0, 245.0, 246.0, 248.0, 249.0, 251.0, 258.0, 259.0, 266.0, 267.0, 274.0, 279.0, 280.0, 284.0, 286.0, 291.0, 297.0, 298.0, 300.0, 301.0, 303.0, 308.0, 310.0, 312.0, 317.0, 319.0, 321.0, 323.0, 325.0, 327.0, 336.0, 347.0, 349.0, 351.0]"
Move Method,test_inside_image,test_inside_image,,,, method test_inside_image from the module keras_rcnn/layers/object_detection/_anchor_target.py was moved to module tests/layers/object_detection/test_anchor_target.py ,17a533c79854cedb7ca26347482e6ec8caada5c6,keras_rcnn/layers/object_detection/_anchor_target.py,tests/layers/object_detection/test_anchor_target.py,289.0,185.0,,,
