Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Change/Rename Parameter,update_membership,update_membership,kmodes.py/FuzzyKModes,518.0,520.0,['The parameters [ treshold ] of the method update_membership from the module kmodes.py in class FuzzyKModes are changed/renamed to [threshold]'],005e5bbf608dd22577fd90113fd1851a77b7f1b0,,,,,,,
Change/Rename Parameter,fit,fit,kmodes/kprototypes.py/KPrototypes,133.0,133.0,['The parameters [ sample_weights ] of the method fit from the module kmodes/kprototypes.py in class KPrototypes are changed/renamed to [sample_weight]'],03b35552d8a0ab936d0a4d7a7a7653f4c6a180d5,,,,,,,
Change/Rename Parameter,_k_prototypes_iter,_k_prototypes_iter,kmodes/kprototypes.py,451.0,452.0,['The parameters [ sample_weights ] of the method _k_prototypes_iter from the module kmodes/kprototypes.py are changed/renamed to [sample_weight]'],03b35552d8a0ab936d0a4d7a7a7653f4c6a180d5,,,,,,,
Change/Rename Parameter,_k_prototypes_single,_k_prototypes_single,kmodes/kprototypes.py,320.0,321.0,['The parameters [ sample_weights ] of the method _k_prototypes_single from the module kmodes/kprototypes.py are changed/renamed to [sample_weight]'],03b35552d8a0ab936d0a4d7a7a7653f4c6a180d5,,,,,,,
Change/Rename Parameter,k_prototypes,k_prototypes,kmodes/kprototypes.py,244.0,245.0,['The parameters [ sample_weights ] of the method k_prototypes from the module kmodes/kprototypes.py are changed/renamed to [sample_weight]'],03b35552d8a0ab936d0a4d7a7a7653f4c6a180d5,,,,,,,
Change/Rename Parameter,labels_cost,labels_cost,kmodes/kprototypes.py,217.0,218.0,['The parameters [ sample_weights ] of the method labels_cost from the module kmodes/kprototypes.py are changed/renamed to [sample_weight]'],03b35552d8a0ab936d0a4d7a7a7653f4c6a180d5,,,,,,,
Rename Method,test_k_prototypes_sample_weights_all_but_one_zero,test_k_prototypes_sample_weight_all_but_one_zero,kmodes/tests/test_kprototypes.py/TestKProtoTypes,355.0,355.0,['The method test_k_prototypes_sample_weights_all_but_one_zero from the module kmodes/tests/test_kprototypes.py in class TestKProtoTypes is renamed to test_k_prototypes_sample_weight_all_but_one_zero'],03b35552d8a0ab936d0a4d7a7a7653f4c6a180d5,,,,,,,
Rename Method,test_k_prototypes_sample_weights_unchanged,test_k_prototypes_sample_weight_unchanged,kmodes/tests/test_kprototypes.py/TestKProtoTypes,367.0,367.0,['The method test_k_prototypes_sample_weights_unchanged from the module kmodes/tests/test_kprototypes.py in class TestKProtoTypes is renamed to test_k_prototypes_sample_weight_unchanged'],03b35552d8a0ab936d0a4d7a7a7653f4c6a180d5,,,,,,,
Rename Method,test_k_prototypes_sample_weight_unchanged,test_k_modes_sample_weight_unchanged,kmodes/tests/test_kmodes.py/TestKModes,555.0,555.0,['The method test_k_prototypes_sample_weight_unchanged from the module kmodes/tests/test_kmodes.py in class TestKModes is renamed to test_k_modes_sample_weight_unchanged'],06ef018336e82d0e30052c2af197ac9ae0dae545,,,,,,,
Add Parameter,_validate_sample_weight,_validate_sample_weight,kmodes/kmodes.py,410.0,411.0,['The parameters [ n_clusters ] are added to the method _validate_sample_weight from the module kmodes/kmodes.py'],092d6571286e20f4bc2eb3aaa469853f925a4cc3,,,,,,,
