Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Change/Rename Parameter,__init__,__init__,mordecai/geoparse.py/Geoparser,21.0,21.0,['The parameters [ num_threads ] of the method __init__ from the module mordecai/geoparse.py in class Geoparser are changed/renamed to [n_threads]'],05572c0e31b9354e6b0fd4435b65b81da1b3f188,,,,,,,
Add Parameter,mitie_context,mitie_context,resources/utilities.py,69.0,76.0,['The parameters [ ner_model ] are added to the method mitie_context from the module resources/utilities.py'],05fd1d0ff0495b18332e2923d2bee88362b4da67,,,,,,,
Add Parameter,talk_to_mitie,talk_to_mitie,resources/utilities.py,37.0,44.0,['The parameters [ ner_model ] are added to the method talk_to_mitie from the module resources/utilities.py'],05fd1d0ff0495b18332e2923d2bee88362b4da67,,,,,,,
Extract Method,post,process,resources/country.py/CountryAPI,,, The method process from the module resources/country.py in class CountryAPI is extracted from method post from the module resources/country.py in class CountryAPI ,1062aa9e3dad138143b712ebfea769f88b4d41f8,"(106,106)",112.0,"[109.0, 110.0, 111.0, 112.0, 113.0, 114.0, 115.0, 116.0, 118.0, 119.0, 121.0, 122.0, 123.0, 124.0, 126.0, 127.0, 128.0, 132.0, 133.0, 135.0, 136.0, 137.0, 139.0, 140.0]",,,,
Rename Method,entry_for_prediction,features_to_matrix,mordecai/geoparse.py/Geoparse,509.0,517.0,['The method entry_for_prediction from the module mordecai/geoparse.py in class Geoparse is renamed to features_to_matrix'],153c50ca5b894e6f98fa4e64b793dc90b0b59674,,,,,,,
Add Parameter,test_cts,test_cts,mordecai/tests/test_mordecai.py,56.0,53.0,['The parameters [ geo ] are added to the method test_cts from the module mordecai/tests/test_mordecai.py'],1613318bc86ca7b3f8e4850fcfba6e159bc2142d,,,,,,,
Add Parameter,test_fm_methods_exist,test_fm_methods_exist,mordecai/tests/test_mordecai.py,21.0,20.0,['The parameters [ geo ] are added to the method test_fm_methods_exist from the module mordecai/tests/test_mordecai.py'],1613318bc86ca7b3f8e4850fcfba6e159bc2142d,,,,,,,
Add Parameter,test_fm_values_exist,test_fm_values_exist,mordecai/tests/test_mordecai.py,14.0,14.0,['The parameters [ geo ] are added to the method test_fm_values_exist from the module mordecai/tests/test_mordecai.py'],1613318bc86ca7b3f8e4850fcfba6e159bc2142d,,,,,,,
Add Parameter,test_vector_picking,test_vector_picking,mordecai/tests/test_mordecai.py,50.0,48.0,['The parameters [ geo ] are added to the method test_vector_picking from the module mordecai/tests/test_mordecai.py'],1613318bc86ca7b3f8e4850fcfba6e159bc2142d,,,,,,,
Add Parameter,get,get,resources/country.py/CountryAPI,98.0,98.0,['The parameters [ self ] are added to the method get from the module resources/country.py in class CountryAPI'],44ad74850b2ecf3f943596da400bd246dae9c368,,,,,,,
