Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Change/Rename Parameter,_cv_kfold_split,_cv_kfold_split,nalaf/structures/data.py/Dataset,561.0,563.0,['The parameters [ l ] of the method _cv_kfold_split from the module nalaf/structures/data.py in class Dataset are changed/renamed to [keys]'],015d5203b7109deae6e2edffd4c939eb934167f6,,,,,,,
Change/Rename Parameter,create_dataset,create_dataset,nalaf/structures/data.py/Dataset,606.0,608.0,['The parameters [ sett ] of the method create_dataset from the module nalaf/structures/data.py in class Dataset are changed/renamed to [keys]'],015d5203b7109deae6e2edffd4c939eb934167f6,,,,,,,
Rename Method,create_set,create_keys_set,nalaf/structures/data.py/Dataset,590.0,592.0,['The method create_set from the module nalaf/structures/data.py in class Dataset is renamed to create_keys_set'],015d5203b7109deae6e2edffd4c939eb934167f6,,,,,,,
Rename Method,read_annjson,__read_annjson,nalaf/utils/annotation_readers.py/AnnJsonAnnotationReader,116.0,116.0,['The method read_annjson from the module nalaf/utils/annotation_readers.py in class AnnJsonAnnotationReader is renamed to __read_annjson'],022fc939b24c8cfe17cb28d3c02f124699407d87,,,,,,,
Rename Method,read_files_hdfs,__read_files_hdfs,nalaf/utils/annotation_readers.py/AnnJsonAnnotationReader,98.0,98.0,['The method read_files_hdfs from the module nalaf/utils/annotation_readers.py in class AnnJsonAnnotationReader is renamed to __read_files_hdfs'],022fc939b24c8cfe17cb28d3c02f124699407d87,,,,,,,
Rename Method,read_files_localfs,__read_files_localfs,nalaf/utils/annotation_readers.py/AnnJsonAnnotationReader,81.0,81.0,['The method read_files_localfs from the module nalaf/utils/annotation_readers.py in class AnnJsonAnnotationReader is renamed to __read_files_localfs'],022fc939b24c8cfe17cb28d3c02f124699407d87,,,,,,,
Add Parameter,train,train,nalaf/learning/crfsuite.py/PyCRFSuite,13.0,13.0,['The parameters [ params ] are added to the method train from the module nalaf/learning/crfsuite.py in class PyCRFSuite'],037078a2e2bcbabd32cd1c935c88b0e93180fb31,,,,,,,
Remove Parameter,__init__,__init__,nalaf/learning/evaluators.py/EntityEvaluator,534.0,535.0,['The parameters [ subclass_analysis ] of the method __init__ from the module nalaf/learning/evaluators.py in class EntityEvaluator is/are removed'],0422c51d438f3101d50e7ded9100bcceef0acf34,,,,,,,
Rename Method,test_DocumentLevelRelationEvaluator_relation_equiv_fun_order_matters,test_DocumentLevelRelationEvaluator_arbitrary_relation_equiv_fun_order_matters,tests/learning/test_evaluators.py/TestMentionLevelEvaluator,428.0,462.0,['The method test_DocumentLevelRelationEvaluator_relation_equiv_fun_order_matters from the module tests/learning/test_evaluators.py in class TestMentionLevelEvaluator is renamed to test_DocumentLevelRelationEvaluator_arbitrary_relation_equiv_fun_order_matters'],0436f9b2716e45082c0488ae4ae639784a6db0ed,,,,,,,
Remove Parameter,format_header,format_header,nalaf/learning/evaluators.py/Evaluation,63.0,62.0,['The parameters [ add_SE ] of the method format_header from the module nalaf/learning/evaluators.py in class Evaluation is/are removed'],0468fef5f99d25779f036acb03b911dc657c0b9f,,,,,,,
