Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Remove Parameter,train,train,nltk/sentiment/sentiment_analyzer.py/SentimentAnalyzer,110.0,98.0,['The parameters [ load_classifier ] of the method train from the module nltk/sentiment/sentiment_analyzer.py in class SentimentAnalyzer is/are removed'],002de51d8de7ef7a973f81b30ffa95b63b2249e6,,,,,,,
Add Parameter,demo_sent140,demo_sent140,nltk/sentiment/sentiment_analyzer.py,205.0,190.0,['The parameters [ classifier_type ] are added to the method demo_sent140 from the module nltk/sentiment/sentiment_analyzer.py'],002de51d8de7ef7a973f81b30ffa95b63b2249e6,,,,,,,
Rename Method,use_tab_file_for_language,custom_lemmas,nltk/corpus/reader/wordnet.py/WordNetCorpusReader,1857.0,1857.0,['The method use_tab_file_for_language from the module nltk/corpus/reader/wordnet.py in class WordNetCorpusReader is renamed to custom_lemmas'],00336a9a48512842d0518c09e834956cadfa1c7b,,,,,,,
Rename Class,Counts,Model4Counts,nltk/align/ibm4.py,,, class Counts was renamed to class Model4Counts ,0033dac99a01e8caef4ee1a06b3a0644c2d21263,,,,,,,
Pull Up Method,prob_of_alignments,prob_of_alignments,,,, method prob_of_alignments from the module nltk/align/ibm4.py in class IBMModel4 was moved to class IBMModel of module nltk/align/ibm_model.py ,0033dac99a01e8caef4ee1a06b3a0644c2d21263,nltk/align/ibm4.py/IBMModel4,nltk/align/ibm_model.py/IBMModel,312.0,316.0,,,
Push Down Method,__init__,__init__,,,, method __init__ from the module nltk/misc/twitterclient.py in class TweetHandler was moved to class TweetWriter of module nltk/misc/twitterclient.py ,00b4a51e78fa4b14472d71b10d94adab6efb41ca,nltk/misc/twitterclient.py/TweetHandler,nltk/misc/twitterclient.py/TweetWriter,82.0,120.0,,,
Push Down Method,timestamped_file,timestamped_file,,,, method timestamped_file from the module nltk/misc/twitterclient.py in class TweetHandler was moved to class TweetWriter of module nltk/misc/twitterclient.py ,00b4a51e78fa4b14472d71b10d94adab6efb41ca,nltk/misc/twitterclient.py/TweetHandler,nltk/misc/twitterclient.py/TweetWriter,93.0,133.0,,,
Rename Method,streamtoscreen_demo,sampletoscreen_demo,nltk/misc/twitterclient.py,287.0,287.0,['The method streamtoscreen_demo from the module nltk/misc/twitterclient.py is renamed to sampletoscreen_demo'],01250bd65224edcafd047a93ae466ba603d6fc64,,,,,,,
Rename Method,make_tree,_make_tree,nltk/parse/stanford.py/StanfordParser,493.0,282.0,['The method make_tree from the module nltk/parse/stanford.py in class StanfordParser is renamed to _make_tree'],01a51bcbcc1adaa13c7416d04179f6bd096ca67e,,,,,,,
Add Parameter,tgrep_nodes,tgrep_nodes,nltk/tgrep.py,522.0,534.0,['The parameters [ search_leaves ] are added to the method tgrep_nodes from the module nltk/tgrep.py'],01d66666d3e1a0f941841d73dd1b5828f27b5f1a,,,,,,,
Rename Method,become,forwardTo,nltk_lite/contrib/featurelite.py/Variable,56.0,78.0,['The method become from the module nltk_lite/contrib/featurelite.py in class Variable is renamed to forwardTo'],01f0bf7d1eba985346e995318ba2197570c90ee8,,,,,,,
Rename Method,_nontrivial_unify,_do_unify,nltk_lite/contrib/featurelite.py,254.0,432.0,['The method _nontrivial_unify from the module nltk_lite/contrib/featurelite.py is renamed to _do_unify'],01f0bf7d1eba985346e995318ba2197570c90ee8,,,,,,,
Change/Rename Parameter,has_value,has_value,nltk_lite/contrib/classifier/nltk_lite_contrib/classifier/attribute.py/Attribute,27.0,18.0,['The parameters [ toTest ] of the method has_value from the module nltk_lite/contrib/classifier/nltk_lite_contrib/classifier/attribute.py in class Attribute are changed/renamed to [to_test]'],024dd74b50206348c5e8c47438a124f2922754c6,,,,,,,
Rename Method,testEquality,test_equality,nltk_lite/contrib/classifier/nltk_lite_contrib/classifier_tests/instancestests.py/InstancesTestCase,21.0,21.0,['The method testEquality from the module nltk_lite/contrib/classifier/nltk_lite_contrib/classifier_tests/instancestests.py in class InstancesTestCase is renamed to test_equality'],024dd74b50206348c5e8c47438a124f2922754c6,,,,,,,
Rename Method,testGoldInstancesAreCreatedFromGoldFiles,test_gold_instances_are_created_from_gold_files,nltk_lite/contrib/classifier/nltk_lite_contrib/classifier_tests/instancestests.py/InstancesTestCase,34.0,34.0,['The method testGoldInstancesAreCreatedFromGoldFiles from the module nltk_lite/contrib/classifier/nltk_lite_contrib/classifier_tests/instancestests.py in class InstancesTestCase is renamed to test_gold_instances_are_created_from_gold_files'],024dd74b50206348c5e8c47438a124f2922754c6,,,,,,,
Rename Method,testGoldInstancesThrowSystemExceptionIfConfusionMatrixIsAskedForBeforeClassification,test_gold_insts_thrws_system_error_if_confusion_matrix_is_invoked_bfore_classification,nltk_lite/contrib/classifier/nltk_lite_contrib/classifier_tests/instancestests.py/InstancesTestCase,39.0,39.0,['The method testGoldInstancesThrowSystemExceptionIfConfusionMatrixIsAskedForBeforeClassification from the module nltk_lite/contrib/classifier/nltk_lite_contrib/classifier_tests/instancestests.py in class InstancesTestCase is renamed to test_gold_insts_thrws_system_error_if_confusion_matrix_is_invoked_bfore_classification'],024dd74b50206348c5e8c47438a124f2922754c6,,,,,,,
