Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,replace_in_answers,replace_in_answers,core/sentence.py,36.0,42.0,['The parameters [ name ] are added to the method replace_in_answers from the module core/sentence.py'],098922011e68065cb190b23bbee00c06b9cbd1b7,,,
Add Parameter,score_answers,score_answers,core/sentence.py,13.0,16.0,['The parameters [ name ] are added to the method score_answers from the module core/sentence.py'],098922011e68065cb190b23bbee00c06b9cbd1b7,,,
Change/Rename Parameter,do_inference,do_inference,inference.py,75.0,75.0,['The parameters [ phrase ] of the method do_inference from the module inference.py are changed/renamed to [infer_data]'],0e2a7f6d85a341959eba41d65019b2566084b406,,,
Remove Parameter,replace_in_answers,replace_in_answers,core/sentence.py,42.0,38.0,['The parameters [ name ] of the method replace_in_answers from the module core/sentence.py is/are removed'],10320e0946dddee6c844eaf1743a6f2777723f2d,,,
Remove Parameter,append_vocab,append_vocab,setup/prepare_data.py,173.0,490.0,['The parameters [ thread ] of the method append_vocab from the module setup/prepare_data.py is/are removed'],10320e0946dddee6c844eaf1743a6f2777723f2d,,,
Rename Method,inference,do_inference,inference.py,64.0,73.0,['The method inference from the module inference.py is renamed to do_inference'],17a2b783b3c45468000f03d92c3de5e4fc956761,,,
Rename Method,start_inference,do_start_inference,inference.py,21.0,24.0,['The method start_inference from the module inference.py is renamed to do_start_inference'],17a2b783b3c45468000f03d92c3de5e4fc956761,,,
Extract Method,inference,get_best_score,inference.py,,, The method get_best_score from the module inference.py is extracted from method inference from the module inference.py ,2a6a32e3ec6be921eef5d4bb4d905a9f22a309c0,"(169,184)",203.0,"[176.0, 177.0, 181.0, 182.0, 183.0, 184.0, 189.0, 190.0, 191.0]"
Add Parameter,do_inference,do_inference,inference.py,82.0,76.0,['The parameters [ sess loaded_infer_model ] are added to the method do_inference from the module inference.py'],4a3c7ac04d2dfad89681099658a1f5c05858ce19,,,
Remove Parameter,process_questions,process_questions,inference.py,225.0,243.0,['The parameters [ include_blacklisted ] of the method process_questions from the module inference.py is/are removed'],609af74349ac3163ab571c27fe80fffa24c4db33,,,
Add Parameter,process_questions,process_questions,inference.py,243.0,239.0,['The parameters [ return_score_modifiers ] are added to the method process_questions from the module inference.py'],8201d88b3bbd8a3d8e92ca462b7c925cb7245eeb,,,
Remove Parameter,write_lines,write_lines,setup/prepare_data.py,146.0,147.0,['The parameters [ last ] of the method write_lines from the module setup/prepare_data.py is/are removed'],c048d218b22f97d4e6e28bbbeab229032b9be3dd,,,
Remove Parameter,score_answers,score_answers,core/sentence.py,14.0,14.0,['The parameters [ name ] of the method score_answers from the module core/sentence.py is/are removed'],d3cdd978918375ee849f520f0e384c7b5274355f,,,
