Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,configure,configure,src/orion/core/worker/experiment.py/Experiment,359.0,361.0,['The parameters [ enable_branching ] are added to the method configure from the module src/orion/core/worker/experiment.py in class Experiment'],004e3b8899927767f2706a5de4389dba8497c321,,,,,,,
Remove Parameter,test_experiment_number_same_list_status,test_experiment_number_same_list_status,tests/functional/commands/test_status_command.py,96.0,96.0,['The parameters [ only_invalidalgo_experiments_db ] of the method test_experiment_number_same_list_status from the module tests/functional/commands/test_status_command.py is/are removed'],007e7fc7f77c16f6b1fa1a91c32ae439ab881f65,,,,,,,
Change/Rename Parameter,__init__,__init__,src/orion/core/io/database/mongodb.py/MongoDB,80.0,80.0,['The parameters [ server_timeout ] of the method __init__ from the module src/orion/core/io/database/mongodb.py in class MongoDB are changed/renamed to [serverSelectionTimeoutMS]'],009e0b084b490457eea9038bd999d6358cdba7e7,,,,,,,
Move Method,train_regressor,train_regressor,,,, method train_regressor from the module src/orion/analysis/lpi.py was moved to module src/orion/analysis/base.py ,0126aa56fee0ee53e3091101eebb2135b45cff64,src/orion/analysis/lpi.py,src/orion/analysis/base.py,31.0,77.0,,,
Move Method,to_numpy,to_numpy,,,, method to_numpy from the module src/orion/analysis/lpi.py was moved to module src/orion/analysis/base.py ,0126aa56fee0ee53e3091101eebb2135b45cff64,src/orion/analysis/lpi.py,src/orion/analysis/base.py,61.0,63.0,,,
Move Method,test_to_numpy,test_to_numpy,,,, method test_to_numpy from the module tests/unittests/analysis/test_lpi.py was moved to module tests/unittests/analysis/test_base.py ,0126aa56fee0ee53e3091101eebb2135b45cff64,tests/unittests/analysis/test_lpi.py,tests/unittests/analysis/test_base.py,63.0,115.0,,,
Remove Parameter,_check_cli_change,_check_cli_change,tests/functional/configuration/test_all_options.py/TestEVCConfig,1003.0,1039.0,['The parameters [ version ] of the method _check_cli_change from the module tests/functional/configuration/test_all_options.py in class TestEVCConfig is/are removed'],02294f2d68f5bf7969b2779d1c5907cc0d526a41,,,,,,,
Remove Parameter,_check_code_change,_check_code_change,tests/functional/configuration/test_all_options.py/TestEVCConfig,1032.0,1066.0,['The parameters [ version ] of the method _check_code_change from the module tests/functional/configuration/test_all_options.py in class TestEVCConfig is/are removed'],02294f2d68f5bf7969b2779d1c5907cc0d526a41,,,,,,,
Remove Parameter,_check_non_monitored_arguments,_check_non_monitored_arguments,tests/functional/configuration/test_all_options.py/TestEVCConfig,1018.0,1055.0,['The parameters [ version ] of the method _check_non_monitored_arguments from the module tests/functional/configuration/test_all_options.py in class TestEVCConfig is/are removed'],02294f2d68f5bf7969b2779d1c5907cc0d526a41,,,,,,,
Remove Parameter,_check_script_config_change,_check_script_config_change,tests/functional/configuration/test_all_options.py/TestEVCConfig,1085.0,1120.0,['The parameters [ version ] of the method _check_script_config_change from the module tests/functional/configuration/test_all_options.py in class TestEVCConfig is/are removed'],02294f2d68f5bf7969b2779d1c5907cc0d526a41,,,,,,,
