Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit
Add Parameter,indefinite_article,indefinite_article,pattern/text/de/inflect.py,87.0,87.0,['The parameters [ gender role ] are added to the method indefinite_article from the module pattern/text/de/inflect.py'],03eb0c5597ab8c9c9955e55edf2db313e8d1020d
Add Parameter,feature_selection,feature_selection,pattern/vector/__init__.py/Model,1393.0,1481.0,['The parameters [ weighted ] are added to the method feature_selection from the module pattern/vector/__init__.py in class Model'],0ae42897c3b4a8012fc546e485f5511a19f6ecb2
Add Parameter,__call__,__call__,pattern/server/__init__.py/RateLimit,504.0,579.0,['The parameters [ ip ] are added to the method __call__ from the module pattern/server/__init__.py in class RateLimit'],0ff41191fce04b653cea4ea65083fa01b253ecbb
Add Parameter,key,key,pattern/server/__init__.py/RateLimit,443.0,505.0,['The parameters [ n ] are added to the method key from the module pattern/server/__init__.py in class RateLimit'],0ff41191fce04b653cea4ea65083fa01b253ecbb
Add Parameter,__init__,__init__,pattern/text/__init__.py/NGrammer,146.0,145.0,['The parameters [ regexp ] are added to the method __init__ from the module pattern/text/__init__.py in class NGrammer'],138fcda7e27245ffb4361e32e4170851d55369b3
Add Parameter,train_topmine_ngrammer,train_topmine_ngrammer,pattern/text/__init__.py,98.0,97.0,['The parameters [ min_word_len regexp stopwords ] are added to the method train_topmine_ngrammer from the module pattern/text/__init__.py'],138fcda7e27245ffb4361e32e4170851d55369b3
Remove Parameter,conjugate,conjugate,pattern/text/en/inflect/__init__.py/Verbs,838.0,875.0,['The parameters [ tense negated parse ] of the method conjugate from the module pattern/text/en/inflect/__init__.py in class Verbs is/are removed'],161136e57ffa224a31eb8f5e05aa9a9a603577bf
Add Parameter,dump,dump,pattern/web/json/__init__.py,122.0,143.0,['The parameters [ use_decimal namedtuple_as_object tuple_as_array ] are added to the method dump from the module pattern/web/json/__init__.py'],23d85c20e7cb5965fbb7b9341a79e09f08114e50
Add Parameter,dumps,dumps,pattern/web/json/__init__.py,184.0,224.0,['The parameters [ use_decimal namedtuple_as_object tuple_as_array ] are added to the method dumps from the module pattern/web/json/__init__.py'],23d85c20e7cb5965fbb7b9341a79e09f08114e50
Add Parameter,load,load,pattern/web/json/__init__.py,243.0,303.0,['The parameters [ object_pairs_hook use_decimal namedtuple_as_object tuple_as_array ] are added to the method load from the module pattern/web/json/__init__.py'],23d85c20e7cb5965fbb7b9341a79e09f08114e50
Add Parameter,loads,loads,pattern/web/json/__init__.py,270.0,360.0,['The parameters [ object_pairs_hook use_decimal ] are added to the method loads from the module pattern/web/json/__init__.py'],23d85c20e7cb5965fbb7b9341a79e09f08114e50
Rename Method,__unicode__,__str__,pattern/text/tree.py/Word,247.0,247.0,['The method __unicode__ from the module pattern/text/tree.py in class Word is renamed to __str__'],2600195a2773a0403965b38c3360c893e96f2744
Rename Method,__unicode__,__str__,pattern/text/tree.py/Chunk,504.0,504.0,['The method __unicode__ from the module pattern/text/tree.py in class Chunk is renamed to __str__'],2600195a2773a0403965b38c3360c893e96f2744
Rename Method,__unicode__,__str__,pattern/text/tree.py/Sentence,1055.0,1055.0,['The method __unicode__ from the module pattern/text/tree.py in class Sentence is renamed to __str__'],2600195a2773a0403965b38c3360c893e96f2744
