Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,38.0,38.0,['The parameters [ dtype ] are added to the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit'],0151d1862ada08bda6b654f78efa33472f85696c,,,
Extract Method,__init__,_switch_to_np_array,pwlf/pwlf.py/PiecewiseLinFit,,, The method _switch_to_np_array from the module pwlf/pwlf.py in class PiecewiseLinFit is extracted from method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit ,03976986ab00cf8f10d15dc2ee8099c99212009e,"(38,37)",230.0,"[194.0, 195.0, 199.0]"
Extract Method,fit_with_breaks_opt,_get_breaks,pwlf/pwlf.py/PiecewiseLinFit,,, The method _get_breaks from the module pwlf/pwlf.py in class PiecewiseLinFit is extracted from method fit_with_breaks_opt from the module pwlf/pwlf.py in class PiecewiseLinFit ,03976986ab00cf8f10d15dc2ee8099c99212009e,"(514,529)",249.0,"[552.0, 553.0]"
Rename Class,test_everything,TestEverything,tests/tests.py,,, class test_everything was renamed to class TestEverything ,09476a84cfb59acfa8d96a0104a01045c5f46ac8,,,
Add Parameter,__init__,__init__,pwlf/pwlftf.py/PiecewiseLinFitTF,38.0,38.0,['The parameters [ fast ] are added to the method __init__ from the module pwlf/pwlftf.py in class PiecewiseLinFitTF'],09a4719e60bddcc0319cb2d3392728b63a51b4c9,,,
Rename Method,evalKnapsack,evaluation,pwlf/ga.py,22.0,23.0,['The method evalKnapsack from the module pwlf/ga.py is renamed to evaluation'],0ec28a7dd26b73fb7269927dbd1aa8d5a4cf1ee8,,,
Add Parameter,genetic_algorithm,genetic_algorithm,pwlf/ga.py,9.0,9.0,['The parameters [ verbose ] are added to the method genetic_algorithm from the module pwlf/ga.py'],0ec28a7dd26b73fb7269927dbd1aa8d5a4cf1ee8,,,
Add Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,38.0,38.0,['The parameters [ degree ] are added to the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit'],140bdcc0266557b1a08fd85cd1e2d1a62e2330bb,,,
Add Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,38.0,38.0,['The parameters [ lapack_driver ] are added to the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit'],3412be8f1764077edc07811c6c4734185875c23e,,,
Extract Method,predict,assemble_regression_matrix,pwlf/pwlf.py/PiecewiseLinFit,,, The method assemble_regression_matrix from the module pwlf/pwlf.py in class PiecewiseLinFit is extracted from method predict from the module pwlf/pwlf.py in class PiecewiseLinFit ,5147ab97807714a53b4ef98e0602961ba769e94c,"(493,531)",176.0,"[585.0, 587.0, 588.0, 590.0, 592.0, 593.0, 598.0, 600.0]"
Add Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,38.0,38.0,['The parameters [ weights ] are added to the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit'],5a8f466860927e8866a8f3abc6244bb5aaa841a1,,,
Add Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,36.0,36.0,['The parameters [ sorted_data ] are added to the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit'],6120a056941145ffebfc5adbd73f3515353f3290,,,
Rename Method,custom_opt_not_supported,test_custom_opt_not_supported,tests/tests.py/TestEverything,503.0,503.0,['The method custom_opt_not_supported from the module tests/tests.py in class TestEverything is renamed to test_custom_opt_not_supported'],62688d56f192fe8825c47b0a3567ac1de17340b7,,,
Rename Method,not_supported_fit_with_breaks_force_points,test_not_supported_fit_with_breaks_force_points,tests/tests.py/TestEverything,490.0,490.0,['The method not_supported_fit_with_breaks_force_points from the module tests/tests.py in class TestEverything is renamed to test_not_supported_fit_with_breaks_force_points'],62688d56f192fe8825c47b0a3567ac1de17340b7,,,
Rename Method,fit_with_breaks,fitWithBreaks,pwlf/pwlf.py/piecewise_lin_fit,490.0,483.0,['The method fit_with_breaks from the module pwlf/pwlf.py in class piecewise_lin_fit is renamed to fitWithBreaks'],64c1a817a0fa8f8213a437db8250a8f51eb129ad,,,
Rename Method,fit_with_breaks_opt,fitWithBreaksOpt,pwlf/pwlf.py/piecewise_lin_fit,618.0,608.0,['The method fit_with_breaks_opt from the module pwlf/pwlf.py in class piecewise_lin_fit is renamed to fitWithBreaksOpt'],64c1a817a0fa8f8213a437db8250a8f51eb129ad,,,
Add Parameter,__init__,__init__,pwlf/pwlf.py/piecewise_lin_fit,37.0,37.0,['The parameters [ disp_res ] are added to the method __init__ from the module pwlf/pwlf.py in class piecewise_lin_fit'],66c02453f4423656b71232d36b0f48fe9f59f8bd,,,
Extract Method,fit_with_breaks_force_points,conlstsq,pwlf/pwlf.py/PiecewiseLinFit,,, The method conlstsq from the module pwlf/pwlf.py in class PiecewiseLinFit is extracted from method fit_with_breaks_force_points from the module pwlf/pwlf.py in class PiecewiseLinFit ,9c254b2b3fd39488a359eeffa07767a042020d04,"(374,374)",1483.0,"[445.0, 446.0, 447.0, 448.0, 449.0, 452.0, 453.0, 454.0, 455.0, 456.0, 461.0, 462.0, 465.0, 467.0, 468.0, 470.0, 472.0, 473.0, 474.0, 476.0, 477.0, 478.0, 479.0, 482.0, 484.0, 487.0, 489.0, 492.0, 496.0, 497.0, 498.0, 502.0, 503.0, 510.0, 511.0, 513.0]"
Add Parameter,predict,predict,pwlf/pwlf.py/PiecewiseLinFit,307.0,313.0,['The parameters [ sorted_data ] are added to the method predict from the module pwlf/pwlf.py in class PiecewiseLinFit'],a9e8f28239a37f4092dbe0febf2be4b5ce2dfd9c,,,
Rename Method,test_legacy_rcond,test_lapack_driver,tests/tests.py/TestEverything,23.0,23.0,['The method test_legacy_rcond from the module tests/tests.py in class TestEverything is renamed to test_lapack_driver'],b714db4f7da4f548a1cda489d9a9587156d9cae2,,,
Add Parameter,fit,fit,pwlf/pwlf.py/PiecewiseLinFit,808.0,808.0,['The parameters [ bounds ] are added to the method fit from the module pwlf/pwlf.py in class PiecewiseLinFit'],b9c9f3ae95016b67fd54b5de1ccb53bb365ec8bc,,,
Add Parameter,fit_guess,fit_guess,pwlf/pwlf.py/PiecewiseLinFit,1137.0,1145.0,['The parameters [ bounds ] are added to the method fit_guess from the module pwlf/pwlf.py in class PiecewiseLinFit'],b9c9f3ae95016b67fd54b5de1ccb53bb365ec8bc,,,
Add Parameter,fitfast,fitfast,pwlf/pwlf.py/PiecewiseLinFit,984.0,988.0,['The parameters [ bounds ] are added to the method fitfast from the module pwlf/pwlf.py in class PiecewiseLinFit'],b9c9f3ae95016b67fd54b5de1ccb53bb365ec8bc,,,
Rename Method,fitWithBreaks,fit_with_breaks,pwlf/pwlf.py/piecewise_lin_fit,474.0,490.0,['The method fitWithBreaks from the module pwlf/pwlf.py in class piecewise_lin_fit is renamed to fit_with_breaks'],bc8930fddee4ab583b3e40e4bca0994e440573ed,,,
