Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,__init__,__init__,pretrainedmodels/utils.py/TransformImage,35.0,35.0,['The parameters [ preserve_aspect_ratio ] are added to the method __init__ from the module pretrainedmodels/utils.py in class TransformImage'],428bae92059180bbbbbc743bc3465db4bf76c724,,,,,,,
Remove Parameter,__init__,__init__,pretrainedmodels/models/resnext_features/resnext101_32x4d_features.py/LambdaBase,8.0,8.0,['The parameters [ fn ] of the method __init__ from the module pretrainedmodels/models/resnext_features/resnext101_32x4d_features.py in class LambdaBase is/are removed'],43d7914a8e829ca7572436de9737d4fdd2d21b8d,,,,,,,
Remove Parameter,__init__,__init__,pretrainedmodels/models/resnext_features/resnext101_64x4d_features.py/LambdaBase,8.0,8.0,['The parameters [ fn ] of the method __init__ from the module pretrainedmodels/models/resnext_features/resnext101_64x4d_features.py in class LambdaBase is/are removed'],43d7914a8e829ca7572436de9737d4fdd2d21b8d,,,,,,,
Extract Method,forward,features,pretrainedmodels/models/cafferesnet.py/ResNet,,, The method features from the module pretrainedmodels/models/cafferesnet.py in class ResNet is extracted from method forward from the module pretrainedmodels/models/cafferesnet.py in class ResNet ,4569821be22e8b0818f6817fa908fb11c5158e85,"(144,162)",144.0,"[145.0, 146.0, 147.0, 148.0, 150.0, 151.0, 152.0, 153.0]",,,,
Extract Method,forward,logits,pretrainedmodels/models/cafferesnet.py/ResNet,,, The method logits from the module pretrainedmodels/models/cafferesnet.py in class ResNet is extracted from method forward from the module pretrainedmodels/models/cafferesnet.py in class ResNet ,4569821be22e8b0818f6817fa908fb11c5158e85,"(144,162)",156.0,"[155.0, 156.0, 157.0]",,,,
Add Parameter,__init__,__init__,pretrainedmodels/models/senet.py/SENet,95.0,209.0,['The parameters [ inplanes input_3x3 downsample_kernel_size downsample_padding ] are added to the method __init__ from the module pretrainedmodels/models/senet.py in class SENet'],81c3741824eb08a1c56d864b54c981947a609b0b,,,,,,,
Extract Method,senet154,initialize_pretrained_model,pretrainedmodels/models/senet.py,,, The method initialize_pretrained_model from the module pretrainedmodels/models/senet.py is extracted from method senet154 from the module pretrainedmodels/models/senet.py ,81c3741824eb08a1c56d864b54c981947a609b0b,"(173,381)",369.0,"[178.0, 181.0, 182.0, 183.0, 184.0, 185.0, 186.0]",,,,
Add Parameter,resnext101_32x4d,resnext101_32x4d,pretrainedmodels/resnext.py,50.0,68.0,['The parameters [ num_classes ] are added to the method resnext101_32x4d from the module pretrainedmodels/resnext.py'],aacc40b4ec5d4d6ba4788526fce30e20a9adb021,,,,,,,
Add Parameter,resnext101_64x4d,resnext101_64x4d,pretrainedmodels/resnext.py,69.0,96.0,['The parameters [ num_classes ] are added to the method resnext101_64x4d from the module pretrainedmodels/resnext.py'],aacc40b4ec5d4d6ba4788526fce30e20a9adb021,,,,,,,
Move Method,forward,forward,,,, method forward from the module pretrainedmodels/nasnet.py in class CellStem1 was moved to class ReductionCell0 of module pretrainedmodels/nasnet.py ,b2074ddf9d8bc2069d66976fea58a52f40238496,,,,pretrainedmodels/nasnet.py/CellStem1,pretrainedmodels/nasnet.py/ReductionCell0,120.0,404.0
Move Method,forward,forward,,,, method forward from the module pretrainedmodels/nasnet.py in class ReductionCell0 was moved to class CellStem1 of module pretrainedmodels/nasnet.py ,b2074ddf9d8bc2069d66976fea58a52f40238496,,,,pretrainedmodels/nasnet.py/ReductionCell0,pretrainedmodels/nasnet.py/CellStem1,301.0,217.0
Rename Method,classif,classifier,pretrainedmodels/bninception.py/BNInception,485.0,484.0,['The method classif from the module pretrainedmodels/bninception.py in class BNInception is renamed to classifier'],dd293186940accd5167d06be2d4929e2c43142fe,,,,,,,
Extract Method,forward,classifier,pretrainedmodels/resnext.py/ResNeXt101_32x4d,,, The method classifier from the module pretrainedmodels/resnext.py in class ResNeXt101_32x4d is extracted from method forward from the module pretrainedmodels/resnext.py in class ResNeXt101_32x4d ,dd293186940accd5167d06be2d4929e2c43142fe,"(46,52)",46.0,"[49.0, 50.0]",,,,
Extract Method,forward,classifier,pretrainedmodels/resnext.py/ResNeXt101_64x4d,,, The method classifier from the module pretrainedmodels/resnext.py in class ResNeXt101_64x4d is extracted from method forward from the module pretrainedmodels/resnext.py in class ResNeXt101_64x4d ,dd293186940accd5167d06be2d4929e2c43142fe,"(62,72)",66.0,"[65.0, 66.0]",,,,
Add Parameter,__init__,__init__,pretrainedmodels/models/nasnet.py/CellStem0,137.0,137.0,['The parameters [ stem_filters num_filters ] are added to the method __init__ from the module pretrainedmodels/models/nasnet.py in class CellStem0'],f78d355675ac55f281bcfcd504e1aeeadd36092a,,,,,,,
Add Parameter,__init__,__init__,pretrainedmodels/models/nasnet.py/CellStem1,186.0,188.0,['The parameters [ stem_filters num_filters ] are added to the method __init__ from the module pretrainedmodels/models/nasnet.py in class CellStem1'],f78d355675ac55f281bcfcd504e1aeeadd36092a,,,,,,,
Add Parameter,__init__,__init__,pretrainedmodels/models/nasnet.py/NASNetALarge,489.0,494.0,['The parameters [ stem_filters penultimate_filters filters_multiplier ] are added to the method __init__ from the module pretrainedmodels/models/nasnet.py in class NASNetALarge'],f78d355675ac55f281bcfcd504e1aeeadd36092a,,,,,,,
