Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit
Add Parameter,__init__,__init__,lib/Word.py/Word,6,6,['The parameters [ lang ] are added to the method __init__ from the module lib/Word.py in class Word'],336b3e0a540a18f7c05cdf4a1990fa05a2f8a182
Add Parameter,load_cmu,load_cmu,dicts/en/english.py,16,18,['The parameters [ config ] are added to the method load_cmu from the module dicts/en/english.py'],3f2ff269f4d749d09602e7194ba57f802b5f649b
Add Parameter,__hardparse,__hardparse,lib/MeterConstraint.py/MeterConstraint,53,53,['The parameters [ parse ] are added to the method __hardparse from the module lib/MeterConstraint.py in class MeterConstraint'],3f2ff269f4d749d09602e7194ba57f802b5f649b
Add Parameter,violationScore,violationScore,lib/MeterConstraint.py/MeterConstraint,31,31,['The parameters [ parse ] are added to the method violationScore from the module lib/MeterConstraint.py in class MeterConstraint'],3f2ff269f4d749d09602e7194ba57f802b5f649b
Add Parameter,parse,parse,lib/Line.py/Line,14,16,['The parameters [ init ] are added to the method parse from the module lib/Line.py in class Line'],401eb8f8d9bfd2acccec20aec003736d770f485d
Add Parameter,__init__,__init__,prosodic/lib/Dictionary.py/Dictionary,20,21,['The parameters [ dir_dicts ] are added to the method __init__ from the module prosodic/lib/Dictionary.py in class Dictionary'],4b349d2507b55f1e9d2dd9875b533973445311a0
Add Parameter,loadDict,loadDict,prosodic/lib/tools.py,345,352,['The parameters [ dir_dicts ] are added to the method loadDict from the module prosodic/lib/tools.py'],4b349d2507b55f1e9d2dd9875b533973445311a0
Add Parameter,__init__,__init__,lib/MeterConstraint.py/MeterConstraint,4,6,['The parameters [ meter ] are added to the method __init__ from the module lib/MeterConstraint.py in class MeterConstraint'],5cd81c7cf06c9b3c962ff37c87648a4845ea1c9a
Change/Rename Parameter,parse_ent_mp,parse_ent_mp,lib/Meter.py,501,501,['The parameters [ xxx_todo_changeme ] of the method parse_ent_mp from the module lib/Meter.py are changed/renamed to [input_tuple]'],5f5a996fa7839d56501dc248d630e7d31387cc98
Add Parameter,iparse,iparse,lib/Text.py/Text,459,459,['The parameters [ toprint ] are added to the method iparse from the module lib/Text.py in class Text'],5f5a996fa7839d56501dc248d630e7d31387cc98
Add Parameter,__init__,__init__,prosodic/lib/Dictionary.py/Dictionary,20,20,['The parameters [ config ] are added to the method __init__ from the module prosodic/lib/Dictionary.py in class Dictionary'],6dd83032586c523c42fbd0e3eb3c438e96355f1b
Add Parameter,loadConfigPy,loadConfigPy,prosodic/lib/tools.py,82,100,['The parameters [ dir_prosodic_home ] are added to the method loadConfigPy from the module prosodic/lib/tools.py'],6dd83032586c523c42fbd0e3eb3c438e96355f1b
Add Parameter,loadDict,loadDict,prosodic/lib/tools.py,303,345,['The parameters [ config ] are added to the method loadDict from the module prosodic/lib/tools.py'],6dd83032586c523c42fbd0e3eb3c438e96355f1b
Add Parameter,configure_home_dir,configure_home_dir,setup.py,40,60,['The parameters [ force ] are added to the method configure_home_dir from the module setup.py'],6dd83032586c523c42fbd0e3eb3c438e96355f1b
Add Parameter,__init__,__init__,lib/MeterSlot.py/MeterSlot,3,3,['The parameters [ meter ] are added to the method __init__ from the module lib/MeterSlot.py in class MeterSlot'],7be0856113d88976a7a1a9031c67294b9753564c
Add Parameter,get,get,dicts/fi/finnish.py,79,79,['The parameters [ config ] are added to the method get from the module dicts/fi/finnish.py'],95a55cb12a25107ed478fa0aed7dac023efcbc61
Add Parameter,__init__,__init__,lib/Meter.py/Meter,24,50,['The parameters [ name ] are added to the method __init__ from the module lib/Meter.py in class Meter'],95a55cb12a25107ed478fa0aed7dac023efcbc61
Add Parameter,__hardparse,__hardparse,lib/MeterConstraint.py/MeterConstraint,40,53,['The parameters [ pos_i slot_i num_slots all_positions ] are added to the method __hardparse from the module lib/MeterConstraint.py in class MeterConstraint'],95a55cb12a25107ed478fa0aed7dac023efcbc61
Add Parameter,violationScore,violationScore,lib/MeterConstraint.py/MeterConstraint,27,31,['The parameters [ pos_i slot_i num_slots all_positions ] are added to the method violationScore from the module lib/MeterConstraint.py in class MeterConstraint'],95a55cb12a25107ed478fa0aed7dac023efcbc61
Add Parameter,__init__,__init__,lib/MeterSlot.py/MeterSlot,3,3,['The parameters [ i_word i_syll_in_word ] are added to the method __init__ from the module lib/MeterSlot.py in class MeterSlot'],95a55cb12a25107ed478fa0aed7dac023efcbc61
Remove Parameter,__init__,__init__,lib/Line.py/Line,4,4,['The parameters [ linestr lang ] of the method __init__ from the module lib/Line.py in class Line is/are removed'],a4b49c8c563c8f1e7d10d706d88fcefea72ce035
Add Parameter,__init__,__init__,lib/MeterSlot.py/MeterSlot,3,3,['The parameters [ wordtoken ] are added to the method __init__ from the module lib/MeterSlot.py in class MeterSlot'],add8a2d9577250c580d915b52927a7a7e593bd13
Add Parameter,posString,posString,lib/Parse.py/Parse,193,193,['The parameters [ viols ] are added to the method posString from the module lib/Parse.py in class Parse'],b417a1332851f1c287c4e6828f0ef251703bbf54
Add Parameter,str_meter,str_meter,lib/Parse.py/Parse,74,74,['The parameters [ word_sep ] are added to the method str_meter from the module lib/Parse.py in class Parse'],b6886467753a49b9cbb2edf6667b847aaecc3600
Add Parameter,__init__,__init__,lib/Line.py/Line,4,4,['The parameters [ linestr lang ] are added to the method __init__ from the module lib/Line.py in class Line'],d06e67695fc63b76e3339a981d34bf07a1985439
Add Parameter,__init__,__init__,lib/MeterConstraint.py/MeterConstraint,6,6,['The parameters [ mu sigma ] are added to the method __init__ from the module lib/MeterConstraint.py in class MeterConstraint'],f6d0876e115be82ff1ce484bb81124f465a488ef
