Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Rename Method,_generate_items,generate_items,pycorrector/corrector.py/Corrector,155.0,155.0,['The method _generate_items from the module pycorrector/corrector.py in class Corrector is renamed to generate_items'],022da83ab794d9f9ddc40caef67b0578e7e3f513,,,,,,,
Add Parameter,__init__,__init__,pycorrector/corrector.py/Corrector,76.0,79.0,['The parameters [ custom_confusion_path ] are added to the method __init__ from the module pycorrector/corrector.py in class Corrector'],02838f211b4ee5428c38a73abbdb3a4bd940b27b,,,,,,,
Add Parameter,__init__,__init__,pycorrector/detector.py/Detector,32.0,21.0,['The parameters [ custom_confusion_path ] are added to the method __init__ from the module pycorrector/detector.py in class Detector'],02838f211b4ee5428c38a73abbdb3a4bd940b27b,,,,,,,
Remove Parameter,_get_maybe_error_index,_get_maybe_error_index,pycorrector/detector.py/Detector,80.0,112.0,['The parameters [ self ] of the method _get_maybe_error_index from the module pycorrector/detector.py in class Detector is/are removed'],02838f211b4ee5428c38a73abbdb3a4bd940b27b,,,,,,,
Move Method,load_word_freq_dict,load_word_freq_dict,,,, method load_word_freq_dict from the module pycorrector/detector.py was moved to class Detector of module pycorrector/detector.py ,02838f211b4ee5428c38a73abbdb3a4bd940b27b,pycorrector/detector.py,pycorrector/detector.py/Detector,20.0,46.0,,,
Rename Method,_get_maybe_error_index_by_rnnlm,_get_maybe_error_index_by_stddev,pycorrector/detector.py/Detector,289.0,295.0,['The method _get_maybe_error_index_by_rnnlm from the module pycorrector/detector.py in class Detector is renamed to _get_maybe_error_index_by_stddev'],05e9f4724f17b53a5d53c227a34d3507dc187948,,,,,,,
Extract Method,detect,_detect_short,pycorrector/detector.py/Detector,,, The method _detect_short from the module pycorrector/detector.py in class Detector is extracted from method detect from the module pycorrector/detector.py in class Detector ,05e9f4724f17b53a5d53c227a34d3507dc187948,,,,,"(323,329)",350.0,"[337.0, 338.0, 339.0, 341.0, 343.0, 345.0, 347.0, 349.0, 350.0, 352.0, 355.0, 357.0, 359.0, 360.0, 361.0, 362.0, 363.0, 364.0, 365.0, 366.0, 367.0, 370.0, 371.0, 372.0, 373.0, 374.0, 377.0, 379.0, 380.0, 382.0, 385.0, 388.0, 393.0]"
Add Parameter,segment,segment,pycorrector/text_util.py,116.0,116.0,['The parameters [ cut_type ] are added to the method segment from the module pycorrector/text_util.py'],10f2385acaf6b7da3374be08f6fd3b3961e0d039,,,,,,,
Rename Method,load_custom_confusion_dict,_get_custom_confusion_dict,pycorrector/detector.py/Detector,61.0,61.0,['The method load_custom_confusion_dict from the module pycorrector/detector.py in class Detector is renamed to _get_custom_confusion_dict'],1beefb5d42aee73e0e68ff3f3590457e3317bc84,,,,,,,
Remove Parameter,__init__,__init__,pycorrector/seq2seq/corpus_reader.py/FCEReader,17.0,17.0,['The parameters [ config dataset_copies ] of the method __init__ from the module pycorrector/seq2seq/corpus_reader.py in class FCEReader is/are removed'],1d1d5f4aa6bfa79cef906a51c04c2d151e2c725c,,,,,,,
Remove Parameter,__init__,__init__,pycorrector/seq2seq/corpus_reader.py/CGEDReader,71.0,57.0,['The parameters [ config dataset_copies ] of the method __init__ from the module pycorrector/seq2seq/corpus_reader.py in class CGEDReader is/are removed'],1d1d5f4aa6bfa79cef906a51c04c2d151e2c725c,,,,,,,
Remove Parameter,__init__,__init__,pycorrector/seq2seq/reader.py/Reader,17.0,17.0,['The parameters [ config dataset_copies ] of the method __init__ from the module pycorrector/seq2seq/reader.py in class Reader is/are removed'],1d1d5f4aa6bfa79cef906a51c04c2d151e2c725c,,,,,,,
Change/Rename Parameter,__init__,__init__,pycorrector/seq2seq_attention/seq2seq_attn_model.py/Seq2seqAttnModel,69.0,69.0,['The parameters [ use_gpu ] of the method __init__ from the module pycorrector/seq2seq_attention/seq2seq_attn_model.py in class Seq2seqAttnModel are changed/renamed to [gpu_id]'],1dc6b4a43639b764e1555dc311570ebcefc72ca0,,,,,,,
Change/Rename Parameter,train,train,pycorrector/seq2seq_attention/train.py,44.0,44.0,['The parameters [ use_gpu ] of the method train from the module pycorrector/seq2seq_attention/train.py are changed/renamed to [gpu_id]'],1dc6b4a43639b764e1555dc311570ebcefc72ca0,,,,,,,
Add Parameter,__init__,__init__,pycorrector/seq2seq_attention/seq2seq_attn_model.py/Seq2seqAttnModel,69.0,69.0,['The parameters [ use_gpu dropout ] are added to the method __init__ from the module pycorrector/seq2seq_attention/seq2seq_attn_model.py in class Seq2seqAttnModel'],1ecae384227cc61869a959f20c0a8080fd8ae11f,,,,,,,
Add Parameter,train,train,pycorrector/seq2seq_attention/train.py,44.0,44.0,['The parameters [ use_gpu ] are added to the method train from the module pycorrector/seq2seq_attention/train.py'],1ecae384227cc61869a959f20c0a8080fd8ae11f,,,,,,,
