Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit
Add Parameter,compose,compose,qiskit/aqua/operators/evolutions/evolved_op.py/EvolvedOp,89,96,['The parameters [ permutation front ] are added to the method compose from the module qiskit/aqua/operators/evolutions/evolved_op.py in class EvolvedOp'],008337ec340946f5ef5872a60b5975096a6ec9bc
Add Parameter,compose,compose,qiskit/aqua/operators/list_ops/composed_op.py/ComposedOp,85,85,['The parameters [ permutation front ] are added to the method compose from the module qiskit/aqua/operators/list_ops/composed_op.py in class ComposedOp'],008337ec340946f5ef5872a60b5975096a6ec9bc
Add Parameter,compose,compose,qiskit/aqua/operators/primitive_ops/circuit_op.py/CircuitOp,111,111,['The parameters [ permutation front ] are added to the method compose from the module qiskit/aqua/operators/primitive_ops/circuit_op.py in class CircuitOp'],008337ec340946f5ef5872a60b5975096a6ec9bc
Add Parameter,compose,compose,qiskit/aqua/operators/primitive_ops/pauli_op.py/PauliOp,98,125,['The parameters [ permutation front ] are added to the method compose from the module qiskit/aqua/operators/primitive_ops/pauli_op.py in class PauliOp'],008337ec340946f5ef5872a60b5975096a6ec9bc
Add Parameter,compose,compose,qiskit/aqua/operators/primitive_ops/primitive_op.py/PrimitiveOp,156,156,['The parameters [ permutation front ] are added to the method compose from the module qiskit/aqua/operators/primitive_ops/primitive_op.py in class PrimitiveOp'],008337ec340946f5ef5872a60b5975096a6ec9bc
Add Parameter,compose,compose,qiskit/aqua/operators/state_fns/circuit_state_fn.py/CircuitStateFn,140,140,['The parameters [ permutation front ] are added to the method compose from the module qiskit/aqua/operators/state_fns/circuit_state_fn.py in class CircuitStateFn'],008337ec340946f5ef5872a60b5975096a6ec9bc
Add Parameter,compose,compose,qiskit/aqua/operators/state_fns/state_fn.py/StateFn,229,240,['The parameters [ permutation front ] are added to the method compose from the module qiskit/aqua/operators/state_fns/state_fn.py in class StateFn'],008337ec340946f5ef5872a60b5975096a6ec9bc
Rename Method,get_aqua_logging,get_qiskit_aqua_logging,qiskit/aqua/_logging.py,103,103,['The method get_aqua_logging from the module qiskit/aqua/_logging.py is renamed to get_qiskit_aqua_logging'],00e53f34dd539521e343ee7432a188ba07da2657
Rename Method,set_aqua_logging,set_qiskit_aqua_logging,qiskit/aqua/_logging.py,113,113,['The method set_aqua_logging from the module qiskit/aqua/_logging.py is renamed to set_qiskit_aqua_logging'],00e53f34dd539521e343ee7432a188ba07da2657
Change/Rename Parameter,__init__,__init__,qiskit/aqua/algorithms/single_sample/amplitude_estimation/iqae.py/IterativeAmplitudeEstimation,69,69,['The parameters [ method ] of the method __init__ from the module qiskit/aqua/algorithms/single_sample/amplitude_estimation/iqae.py in class IterativeAmplitudeEstimation are changed/renamed to [ci_method]'],010d8afad8cfda6ae2d911022375018c5b71929b
Remove Parameter,__init__,__init__,qiskit_aqua/algorithms/many_sample/qsvm/_qsvm_kernel_multiclass.py/_QSVM_Kernel_Multiclass,35,35,['The parameters [ feature_map training_dataset test_dataset datapoints ] of the method __init__ from the module qiskit_aqua/algorithms/many_sample/qsvm/_qsvm_kernel_multiclass.py in class _QSVM_Kernel_Multiclass is/are removed'],010d90c73495785890e3f0f03f7164789bfe5fd3
Rename Method,test_vqe_direct,test_vqe_2_iqpe,test/test_vqe2iqpe.py/TestVQE2IQPE,46,46,['The method test_vqe_direct from the module test/test_vqe2iqpe.py in class TestVQE2IQPE is renamed to test_vqe_2_iqpe'],0260adb50075503dac2daaf920e3eb2965bae3c8
Add Parameter,_compile_wrapper,_compile_wrapper,qiskit/aqua/utils/run_circuits.py,157,158,['The parameters [ backend_config ] are added to the method _compile_wrapper from the module qiskit/aqua/utils/run_circuits.py'],02e3b545cd2a3d2eec6c43d2048ffd90d2f4b09b
Add Parameter,_reuse_shared_circuits,_reuse_shared_circuits,qiskit/aqua/utils/run_circuits.py,79,80,['The parameters [ backend_config ] are added to the method _reuse_shared_circuits from the module qiskit/aqua/utils/run_circuits.py'],02e3b545cd2a3d2eec6c43d2048ffd90d2f4b09b
Add Parameter,compile_and_run_circuits,compile_and_run_circuits,qiskit/aqua/utils/run_circuits.py,164,165,['The parameters [ backend_config ] are added to the method compile_and_run_circuits from the module qiskit/aqua/utils/run_circuits.py'],02e3b545cd2a3d2eec6c43d2048ffd90d2f4b09b
Add Parameter,init_args,init_args,qpe_hhl/qpe.py/QPE,159,168,['The parameters [ use_basis_gates ] are added to the method init_args from the module qpe_hhl/qpe.py in class QPE'],02e8715d707447b1ce23031124919b72c802c6e8
Add Parameter,construct_qpe_circuit,construct_qpe_circuit,hhl_demo/hhl_func.py/HHLDEMO,60,58,['The parameters [ negative_evals ] are added to the method construct_qpe_circuit from the module hhl_demo/hhl_func.py in class HHLDEMO'],02ec1c27c44b413911e15fcb3df7cb132522282d
Change/Rename Parameter,init_args,init_args,qiskit_aqua/svm/svm_variational.py/SVM_Variational,92,92,['The parameters [ feature_extraction ] of the method init_args from the module qiskit_aqua/svm/svm_variational.py in class SVM_Variational are changed/renamed to [feature_map]'],03b6a2964616aee3b23ffe723f04ebd0de69d9f5
Remove Parameter,interpret_measurement,interpret_measurement,qiskit_aqua/components/oracles/oracle.py/Oracle,81,81,['The parameters [ measurement ] of the method interpret_measurement from the module qiskit_aqua/components/oracles/oracle.py in class Oracle is/are removed'],03bc0667d348c6dd4a804ac7ab3f33e146e24e34
Add Parameter,__init__,__init__,qiskit_acqua/ui/run/_qconfigview.py/MainPage,49,64,['The parameters [ preferences ] are added to the method __init__ from the module qiskit_acqua/ui/run/_qconfigview.py in class MainPage'],042343533918f8298a66f0f498cdc9a2630f003b
Add Parameter,apply,apply,qiskit_acqua/ui/run/_qconfigview.py/MainPage,137,155,['The parameters [ preferences ] are added to the method apply from the module qiskit_acqua/ui/run/_qconfigview.py in class MainPage'],042343533918f8298a66f0f498cdc9a2630f003b
Add Parameter,__init__,__init__,qiskit_acqua/ui/run/_qconfigview.py/ProxiesPage,156,174,['The parameters [ preferences ] are added to the method __init__ from the module qiskit_acqua/ui/run/_qconfigview.py in class ProxiesPage'],042343533918f8298a66f0f498cdc9a2630f003b
