Refactoring Type,Original,Updated,Location,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Description,Commit,Original Line,Updated Line,Old Location,New Location,Old Method Line,New Method Line
Extract Method,_ts_expand,_number_of_segments_per_series,seglearn/pipe.py/SegPipe,"(131,272)",267.0,[134.0], The method _number_of_segments_per_series from the module seglearn/pipe.py in class SegPipe is extracted from method _ts_expand from the module seglearn/pipe.py in class SegPipe ,1b342820a03d7b822ad8e40b9248256235086dda,,,,,,
Remove Parameter,split,split,seglearn/split.py/TemporalKFold,,,,['The parameters [ groups ] of the method split from the module seglearn/split.py in class TemporalKFold is/are removed'],1b342820a03d7b822ad8e40b9248256235086dda,15.0,46.0,,,,
Rename Method,_check_ts_input,_check_ts,seglearn/util.py,,,,['The method _check_ts_input from the module seglearn/util.py is renamed to _check_ts'],1b342820a03d7b822ad8e40b9248256235086dda,11.0,28.0,,,,
Change/Rename Parameter,__getitem__,__getitem__,seglearn/base.py/TS_Data,,,,['The parameters [ indices ] of the method __getitem__ from the module seglearn/base.py in class TS_Data are changed/renamed to [slice]'],1ce346328e661c35c9a945470e43505134d1d99a,37.0,38.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentX,,,,['The parameters [ shuffle random_state ] are added to the method __init__ from the module seglearn/transform.py in class SegmentX'],1d1b36f28b5c8fc06eacec6e7a4342987e7da03b,78.0,103.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentXY,,,,['The parameters [ shuffle random_state ] are added to the method __init__ from the module seglearn/transform.py in class SegmentXY'],1d1b36f28b5c8fc06eacec6e7a4342987e7da03b,192.0,230.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentXYForecast,,,,['The parameters [ shuffle random_state ] are added to the method __init__ from the module seglearn/transform.py in class SegmentXYForecast'],1d1b36f28b5c8fc06eacec6e7a4342987e7da03b,307.0,351.0,,,,
Rename Method,test_stacked_interp,test_interp_long_to_wide,seglearn/tests/test_transform.py,,,,['The method test_stacked_interp from the module seglearn/tests/test_transform.py is renamed to test_interp_long_to_wide'],1e563456bf33dde53e2b0b79ef9d321cccac4744,406.0,406.0,,,,
Rename Class,StackedInterp,InterpLongToWide,seglearn/transform.py,,,, class StackedInterp was renamed to class InterpLongToWide ,1e563456bf33dde53e2b0b79ef9d321cccac4744,,,,,,
Remove Parameter,__init__,__init__,seglearn/transform.py/SegmentXY,,,,['The parameters [ forecast ] of the method __init__ from the module seglearn/transform.py in class SegmentXY is/are removed'],2a5e684a855ba1870750e94296a89efd12d8b65b,170.0,172.0,,,,
Remove Parameter,__init__,__init__,seglearn/base.py/TS_Data,,,,['The parameters [ sample_period ] of the method __init__ from the module seglearn/base.py in class TS_Data is/are removed'],3d06fdc6864909ff84d715139be4ff281772ffbb,22.0,25.0,,,,
Rename Method,max,maxf,seglearn/feature_functions.py,,,,['The method max from the module seglearn/feature_functions.py is renamed to maxf'],3d06fdc6864909ff84d715139be4ff281772ffbb,80.0,91.0,,,,
Rename Method,min,minf,seglearn/feature_functions.py,,,,['The method min from the module seglearn/feature_functions.py is renamed to minf'],3d06fdc6864909ff84d715139be4ff281772ffbb,76.0,86.0,,,,
Rename Method,all,every,seglearn/transform.py,,,,['The method all from the module seglearn/transform.py is renamed to every'],3d06fdc6864909ff84d715139be4ff281772ffbb,59.0,62.0,,,,
Add Parameter,_check_X_y,_check_X_y,seglearn/transform.py/PickableSampler,,,,['The parameters [ self ] are added to the method _check_X_y from the module seglearn/transform.py in class PickableSampler'],42811c97c394839b55994d951d427a00115e85e1,1582.0,1582.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentX,,,,['The parameters [ order ] are added to the method __init__ from the module seglearn/transform.py in class SegmentX'],49b928feeb7eef441bae7f8d92de3d95bd830af1,118.0,121.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentXY,,,,['The parameters [ order ] are added to the method __init__ from the module seglearn/transform.py in class SegmentXY'],49b928feeb7eef441bae7f8d92de3d95bd830af1,251.0,262.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentXYForecast,,,,['The parameters [ order ] are added to the method __init__ from the module seglearn/transform.py in class SegmentXYForecast'],49b928feeb7eef441bae7f8d92de3d95bd830af1,380.0,401.0,,,,
Add Parameter,sliding_tensor,sliding_tensor,seglearn/transform.py,,,,['The parameters [ order ] are added to the method sliding_tensor from the module seglearn/transform.py'],49b928feeb7eef441bae7f8d92de3d95bd830af1,514.0,542.0,,,,
Change/Rename Parameter,_number_of_segments_per_series,_number_of_segments_per_series,seglearn/pipe.py/SegPipe,,,,['The parameters [ X ] of the method _number_of_segments_per_series from the module seglearn/pipe.py in class SegPipe are changed/renamed to [Xt]'],56fb5f5ecfdaafc57b67db632004c6272f068e2e,267.0,263.0,,,,
