Refactoring Type,Original,Updated,Old Location,New Location,Old Method Line,New Method Line,Description,Commit,Location,Original Line,Updated Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Move Method,get_inbound_layers,get_inbound_layers,snntoolbox/model_libs/keras_input_lib.py,snntoolbox/core/util.py,195.0,560.0, method get_inbound_layers from the module snntoolbox/model_libs/keras_input_lib.py was moved to module snntoolbox/core/util.py ,05d1aa5d36d9a45d8aa077d0614f968fcb94905f,,,,,,
Add Parameter,__build_single_fm,__build_single_fm,,,,,['The parameters [ bias ] are added to the method __build_single_fm from the module snntoolbox/target_simulators/MegaSim_target_sim.py in class Module_conv'],06a4007c493c5067a5ff9fdbbe28920b528067a8,snntoolbox/target_simulators/MegaSim_target_sim.py/Module_conv,649.0,667.0,,,
Remove Parameter,run,run,,,,,['The parameters [ s ] of the method run from the module snntoolbox/target_simulators/INI_target_sim.py in class SNN is/are removed'],0757f876061536d1a8fca338e83d58ec5aaa93bc,snntoolbox/target_simulators/INI_target_sim.py/SNN,155.0,156.0,,,
Add Parameter,__init__,__init__,,,,,['The parameters [ s ] are added to the method __init__ from the module snntoolbox/target_simulators/MegaSim_target_sim.py in class SNN'],0757f876061536d1a8fca338e83d58ec5aaa93bc,snntoolbox/target_simulators/MegaSim_target_sim.py/SNN,1142.0,1142.0,,,
Add Parameter,collect_plot_results,collect_plot_results,,,,,['The parameters [ log_dir ] are added to the method collect_plot_results from the module snntoolbox/target_simulators/MegaSim_target_sim.py in class SNN'],0757f876061536d1a8fca338e83d58ec5aaa93bc,snntoolbox/target_simulators/MegaSim_target_sim.py/SNN,1887.0,1896.0,,,
Remove Parameter,run,run,,,,,['The parameters [ s ] of the method run from the module snntoolbox/target_simulators/brian2_target_sim.py in class SNN is/are removed'],0757f876061536d1a8fca338e83d58ec5aaa93bc,snntoolbox/target_simulators/brian2_target_sim.py/SNN,272.0,273.0,,,
Change/Rename Parameter,run,run,,,,,['The parameters [ s ] of the method run from the module snntoolbox/target_simulators/pyNN_target_sim.py in class SNN are changed/renamed to [kwargs]'],0757f876061536d1a8fca338e83d58ec5aaa93bc,snntoolbox/target_simulators/pyNN_target_sim.py/SNN,274.0,275.0,,,
Add Parameter,partition_layer,partition_layer,,,,,['The parameters [ compartment_kwargs ] are added to the method partition_layer from the module snntoolbox/simulation/target_simulators/loihi_target_sim.py in class SNN'],0ae5c803fbc5ced24430896f34a305e88c30510f,snntoolbox/simulation/target_simulators/loihi_target_sim.py/SNN,250.0,260.0,,,
Add Parameter,connect,connect,,,,,['The parameters [ scale ] are added to the method connect from the module snntoolbox/simulation/target_simulators/loihi_target_sim.py in class SNN'],0f0d71ad016ee8388f00afac2fbf12d1b9deb758,snntoolbox/simulation/target_simulators/loihi_target_sim.py/SNN,302.0,315.0,,,
Add Parameter,to_integer,to_integer,,,,,['The parameters [ max_val ] are added to the method to_integer from the module snntoolbox/utils/utils.py'],0f0d71ad016ee8388f00afac2fbf12d1b9deb758,snntoolbox/utils/utils.py,395.0,395.0,,,
Add Parameter,maxpool_exp,maxpool_exp,,,,,['The parameters [ pool_type ] are added to the method maxpool_exp from the module snntoolbox/tests/pooling_exps.py'],101519911c9104ebbfbfb18c1fbbee9fbb733026,snntoolbox/tests/pooling_exps.py,21.0,21.0,,,
Remove Parameter,normalize_weights,normalize_weights,,,,,['The parameters [ path ] of the method normalize_weights from the module snntoolbox/core/normalization.py is/are removed'],104d77214ea82e4811432b5b075e66c4c9223862,snntoolbox/core/normalization.py,37.0,26.0,,,
Remove Parameter,get_activations,get_activations,,,,,['The parameters [ model ] of the method get_activations from the module snntoolbox/core/util.py is/are removed'],104d77214ea82e4811432b5b075e66c4c9223862,snntoolbox/core/util.py,344.0,378.0,,,
Remove Parameter,get_activations_batch,get_activations_batch,,,,,['The parameters [ model ] of the method get_activations_batch from the module snntoolbox/core/util.py is/are removed'],104d77214ea82e4811432b5b075e66c4c9223862,snntoolbox/core/util.py,351.0,384.0,,,
Extract Method,get_activations,get_sample_activity_from_batch,,,,, The method get_sample_activity_from_batch from the module snntoolbox/core/util.py is extracted from method get_activations from the module snntoolbox/core/util.py ,104d77214ea82e4811432b5b075e66c4c9223862,snntoolbox/core/util.py,,,"(344,378)",373.0,[347.0]
Add Parameter,maxpool_exp,maxpool_exp,,,,,['The parameters [ percentile ] are added to the method maxpool_exp from the module tests/pooling_exps.py'],116de92cd3b8f02aba3d944811d3288b48d0a39a,tests/pooling_exps.py,39.0,40.0,,,
Extract Method,binary_sigmoid_activation,get_new_mem,,,,, The method get_new_mem from the module snntoolbox/core/inisim.py is extracted from method binary_sigmoid_activation from the module snntoolbox/core/inisim.py ,12debf88e62eb74c173d5a2edecb202974feeb9a,snntoolbox/core/inisim.py,,,"(92,134)",172.0,"[96.0, 101.0]"
Extract Method,linear_activation,set_reset_mem,,,,, The method set_reset_mem from the module snntoolbox/core/inisim.py is extracted from method linear_activation from the module snntoolbox/core/inisim.py ,12debf88e62eb74c173d5a2edecb202974feeb9a,snntoolbox/core/inisim.py,,,"(142,92)",181.0,"[173.0, 174.0, 175.0, 179.0, 180.0, 183.0, 185.0]"
Move Method,get_fanin,get_fanin,snntoolbox/target_simulators/INI_target_sim.py,snntoolbox/core/util.py,633.0,941.0, method get_fanin from the module snntoolbox/target_simulators/INI_target_sim.py was moved to module snntoolbox/core/util.py ,14758f8eb99ce24d83a604ee8e310fc97b9c6aa7,,,,,,
Move Method,get_fanout,get_fanout,snntoolbox/target_simulators/INI_target_sim.py,snntoolbox/core/util.py,663.0,971.0, method get_fanout from the module snntoolbox/target_simulators/INI_target_sim.py was moved to module snntoolbox/core/util.py ,14758f8eb99ce24d83a604ee8e310fc97b9c6aa7,,,,,,
Remove Parameter,to_integer,to_integer,,,,,['The parameters [ max_val ] of the method to_integer from the module snntoolbox/utils/utils.py is/are removed'],1761d894fa9852db78cd31907fa8bb1399cd8bc9,snntoolbox/utils/utils.py,395.0,395.0,,,
Move Method,normalize_loihi_network,normalize_loihi_network,snntoolbox/conversion/utils.py,snntoolbox/simulation/target_simulators/loihi_target_sim.py,398.0,394.0, method normalize_loihi_network from the module snntoolbox/conversion/utils.py was moved to module snntoolbox/simulation/target_simulators/loihi_target_sim.py ,1761d894fa9852db78cd31907fa8bb1399cd8bc9,,,,,,
Move Method,overflow_signed,overflow_signed,snntoolbox/conversion/utils.py,snntoolbox/simulation/target_simulators/loihi_target_sim.py,524.0,515.0, method overflow_signed from the module snntoolbox/conversion/utils.py was moved to module snntoolbox/simulation/target_simulators/loihi_target_sim.py ,1761d894fa9852db78cd31907fa8bb1399cd8bc9,,,,,,
Move Method,to_mantexp,to_mantexp,snntoolbox/conversion/utils.py,snntoolbox/simulation/target_simulators/loihi_target_sim.py,558.0,549.0, method to_mantexp from the module snntoolbox/conversion/utils.py was moved to module snntoolbox/simulation/target_simulators/loihi_target_sim.py ,1761d894fa9852db78cd31907fa8bb1399cd8bc9,,,,,,
Change/Rename Parameter,get_op_at_err,get_op_at_err,,,,,['The parameters [ ops_t err_SNN err_ANN ] of the method get_op_at_err from the module tests/other/googlenet/util.py are changed/renamed to [ops_snn err_snn err_ann]'],189874302de894294bd5bb482d2ca09a89afd32f,tests/other/googlenet/util.py,161.0,215.0,,,
