Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,_launch_web_client,_launch_web_client,lib/streamlit/proxy/Proxy.py,88,437,['The parameters [ autoCloseDelaySecs ] are added to the method _launch_web_client from the module lib/streamlit/proxy/Proxy.py'],019164b65b4cae0f64093f8b43056ef8c0074088,,,,,,,
Add Parameter,_print_remote_url,_print_remote_url,lib/streamlit/proxy/Proxy.py,53,404,['The parameters [ autoCloseDelaySecs ] are added to the method _print_remote_url from the module lib/streamlit/proxy/Proxy.py'],019164b65b4cae0f64093f8b43056ef8c0074088,,,,,,,
Add Parameter,__init__,__init__,lib/streamlit/ReportThread.py/ReportThread,79,81,['The parameters [ file_manager ] are added to the method __init__ from the module lib/streamlit/ReportThread.py in class ReportThread'],01caeeccd96a4e0c3301408bfb441174beb9b2e0,,,,,,,
Add Parameter,__init__,__init__,lib/streamlit/ScriptRunner.py/ScriptRunner,51,51,['The parameters [ file_manager ] are added to the method __init__ from the module lib/streamlit/ScriptRunner.py in class ScriptRunner'],01caeeccd96a4e0c3301408bfb441174beb9b2e0,,,,,,,
Add Parameter,parse_config_file,parse_config_file,lib/streamlit/config.py,824,833,['The parameters [ force ] are added to the method parse_config_file from the module lib/streamlit/config.py'],01caeeccd96a4e0c3301408bfb441174beb9b2e0,,,,,,,
Rename Method,test_container,test_equal_columns,lib/tests/streamlit/delta_generator_test.py/DeltaGeneratorContainerTest,288,307,['The method test_container from the module lib/tests/streamlit/delta_generator_test.py in class DeltaGeneratorContainerTest is renamed to test_equal_columns'],0374555b9b7a247b46e265ff4c7f392433995a89,,,,,,,
Rename Method,test_equal_columns,test_container,lib/tests/streamlit/delta_generator_test.py/DeltaGeneratorContainerTest,307,288,['The method test_equal_columns from the module lib/tests/streamlit/delta_generator_test.py in class DeltaGeneratorContainerTest is renamed to test_container'],0374555b9b7a247b46e265ff4c7f392433995a89,,,,,,,
Add Parameter,json,json,shared/server/DeltaGenerator.py/DeltaGenerator,273,273,['The parameters [ element ] are added to the method json from the module shared/server/DeltaGenerator.py in class DeltaGenerator'],037fe7373e0aa8063e78718682970de56762b5ff,,,,,,,
Rename Method,arrow_add_rows,_arrow_add_rows,lib/streamlit/delta_generator.py/DeltaGenerator,578,579,['The method arrow_add_rows from the module lib/streamlit/delta_generator.py in class DeltaGenerator is renamed to _arrow_add_rows'],03835a77db73133234a3e117783a969300b28ca2,,,,,,,
Rename Method,legacy_add_rows,_legacy_add_rows,lib/streamlit/delta_generator.py/DeltaGenerator,474,474,['The method legacy_add_rows from the module lib/streamlit/delta_generator.py in class DeltaGenerator is renamed to _legacy_add_rows'],03835a77db73133234a3e117783a969300b28ca2,,,,,,,
Rename Method,arrow_dataframe,_arrow_dataframe,lib/streamlit/elements/arrow.py/ArrowMixin,30,30,['The method arrow_dataframe from the module lib/streamlit/elements/arrow.py in class ArrowMixin is renamed to _arrow_dataframe'],03835a77db73133234a3e117783a969300b28ca2,,,,,,,
Rename Method,arrow_table,_arrow_table,lib/streamlit/elements/arrow.py/ArrowMixin,87,87,['The method arrow_table from the module lib/streamlit/elements/arrow.py in class ArrowMixin is renamed to _arrow_table'],03835a77db73133234a3e117783a969300b28ca2,,,,,,,
Rename Method,arrow_altair_chart,_arrow_altair_chart,lib/streamlit/elements/arrow_altair.py/ArrowAltairMixin,198,198,['The method arrow_altair_chart from the module lib/streamlit/elements/arrow_altair.py in class ArrowAltairMixin is renamed to _arrow_altair_chart'],03835a77db73133234a3e117783a969300b28ca2,,,,,,,
Rename Method,arrow_area_chart,_arrow_area_chart,lib/streamlit/elements/arrow_altair.py/ArrowAltairMixin,96,96,['The method arrow_area_chart from the module lib/streamlit/elements/arrow_altair.py in class ArrowAltairMixin is renamed to _arrow_area_chart'],03835a77db73133234a3e117783a969300b28ca2,,,,,,,
Rename Method,arrow_bar_chart,_arrow_bar_chart,lib/streamlit/elements/arrow_altair.py/ArrowAltairMixin,147,147,['The method arrow_bar_chart from the module lib/streamlit/elements/arrow_altair.py in class ArrowAltairMixin is renamed to _arrow_bar_chart'],03835a77db73133234a3e117783a969300b28ca2,,,,,,,
