Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,get_authors,get_authors,release/authors.py,47,47,['The parameters [ prevversion ] are added to the method get_authors from the module release/authors.py'],002dc31ecb8ec8b627f831620f0fa909bdebea1a,nan,nan,nan,nan,nan,nan,nan
Add Parameter,main,main,release/authors.py,9,9,['The parameters [ prevversion ] are added to the method main from the module release/authors.py'],002dc31ecb8ec8b627f831620f0fa909bdebea1a,nan,nan,nan,nan,nan,nan,nan
Add Parameter,main,main,release/releasecheck.py,6,6,['The parameters [ prevversion ] are added to the method main from the module release/releasecheck.py'],002dc31ecb8ec8b627f831620f0fa909bdebea1a,nan,nan,nan,nan,nan,nan,nan
Rename Method,_apply_operator_BosonOp,_apply_from_right_to_BosonOp,sympy/physics/quantum/boson.py/BosonFockKet,160,160,['The method _apply_operator_BosonOp from the module sympy/physics/quantum/boson.py in class BosonFockKet is renamed to _apply_from_right_to_BosonOp'],00ed353dda66aa068dd43d44018f6a394d1fb0a1,nan,nan,nan,nan,nan,nan,nan
Rename Method,_apply_operator_BosonOp,_apply_from_right_to_BosonOp,sympy/physics/quantum/boson.py/BosonCoherentKet,226,226,['The method _apply_operator_BosonOp from the module sympy/physics/quantum/boson.py in class BosonCoherentKet is renamed to _apply_from_right_to_BosonOp'],00ed353dda66aa068dd43d44018f6a394d1fb0a1,nan,nan,nan,nan,nan,nan,nan
Rename Method,_apply_operator_FermionOp,_apply_from_right_to_FermionOp,sympy/physics/quantum/fermion.py/FermionFockKet,144,144,['The method _apply_operator_FermionOp from the module sympy/physics/quantum/fermion.py in class FermionFockKet is renamed to _apply_from_right_to_FermionOp'],00ed353dda66aa068dd43d44018f6a394d1fb0a1,nan,nan,nan,nan,nan,nan,nan
Rename Method,_apply_operator_SigmaMinus,_apply_from_right_to_SigmaMinus,sympy/physics/quantum/pauli.py/SigmaZKet,472,472,['The method _apply_operator_SigmaMinus from the module sympy/physics/quantum/pauli.py in class SigmaZKet is renamed to _apply_from_right_to_SigmaMinus'],00ed353dda66aa068dd43d44018f6a394d1fb0a1,nan,nan,nan,nan,nan,nan,nan
Rename Method,_apply_operator_SigmaPlus,_apply_from_right_to_SigmaPlus,sympy/physics/quantum/pauli.py/SigmaZKet,478,478,['The method _apply_operator_SigmaPlus from the module sympy/physics/quantum/pauli.py in class SigmaZKet is renamed to _apply_from_right_to_SigmaPlus'],00ed353dda66aa068dd43d44018f6a394d1fb0a1,nan,nan,nan,nan,nan,nan,nan
Rename Method,_apply_operator_SigmaX,_apply_from_right_to_SigmaX,sympy/physics/quantum/pauli.py/SigmaZKet,466,466,['The method _apply_operator_SigmaX from the module sympy/physics/quantum/pauli.py in class SigmaZKet is renamed to _apply_from_right_to_SigmaX'],00ed353dda66aa068dd43d44018f6a394d1fb0a1,nan,nan,nan,nan,nan,nan,nan
Rename Method,_apply_operator_SigmaY,_apply_from_right_to_SigmaY,sympy/physics/quantum/pauli.py/SigmaZKet,469,469,['The method _apply_operator_SigmaY from the module sympy/physics/quantum/pauli.py in class SigmaZKet is renamed to _apply_from_right_to_SigmaY'],00ed353dda66aa068dd43d44018f6a394d1fb0a1,nan,nan,nan,nan,nan,nan,nan
