Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,__init__,__init__,tensorboard/writer.py/SummaryWriter,221.0,221.0,['The parameters [ comment ] are added to the method __init__ from the module tensorboard/writer.py in class SummaryWriter'],0ac261a3d12677483c47572aae57ba877992ea66,,,,,,,
Add Parameter,__init__,__init__,tensorboardX/writer.py/SummaryWriter,154.0,186.0,['The parameters [ write_to_disk ] are added to the method __init__ from the module tensorboardX/writer.py in class SummaryWriter'],0bf6c07d97b0745654fd9fab8ee3261ec707f253,,,,,,,
Add Parameter,video,video,tensorboardX/summary.py,343.0,343.0,['The parameters [ dataformats ] are added to the method video from the module tensorboardX/summary.py'],0e4fef3e44a8177f04f1da4429b18a1af3c7e8b0,,,,,,,
Add Parameter,add_video,add_video,tensorboardX/writer.py/SummaryWriter,793.0,793.0,['The parameters [ dataformats ] are added to the method add_video from the module tensorboardX/writer.py in class SummaryWriter'],0e4fef3e44a8177f04f1da4429b18a1af3c7e8b0,,,,,,,
Rename Class,LinearLanpa,LinearInLinear,examples/demo_graph.py,,, class LinearLanpa was renamed to class LinearInLinear ,1d8ed4219ed6b530f3952934c730198bbc4ed306,,,,,,,
Add Parameter,graph,graph,tensorboardX/pytorch_graph.py,96.0,237.0,['The parameters [ omit_useless_nodes ] are added to the method graph from the module tensorboardX/pytorch_graph.py'],1d8ed4219ed6b530f3952934c730198bbc4ed306,,,,,,,
Add Parameter,__init__,__init__,tensorboardX/pytorch_graph.py/NodePyIO,76.0,71.0,['The parameters [ tensor_size ] are added to the method __init__ from the module tensorboardX/pytorch_graph.py in class NodePyIO'],1ea9c64778341874f0b635c3907b0bc4e6c0c10a,,,,,,,
Add Parameter,__init__,__init__,tensorboardX/writer.py/SummaryWriter,219.0,220.0,['The parameters [ comet_config ] are added to the method __init__ from the module tensorboardX/writer.py in class SummaryWriter'],1f774cfacd5ec471260a8f15f082cad90e4ffa9b,,,,,,,
Add Parameter,__init__,__init__,tensorboardX/pytorch_graph.py/NodePyIO,76.0,75.0,['The parameters [ debugName ] are added to the method __init__ from the module tensorboardX/pytorch_graph.py in class NodePyIO'],23de6f0cd811b9a4e9b3f7db3723f609dea13ced,,,,,,,
Remove Parameter,_draw_single_box,_draw_single_box,tensorboardX/summary.py,81.0,82.0,['The parameters [ font ] of the method _draw_single_box from the module tensorboardX/summary.py is/are removed'],342074a6bc29b03974fda3073af5e46bfa27cb0f,,,,,,,
