Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Remove Parameter,_datapoint,_datapoint,tensorpack/callbacks/inference.py/Inferencer,40.0,41.0,['The parameters [ _ ] of the method _datapoint from the module tensorpack/callbacks/inference.py in class Inferencer is/are removed'],fdab3db20a07a21bfcd9b9913b677f96007901aa,,,,,,,
Remove Parameter,datapoint,datapoint,tensorpack/callbacks/inference.py/Inferencer,34.0,35.0,['The parameters [ _ ] of the method datapoint from the module tensorpack/callbacks/inference.py in class Inferencer is/are removed'],fdab3db20a07a21bfcd9b9913b677f96007901aa,,,,,,,
Extract Method,_trigger_epoch,_write_summary_after_inference,tensorpack/callbacks/inference.py/InferenceRunner,,, The method _write_summary_after_inference from the module tensorpack/callbacks/inference.py in class InferenceRunner is extracted from method _trigger_epoch from the module tensorpack/callbacks/inference.py in class InferenceRunner ,fdab3db20a07a21bfcd9b9913b677f96007901aa,"(120,122)",138.0,"[135.0, 136.0, 137.0, 138.0, 139.0, 143.0]",,,,
Remove Parameter,_datapoint,_datapoint,tensorpack/callbacks/inference.py/ScalarStats,168.0,172.0,['The parameters [ _ ] of the method _datapoint from the module tensorpack/callbacks/inference.py in class ScalarStats is/are removed'],fdab3db20a07a21bfcd9b9913b677f96007901aa,,,,,,,
Remove Parameter,_datapoint,_datapoint,tensorpack/callbacks/inference.py/ClassificationError,209.0,213.0,['The parameters [ _ ] of the method _datapoint from the module tensorpack/callbacks/inference.py in class ClassificationError is/are removed'],fdab3db20a07a21bfcd9b9913b677f96007901aa,,,,,,,
Remove Parameter,_datapoint,_datapoint,tensorpack/callbacks/inference.py/BinaryClassificationStats,246.0,248.0,['The parameters [ _ ] of the method _datapoint from the module tensorpack/callbacks/inference.py in class BinaryClassificationStats is/are removed'],fdab3db20a07a21bfcd9b9913b677f96007901aa,,,,,,,
Add Parameter,__init__,__init__,tensorpack/dataflow/format.py/LMDBData,62.0,63.0,['The parameters [ keys ] are added to the method __init__ from the module tensorpack/dataflow/format.py in class LMDBData'],7c7f6e85e5099977101634710fc35f265f3b6aaf,,,,,,,
Add Parameter,__init__,__init__,tensorpack/dataflow/format.py/LMDBDataDecoder,114.0,138.0,['The parameters [ keys ] are added to the method __init__ from the module tensorpack/dataflow/format.py in class LMDBDataDecoder'],7c7f6e85e5099977101634710fc35f265f3b6aaf,,,,,,,
Add Parameter,__init__,__init__,tensorpack/dataflow/format.py/LMDBDataPoint,136.0,159.0,['The parameters [ keys ] are added to the method __init__ from the module tensorpack/dataflow/format.py in class LMDBDataPoint'],7c7f6e85e5099977101634710fc35f265f3b6aaf,,,,,,,
Add Parameter,__init__,__init__,tensorpack/dataflow/format.py/CaffeLMDB,152.0,179.0,['The parameters [ keys ] are added to the method __init__ from the module tensorpack/dataflow/format.py in class CaffeLMDB'],7c7f6e85e5099977101634710fc35f265f3b6aaf,,,,,,,
