Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Rename Method,default_text_dataset_hparams,default_text_database_hparams,txtgen/data/database.py,24.0,24.0,['The method default_text_dataset_hparams from the module txtgen/data/database.py is renamed to default_text_database_hparams'],005bf9164b063c47e354e170ae40ec1e1b94fae4,,,,,,,
Rename Class,TextDataBase,MonoTextDataBase,txtgen/data/database.py,,, class TextDataBase was renamed to class MonoTextDataBase ,005bf9164b063c47e354e170ae40ec1e1b94fae4,,,,,,,
Add Parameter,_build,_build,texar/modules/encoders/rnn_encoders.py/UnidirectionalRNNEncoder,234.0,234.0,['The parameters [ use_embedding ] are added to the method _build from the module texar/modules/encoders/rnn_encoders.py in class UnidirectionalRNNEncoder'],007e42b10375ee767cd3c1c33860cb8f13fb6e52,,,,,,,
Add Parameter,_build,_build,texar/modules/encoders/rnn_encoders.py/BidirectionalRNNEncoder,425.0,440.0,['The parameters [ use_embedding ] are added to the method _build from the module texar/modules/encoders/rnn_encoders.py in class BidirectionalRNNEncoder'],007e42b10375ee767cd3c1c33860cb8f13fb6e52,,,,,,,
Add Parameter,_get_dropout_layer,_get_dropout_layer,texar/modules/embedders/embedder_base.py/EmbedderBase,44.0,44.0,['The parameters [ dropout_input ] are added to the method _get_dropout_layer from the module texar/modules/embedders/embedder_base.py in class EmbedderBase'],01e28359f84a4f833b3b2c5991e8a903bbc8b3f3,,,,,,,
Change/Rename Parameter,_test_epoch,_test_epoch,examples/transformer/transformer_overall.py,212.0,212.0,['The parameters [ outputs_tmp_filename ] of the method _test_epoch from the module examples/transformer/transformer_overall.py are changed/renamed to [mname]'],04c86488fcfe4958da6b44c4067d9bfa4e05c532,,,,,,,
Change/Rename Parameter,__init__,__init__,texar/modules/memory/memory_network.py/MemNetBase,151.0,173.0,['The parameters [ input_embedder_fn output_embedder_fn query_embedder_fn ] of the method __init__ from the module texar/modules/memory/memory_network.py in class MemNetBase are changed/renamed to [input_embed_fn output_embed_fn query_embed_fn]'],04c95a03b1a2c59e77a9b6b356afdb403aa73271,,,,,,,
Change/Rename Parameter,__init__,__init__,texar/modules/memory/memory_network.py/MemNetRNNLike,267.0,289.0,['The parameters [ input_embedder_fn output_embedder_fn query_embedder_fn ] of the method __init__ from the module texar/modules/memory/memory_network.py in class MemNetRNNLike are changed/renamed to [input_embed_fn output_embed_fn query_embed_fn]'],04c95a03b1a2c59e77a9b6b356afdb403aa73271,,,,,,,
Rename Method,default_embedder_fn,default_embed_fn,texar/modules/memory/memory_network.py,21.0,60.0,['The method default_embedder_fn from the module texar/modules/memory/memory_network.py is renamed to default_embed_fn'],04c95a03b1a2c59e77a9b6b356afdb403aa73271,,,,,,,
Remove Parameter,_build,_build,texar/modules/decoders/transformer_decoders.py/TransformerDecoder,331.0,331.0,['The parameters [ sequence_length ] of the method _build from the module texar/modules/decoders/transformer_decoders.py in class TransformerDecoder is/are removed'],05b195c3b2576588d06d3e32b111a40c52fa1863,,,,,,,
