Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,__init__,__init__,tgen/lexicalize.py/FormSelect,28.0,29.0,['The parameters [ cfg ] are added to the method __init__ from the module tgen/lexicalize.py in class FormSelect'],01d4685be96ac7c274723cc04da493b9795d0edd,,,,,,,
Add Parameter,eval_tokens,eval_tokens,run_tgen.py,537.0,537.0,['The parameters [ das ] are added to the method eval_tokens from the module run_tgen.py'],025e7d22505731af8bda2449bfe4abf3921a9463,,,,,,,
Remove Parameter,generate_tree,generate_tree,tgen/planner.py/ASearchPlanner,238.0,246.0,['The parameters [ return_lists ] of the method generate_tree from the module tgen/planner.py in class ASearchPlanner is/are removed'],02dcb86f22ceb94e11833e0b9b3a280b8e4e5484,,,,,,,
Change/Rename Parameter,save_to_file,save_to_file,tgen/e2e/slot_error.py/E2EPatternClassifier,337.0,338.0,['The parameters [ reranker_fname ] of the method save_to_file from the module tgen/e2e/slot_error.py in class E2EPatternClassifier are changed/renamed to [model_fname]'],04f5c1ba66b2f95d75fc204eaae46bba0569b694,,,,,,,
Extract Method,save_to_file,get_all_settings,tgen/seq2seq.py/Seq2SeqGen,,, The method get_all_settings from the module tgen/seq2seq.py in class Seq2SeqGen is extracted from method save_to_file from the module tgen/seq2seq.py in class Seq2SeqGen ,06d8267f98e921ce3b241d0c487b394570b04cb3,"(639,663)",683.0,[652.0],,,,
Extract Method,save_to_file,get_all_settings,tgen/tfclassif.py/RerankingClassifier,,, The method get_all_settings from the module tgen/tfclassif.py in class RerankingClassifier is extracted from method save_to_file from the module tgen/tfclassif.py in class RerankingClassifier ,06d8267f98e921ce3b241d0c487b394570b04cb3,"(116,117)",133.0,"[125.0, 131.0, 132.0, 134.0, 135.0]",,,,
Add Parameter,append,append,tgen/eval.py/Evaluator,106.0,123.0,['The parameters [ gold_tree_score pred_tree_score ] are added to the method append from the module tgen/eval.py in class Evaluator'],070de12dfdf862dee864b88324e1d9d1dabf9a87,,,,,,,
Change/Rename Parameter,_extract_feats,_extract_feats,tgen/rank.py/PerceptronRanker,77.0,81.0,['The parameters [ ttree ] of the method _extract_feats from the module tgen/rank.py in class PerceptronRanker are changed/renamed to [tree]'],070de12dfdf862dee864b88324e1d9d1dabf9a87,,,,,,,
Change/Rename Parameter,score,score,tgen/rank.py/PerceptronRanker,71.0,71.0,['The parameters [ cand_ttree ] of the method score from the module tgen/rank.py in class PerceptronRanker are changed/renamed to [cand_tree]'],070de12dfdf862dee864b88324e1d9d1dabf9a87,,,,,,,
Add Parameter,__init__,__init__,tgen/lexicalize.py/Lexicalizer,18.0,44.0,['The parameters [ form_select_model ] are added to the method __init__ from the module tgen/lexicalize.py in class Lexicalizer'],09e1e9d32ec9736dff255059a1078148386da3a7,,,,,,,
Add Parameter,get_surface_form,get_surface_form,tgen/lexicalize.py/Lexicalizer,140.0,170.0,['The parameters [ tree idx ] are added to the method get_surface_form from the module tgen/lexicalize.py in class Lexicalizer'],09e1e9d32ec9736dff255059a1078148386da3a7,,,,,,,
Change/Rename Parameter,get_number_of_children,get_number_of_children,tgen/candgen.py/RandomCandidateGenerator,128.0,148.0,['The parameters [ formeme ] of the method get_number_of_children from the module tgen/candgen.py in class RandomCandidateGenerator are changed/renamed to [parent_id]'],0b000c547b8b127d7f254be00357fabaa1eb75fe,,,,,,,
Add Parameter,__init__,__init__,tgen/nn.py/Flatten,234.0,236.0,['The parameters [ num_dims ] are added to the method __init__ from the module tgen/nn.py in class Flatten'],0d2989c8acfb81f6aa202f4db9d3e95045c66d27,,,,,,,
