Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit
Add Parameter,__init__,__init__,tindetheus/tindetheus.py/client,300,300,['The parameters [ tfsess ] are added to the method __init__ from the module tindetheus/tindetheus.py in class client'],06c8efdc79869def400b1fd0be16f61a73bda994
Remove Parameter,like,like,tindetheus/tindetheus.py/client,512,513,['The parameters [ sess ] of the method like from the module tindetheus/tindetheus.py in class client is/are removed'],06c8efdc79869def400b1fd0be16f61a73bda994
Remove Parameter,like_or_dislike_users,like_or_dislike_users,tindetheus/tindetheus.py/client,373,374,['The parameters [ sess ] of the method like_or_dislike_users from the module tindetheus/tindetheus.py in class client is/are removed'],06c8efdc79869def400b1fd0be16f61a73bda994
Add Parameter,__init__,__init__,tindetheus/tindetheus.py/client,312,312,['The parameters [ x_auth_token ] are added to the method __init__ from the module tindetheus/tindetheus.py in class client'],14c6c37e3322acf5916ddd8a06e1c0af6edaf8f3
Add Parameter,login,login,tindetheus/tindetheus.py/client,347,347,['The parameters [ x_auth_token ] are added to the method login from the module tindetheus/tindetheus.py in class client'],14c6c37e3322acf5916ddd8a06e1c0af6edaf8f3
Add Parameter,main,main,tindetheus/tindetheus.py,543,543,['The parameters [ x_auth_token ] are added to the method main from the module tindetheus/tindetheus.py'],14c6c37e3322acf5916ddd8a06e1c0af6edaf8f3
Add Parameter,main,main,tindetheus/export_embeddings.py,98,98,['The parameters [ return_image_list ] are added to the method main from the module tindetheus/export_embeddings.py'],32cd9d889400b5d52891051162db925e88d2a547
Add Parameter,show_images,show_images,tindetheus/tindetheus.py,160,160,['The parameters [ holdon title ] are added to the method show_images from the module tindetheus/tindetheus.py'],32cd9d889400b5d52891051162db925e88d2a547
Add Parameter,main,main,tindetheus/tindetheus.py,54,56,['The parameters [ retries ] are added to the method main from the module tindetheus/tindetheus.py'],3e7aad532e3703e5b2743f42ec4b0621e37955de
Remove Parameter,main,main,tindetheus/tindetheus.py,516,516,['The parameters [ model_dir ] of the method main from the module tindetheus/tindetheus.py is/are removed'],5a2b9314cd5b3f4da053a3813dceed362b039043
Add Parameter,__init__,__init__,tindetheus/tindetheus.py/client,235,271,['The parameters [ distance ] are added to the method __init__ from the module tindetheus/tindetheus.py in class client'],776ace2628193817e8a22b61ca194e2cdb6878eb
Add Parameter,download_url_photos,download_url_photos,tindetheus/tindetheus.py,89,99,['The parameters [ is_temp ] are added to the method download_url_photos from the module tindetheus/tindetheus.py'],776ace2628193817e8a22b61ca194e2cdb6878eb
Remove Parameter,__init__,__init__,tindetheus/tindetheus.py/client,273,273,['The parameters [ facebook_id ] of the method __init__ from the module tindetheus/tindetheus.py in class client is/are removed'],9470cd71503709a2e36b298bcf9223fa2122b72d
Remove Parameter,login,login,tindetheus/tindetheus.py/client,305,305,['The parameters [ facebook_id ] of the method login from the module tindetheus/tindetheus.py in class client is/are removed'],9470cd71503709a2e36b298bcf9223fa2122b72d
Remove Parameter,main,main,tindetheus/tindetheus.py,488,488,['The parameters [ facebook_id ] of the method main from the module tindetheus/tindetheus.py is/are removed'],9470cd71503709a2e36b298bcf9223fa2122b72d
Add Parameter,like_or_dislike_users,like_or_dislike_users,tindetheus/tindetheus.py/client,365,365,['The parameters [ sess ] are added to the method like_or_dislike_users from the module tindetheus/tindetheus.py in class client'],9942a979215b78c0d16bb429349fcd3930389f05
Add Parameter,evaluate,evaluate,tindetheus/facenet_clone/lfw.py,34,34,['The parameters [ distance_metric subtract_mean ] are added to the method evaluate from the module tindetheus/facenet_clone/lfw.py'],d1595c208a5b316b1a30ba50acd8d77f6241316a
Remove Parameter,get_paths,get_paths,tindetheus/facenet_clone/lfw.py,46,46,['The parameters [ file_ext ] of the method get_paths from the module tindetheus/facenet_clone/lfw.py is/are removed'],d1595c208a5b316b1a30ba50acd8d77f6241316a
Add Parameter,evaluate,evaluate,tindetheus/facenet_clone/train_softmax.py,302,397,['The parameters [ control_placeholder stat epoch distance_metric subtract_mean use_flipped_images use_fixed_image_standardization ] are added to the method evaluate from the module tindetheus/facenet_clone/train_softmax.py'],d1595c208a5b316b1a30ba50acd8d77f6241316a
Add Parameter,__init__,__init__,tindetheus/tindetheus.py/client,273,275,['The parameters [ model_dir ] are added to the method __init__ from the module tindetheus/tindetheus.py in class client'],d1595c208a5b316b1a30ba50acd8d77f6241316a
Add Parameter,main,main,tindetheus/tindetheus.py,494,497,['The parameters [ model_dir ] are added to the method main from the module tindetheus/tindetheus.py'],d1595c208a5b316b1a30ba50acd8d77f6241316a
Add Parameter,show_images,show_images,tindetheus/tindetheus.py,160,160,['The parameters [ nmax ] are added to the method show_images from the module tindetheus/tindetheus.py'],eea6d6145ad76807c2296eb8173d3427339a18e5
