Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Change/Rename Parameter,show_value,show_value,vislogger/experimentlogger.py/ExperimentLogger,92.0,92.0,['The parameters [ count ] of the method show_value from the module vislogger/experimentlogger.py in class ExperimentLogger are changed/renamed to [counter]'],003eadf0824f2228fd747f4005b2e6911f17c8d2,,,,,,,
Change/Rename Parameter,show_value,show_value,vislogger/numpyplotfilelogger.py/NumpyPlotFileLogger,29.0,29.0,['The parameters [ count ] of the method show_value from the module vislogger/numpyplotfilelogger.py in class NumpyPlotFileLogger are changed/renamed to [counter]'],003eadf0824f2228fd747f4005b2e6911f17c8d2,,,,,,,
Change/Rename Parameter,show_value,show_value,vislogger/numpyseabornplotlogger.py/NumpySeabornPlotLogger,38.0,38.0,['The parameters [ count ] of the method show_value from the module vislogger/numpyseabornplotlogger.py in class NumpySeabornPlotLogger are changed/renamed to [counter]'],003eadf0824f2228fd747f4005b2e6911f17c8d2,,,,,,,
Add Parameter,__show_barplot,__show_barplot,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,398.0,448.0,['The parameters [ opts ] are added to the method __show_barplot from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_histogram,__show_histogram,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,312.0,347.0,['The parameters [ opts ] are added to the method __show_histogram from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_histogram_3d,__show_histogram_3d,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,347.0,389.0,['The parameters [ opts ] are added to the method __show_histogram_3d from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_image,__show_image,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,112.0,114.0,['The parameters [ opts ] are added to the method __show_image from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_images,__show_images,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,149.0,159.0,['The parameters [ opts ] are added to the method __show_images from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_lineplot,__show_lineplot,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,439.0,493.0,['The parameters [ opts ] are added to the method __show_lineplot from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_piechart,__show_piechart,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,515.0,579.0,['The parameters [ opts ] are added to the method __show_piechart from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_progress,__show_progress,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,262.0,289.0,['The parameters [ opts ] are added to the method __show_progress from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_scatterplot,__show_scatterplot,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,478.0,537.0,['The parameters [ opts ] are added to the method __show_scatterplot from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_text,__show_text,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,227.0,251.0,['The parameters [ opts ] are added to the method __show_text from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,__show_value,__show_value,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,182.0,199.0,['The parameters [ opts ] are added to the method __show_value from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,show_barplot,show_barplot,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,377.0,425.0,['The parameters [ opts ] are added to the method show_barplot from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,show_histogram,show_histogram,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,293.0,326.0,['The parameters [ opts ] are added to the method show_histogram from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,show_image,show_image,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,91.0,91.0,['The parameters [ opts ] are added to the method show_image from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,show_lineplot,show_lineplot,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,419.0,471.0,['The parameters [ opts ] are added to the method show_lineplot from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,show_progress,show_progress,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,242.0,267.0,['The parameters [ opts ] are added to the method show_progress from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
Add Parameter,show_text,show_text,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,210.0,232.0,['The parameters [ opts ] are added to the method show_text from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger'],0106707011cd2e6eba87ae8d75293755ed32c106,,,,,,,
