Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,silhouette_visualizer,silhouette_visualizer,yellowbrick/cluster/silhouette.py,267.0,267.0,['The parameters [ show ] are added to the method silhouette_visualizer from the module yellowbrick/cluster/silhouette.py'],015252808bfb877e472da55052ee6e6e73450b5a,,,,,,,
Add Parameter,poof,poof,yellowbrick/features/pcoords.py/ParallelCoordinates,193.0,196.0,['The parameters [ outpath ] are added to the method poof from the module yellowbrick/features/pcoords.py in class ParallelCoordinates'],01d599606a916492a1a43325a13dd30959a0c452,,,,,,,
Add Parameter,__init__,__init__,yellowbrick/regressor/residuals.py/PredictionError,94.0,105.0,['The parameters [ bestfit identity ] are added to the method __init__ from the module yellowbrick/regressor/residuals.py in class PredictionError'],0271d384741c32b3fe53bc7bce7b155059a55704,,,,,,,
Rename Class,FreqDistVisualizer,FrequencyVisualizer,yellowbrick/text/freqdist.py,,, class FreqDistVisualizer was renamed to class FrequencyVisualizer ,0271d384741c32b3fe53bc7bce7b155059a55704,,,,,,,
Rename Method,test_depreciated,test_deprecated,tests/test_classifier/test_boundaries.py/DecisionBoundariesVisualizerTest,85.0,86.0,['The method test_depreciated from the module tests/test_classifier/test_boundaries.py in class DecisionBoundariesVisualizerTest is renamed to test_deprecated'],040926fa4f74fcd32ab1b5c4848629c93c780719,,,,,,,
Rename Method,test_depreciated_message,test_deprecated_message,tests/test_classifier/test_boundaries.py/DecisionBoundariesVisualizerTest,90.0,92.0,['The method test_depreciated_message from the module tests/test_classifier/test_boundaries.py in class DecisionBoundariesVisualizerTest is renamed to test_deprecated_message'],040926fa4f74fcd32ab1b5c4848629c93c780719,,,,,,,
Rename Method,test_depreciated,test_deprecated,tests/test_features/test_scatter.py/ScatterVizTests,69.0,70.0,['The method test_depreciated from the module tests/test_features/test_scatter.py in class ScatterVizTests is renamed to test_deprecated'],040926fa4f74fcd32ab1b5c4848629c93c780719,,,,,,,
Rename Method,test_depreciated_message,test_deprecated_message,tests/test_features/test_scatter.py/ScatterVizTests,74.0,76.0,['The method test_depreciated_message from the module tests/test_features/test_scatter.py in class ScatterVizTests is renamed to test_deprecated_message'],040926fa4f74fcd32ab1b5c4848629c93c780719,,,,,,,
Rename Class,InitializationTests,TestInitialization,tests/__init__.py,,, class InitializationTests was renamed to class TestInitialization ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Method,setUp,setup_method,tests/base.py/VisualTestCase,62.0,65.0,['The method setUp from the module tests/base.py in class VisualTestCase is renamed to setup_method'],07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,EstimatorTests,TestEstimator,tests/test_bestfit.py,,, class EstimatorTests was renamed to class TestEstimator ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,BestFitTests,TestBestFit,tests/test_bestfit.py,,, class BestFitTests was renamed to class TestBestFit ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,ClassPredictionErrorTests,TestClassPredictionError,tests/test_classifier/test_class_prediction_error.py,,, class ClassPredictionErrorTests was renamed to class TestClassPredictionError ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,ClassificationReportTests,TestClassificationReport,tests/test_classifier/test_classification_report.py,,, class ClassificationReportTests was renamed to class TestClassificationReport ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,ConfusionMatrixTests,TestConfusionMatrix,tests/test_classifier/test_confusion_matrix.py,,, class ConfusionMatrixTests was renamed to class TestConfusionMatrix ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,ROCAUCTests,TestROCAUC,tests/test_classifier/test_rocauc.py,,, class ROCAUCTests was renamed to class TestROCAUC ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,ClusterBaseTests,TestClusterBase,tests/test_cluster/test_base.py,,, class ClusterBaseTests was renamed to class TestClusterBase ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,SilhouetteVisualizerTests,TestSilhouetteVisualizer,tests/test_cluster/test_silhouette.py,,, class SilhouetteVisualizerTests was renamed to class TestSilhouetteVisualizer ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,DecisionBoundariesVisualizerTest,TestDecisionBoundariesVisualizer,tests/test_contrib/test_classifier/test_boundaries.py,,, class DecisionBoundariesVisualizerTest was renamed to class TestDecisionBoundariesVisualizer ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,MissingValuesDispersionTestCase,TestMissingValuesDispersion,tests/test_contrib/test_missing/test_dispersion.py,,, class MissingValuesDispersionTestCase was renamed to class TestMissingValuesDispersion ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,ScatterVizTests,TestScatterViz,tests/test_contrib/test_scatter.py,,, class ScatterVizTests was renamed to class TestScatterViz ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,FeatureVisualizerBaseTests,TestFeatureVisualizerBase,tests/test_features/test_base.py,,, class FeatureVisualizerBaseTests was renamed to class TestFeatureVisualizerBase ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Add Parameter,test_manifold_algorithm_fit,test_manifold_algorithm_fit,tests/test_features/test_manifold.py/TestManifold,219.0,212.0,['The parameters [ algorithm ] are added to the method test_manifold_algorithm_fit from the module tests/test_features/test_manifold.py in class TestManifold'],07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Add Parameter,test_manifold_construction,test_manifold_construction,tests/test_features/test_manifold.py/TestManifold,47.0,50.0,['The parameters [ algorithm ] are added to the method test_manifold_construction from the module tests/test_features/test_manifold.py in class TestManifold'],07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Add Parameter,test_manifold_no_warning,test_manifold_no_warning,tests/test_features/test_manifold.py/TestManifold,89.0,83.0,['The parameters [ algorithm ] are added to the method test_manifold_no_warning from the module tests/test_features/test_manifold.py in class TestManifold'],07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Add Parameter,test_manifold_warning,test_manifold_warning,tests/test_features/test_manifold.py/TestManifold,72.0,71.0,['The parameters [ algorithm ] are added to the method test_manifold_warning from the module tests/test_features/test_manifold.py in class TestManifold'],07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,PCADecompositionTests,TestPCADecomposition,tests/test_features/test_pca.py,,, class PCADecompositionTests was renamed to class TestPCADecomposition ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Add Parameter,test_invalid_step,test_invalid_step,tests/test_features/test_rfecv.py/TestRFECV,171.0,172.0,['The parameters [ step ] are added to the method test_invalid_step from the module tests/test_features/test_rfecv.py in class TestRFECV'],07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,VisualPipelineTests,TestVisualPipeline,tests/test_pipeline.py,,, class VisualPipelineTests was renamed to class TestVisualPipeline ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Add Parameter,test_get_alphas_param,test_get_alphas_param,tests/test_regressor/test_alphas.py/TestAlphaSelection,102.0,107.0,['The parameters [ model ] are added to the method test_get_alphas_param from the module tests/test_regressor/test_alphas.py in class TestAlphaSelection'],07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Add Parameter,test_get_errors_param,test_get_errors_param,tests/test_regressor/test_alphas.py/TestAlphaSelection,131.0,134.0,['The parameters [ model ] are added to the method test_get_errors_param from the module tests/test_regressor/test_alphas.py in class TestAlphaSelection'],07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,ColorPaletteObjectTests,TestColorPaletteObject,tests/test_style/test_palettes.py,,, class ColorPaletteObjectTests was renamed to class TestColorPaletteObject ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,ColorPaletteFunctionTests,TestColorPaletteFunction,tests/test_style/test_palettes.py,,, class ColorPaletteFunctionTests was renamed to class TestColorPaletteFunction ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,ClassBalanceTests,TestClassBalance,tests/test_target/test_class_balance.py,,, class ClassBalanceTests was renamed to class TestClassBalance ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,TextVisualizerBaseTests,TestTextVisualizerBase,tests/test_text/test_base.py,,, class TextVisualizerBaseTests was renamed to class TestTextVisualizerBase ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
Rename Class,DispersionPlotTests,TestDispersionPlot,tests/test_text/test_dispersion.py,,, class DispersionPlotTests was renamed to class TestDispersionPlot ,07e759791b8c771210c9ec1903f298024d482748,,,,,,,
